Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Thực phẩm và đồ uống L2,132516654450.0,-28491122000.0,35859501000.0,-139885033450.0,0.0,-6110100000.0,-45953220000.0,52063320000.0,132516654449.0,-34601222000.0,-10093719000.0,-87821713450.0
Dầu khí L2,54012410000.0,-7165915000.0,-454000000.0,-46392495000.0,0.0,200.0,-59994323000.0,59994322800.0,54012410000.0,-7165914800.0,-60448323000.0,13601827800.0
Hàng & Dịch vụ Công nghiệp L2,47764509801.0,-32622599200.0,-3136305000.0,-12005605600.0,0.0,0.0,0.0,0.0,47764509801.0,-32622599200.0,-3136305000.0,-12005605600.0
Ngân hàng L2,28213392200.0,-90613723651.0,23246255000.0,39154076450.0,16203652600.0,-16203628600.0,-24000.0,0.0,44417044800.0,-106817352251.0,23246231000.0,39154076450.0
Hóa chất L2,19192689000.0,-19902499000.0,-1056609000.0,1766419000.0,0.0,0.0,0.0,0.0,19192689000.0,-19902499000.0,-1056609000.0,1766419000.0
Xây dựng và Vật liệu L2,13753809459.0,10595035000.0,695190000.0,-25044034460.0,0.0,9033100000.0,-1620400000.0,-7412700000.0,13753809459.0,19628135000.0,-925210000.0,-32456734460.0
Bất động sản L2,10353065902.0,61035711000.0,21471726000.0,-92860502900.0,0.0,3228400000.0,-24926890000.0,21698490000.0,10353065902.0,64264111000.0,-3455164000.0,-71162012900.0
"Điện, nước & xăng dầu khí đốt L2",8210550400.0,2921004000.0,3526266000.0,-14657820400.0,-17120000000.0,0.0,17120000000.0,0.0,-8909449600.0,2921004000.0,20646266000.0,-14657820400.0
Du lịch và Giải trí L2,2295874301.0,-5295630000.0,3014540000.0,-14784300.0,0.0,0.0,0.0,0.0,2295874301.0,-5295630000.0,3014540000.0,-14784300.0
Ô tô và phụ tùng L2,2271062500.0,-3949380000.0,0.0,1678317500.0,0.0,0.0,0.0,0.0,2271062500.0,-3949380000.0,0.0,1678317500.0
Công nghệ Thông tin L2,1545312800.0,-22135156800.0,20479954000.0,109890000.0,0.0,0.0,0.0,0.0,1545312800.0,-22135156800.0,20479954000.0,109890000.0
Hàng cá nhân & Gia dụng L2,1258872150.0,-807556800.0,-6111120000.0,5659804650.0,1685820000.0,-1685820000.0,0.0,0.0,2944692150.0,-2493376800.0,-6111120000.0,5659804650.0
Bảo hiểm L2,556620000.0,19620000.0,268040000.0,-844280000.0,0.0,0.0,0.0,0.0,556620000.0,19620000.0,268040000.0,-844280000.0
Y tế L2,109777000.0,354373000.0,399500000.0,-863650000.0,0.0,0.0,0.0,0.0,109777000.0,354373000.0,399500000.0,-863650000.0
Truyền thông L2,4985000.0,21200000.0,0.0,-26185000.0,0.0,0.0,0.0,0.0,4985000.0,21200000.0,0.0,-26185000.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bán lẻ L2,-13952018801.0,-4819161400.0,-1581780000.0,20352960200.0,-25549600000.0,25549600000.0,0.0,0.0,-39501618801.0,20730438600.0,-1581780000.0,20352960200.0
Tài nguyên Cơ bản L2,-23100831400.0,-46456386000.0,11797745000.0,57759472400.0,-20435131911.0,3339810000.0,2390000000.0,14705321910.0,-43535963310.0,-43116576000.0,14187745000.0,72464794310.0
Dịch vụ tài chính L2,-50009657900.0,-26125236500.0,104684643000.0,-28549748602.0,-6820000000.0,-37036200000.0,66412200000.0,-22556000000.0,-56829657900.0,-63161436500.0,171096843000.0,-51105748602.0
,,,,,,,,,,,,
