Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-03	3.578282695	3.578282695	3.790553702	3.790553702	30863
2000-01-04	3.699580413	3.638931554	3.729904843	3.638931554	66355
2000-01-05	3.669255984	3.487309406	3.669255984	3.547958265	46086
2000-01-07	3.608607124	3.578282695	3.638931554	3.578282695	33161
2000-01-10	3.699580413	3.699580413	3.911851421	3.911851421	13403
2000-01-11	3.94217585	3.911851421	3.94217585	3.94217585	18016
2000-01-12	3.94217585	3.94217585	3.97250028	3.97250028	34206
2000-01-13	3.97250028	3.97250028	4.033149139	4.033149139	10966
2000-01-14	4.033149139	3.94217585	4.063473569	3.94217585	14888
2000-01-17	4.033149139	3.97250028	4.033149139	4.033149139	8355
2000-01-18	4.033149139	4.033149139	4.033149139	4.033149139	5222
2000-01-19	4.063473569	4.033149139	4.063473569	4.033149139	6527
2000-01-20	4.002824709	4.002824709	4.063473569	4.002824709	16608
2000-01-21	4.002824709	4.002824709	4.033149139	4.002824709	10444
2000-01-24	4.063473569	4.033149139	4.063473569	4.063473569	10385
2000-01-25	4.093797998	4.002824709	4.093797998	4.033149139	14622
2000-01-26	4.063473569	4.002824709	4.063473569	4.002824709	9922
2000-01-27	3.97250028	3.97250028	4.002824709	4.002824709	9726
2000-01-28	4.002824709	3.97250028	4.002824709	4.002824709	11647
2000-01-31	4.033149139	3.97250028	4.033149139	3.97250028	6083
2000-02-01	4.002824709	3.97250028	4.033149139	3.97250028	33422
2000-02-02	4.002824709	4.002824709	4.002824709	4.002824709	7311
2000-02-03	4.063473569	4.063473569	4.063473569	4.063473569	6788
2000-02-04	4.063473569	4.002824709	4.063473569	4.063473569	6031
2000-02-07	4.033149139	3.94217585	4.033149139	3.94217585	14100
2000-02-08	3.94217585	3.94217585	4.033149139	3.97250028	15773
2000-02-09	3.94217585	3.881526991	3.94217585	3.94217585	2872
2000-02-10	3.790553702	3.790553702	3.881526991	3.820878132	4438
2000-02-11	3.911851421	3.911851421	3.911851421	3.911851421	4700
2000-02-14	3.911851421	3.881526991	3.911851421	3.911851421	11505
2000-02-15	3.911851421	3.790553702	3.911851421	3.881526991	6527
2000-02-16	3.911851421	3.851202561	3.911851421	3.911851421	5222
2000-02-17	3.911851421	3.699580413	3.911851421	3.699580413	10705
2000-02-18	3.881526991	3.638931554	3.881526991	3.699580413	27155
2000-02-21	3.790553702	3.790553702	3.790553702	3.790553702	9922
2000-02-22	3.729904843	3.699580413	3.760229272	3.760229272	10838
2000-02-23	3.729904843	3.699580413	3.729904843	3.699580413	18278
2000-02-24	3.669255984	3.638931554	3.669255984	3.638931554	35642
2000-02-25	3.729904843	3.729904843	3.760229272	3.760229272	4047
2000-02-28	3.760229272	3.729904843	3.760229272	3.760229272	63435
2000-02-29	3.729904843	3.638931554	3.820878132	3.699580413	24179
2000-03-01	3.729904843	3.699580413	3.760229272	3.729904843	39506
2000-03-02	3.699580413	3.366011687	3.760229272	3.487309406	78595
2000-03-03	3.578282695	3.335687258	3.699580413	3.699580413	33161
