Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-03	12.767178982	12.626880312	12.851358184	12.626880312	7959
2000-01-04	12.82329845	12.626880312	12.82329845	12.767178982	7105
2000-01-05	12.767178982	12.626880312	12.767178982	12.626880312	30648
2000-01-07	12.654940046	12.570760844	12.767178982	12.654940046	17127
2000-01-10	12.795238716	12.68299978	12.82329845	12.68299978	2204
2000-01-11	12.767178982	12.626880312	12.907477652	12.879417918	6851
2000-01-12	12.795238716	12.626880312	12.907477652	12.767178982	6170
2000-01-13	12.767178982	12.626880312	12.907477652	12.907477652	2099
2000-01-14	12.767178982	12.767178982	12.879417918	12.879417918	1354
2000-01-17	12.907477652	12.654940046	13.188074992	12.96359712	12050
2000-01-18	13.047776322	13.047776322	13.665090471	13.608971003	22395
2000-01-19	13.721209939	13.608971003	14.001807279	13.973747545	19691
2000-01-20	13.889568343	13.468672333	13.889568343	13.889568343	7233
2000-01-21	13.889568343	13.552851535	14.001807279	13.889568343	8290
2000-01-24	13.889568343	13.552851535	13.889568343	13.749269673	4330
2000-01-25	13.749269673	13.468672333	13.749269673	13.608971003	1914
2000-01-26	13.468672333	13.188074992	13.608971003	13.608971003	1853
2000-01-27	13.608971003	13.188074992	13.749269673	13.749269673	2625
2000-01-28	13.749269673	13.300313928	13.749269673	13.468672333	3218
2000-01-31	13.328373662	13.188074992	13.468672333	13.468672333	1696
2000-02-01	13.468672333	13.188074992	13.468672333	13.188074992	3796
2000-02-02	13.356433396	13.047776322	13.356433396	13.047776322	3037
2000-02-03	13.047776322	12.626880312	13.047776322	12.626880312	19441
2000-02-04	13.188074992	12.626880312	13.188074992	12.68299978	2838
2000-02-07	12.767178982	12.626880312	12.767178982	12.626880312	12452
2000-02-08	12.626880312	12.626880312	12.767178982	12.626880312	24879
2000-02-09	12.739119248	12.598820578	12.767178982	12.626880312	12820
2000-02-10	12.626880312	12.626880312	13.047776322	13.019716588	3813
2000-02-11	12.82329845	12.626880312	12.851358184	12.626880312	1104
2000-02-14	12.626880312	12.626880312	12.907477652	12.626880312	2551
2000-02-15	12.654940046	12.626880312	12.907477652	12.626880312	76850
2000-02-16	12.626880312	12.626880312	12.907477652	12.626880312	5322
2000-02-17	12.626880312	12.598820578	12.626880312	12.626880312	141424
2000-02-18	12.626880312	12.486581642	12.739119248	12.626880312	82563
2000-02-21	12.486581642	12.486581642	12.767178982	12.767178982	1710
2000-02-22	12.739119248	12.430462174	12.767178982	12.626880312	15680
2000-02-23	12.654940046	12.346282971	12.654940046	12.626880312	20235
2000-02-24	12.626880312	12.486581642	12.626880312	12.486581642	28063
2000-02-25	12.626880312	12.458521908	12.626880312	12.486581642	2658
2000-02-28	12.486581642	12.40240244	12.514641376	12.40240244	11936
2000-02-29	12.514641376	12.346282971	12.626880312	12.626880312	7835
2000-03-01	12.486581642	11.644789621	12.486581642	11.785088291	37614
2000-03-02	12.430462174	11.785088291	12.430462174	11.785088291	11693
2000-03-03	11.672849355	11.672849355	11.785088291	11.757028557	22154
2000-03-06	11.785088291	11.644789621	11.785088291	11.785088291	22515
2000-03-07	11.785088291	11.785088291	11.925386961	11.813148025	1170
2000-03-08	11.785088291	11.672849355	12.065685631	12.065685631	9465
2000-03-09	12.205984301	11.813148025	12.205984301	11.925386961	2138
2000-03-10	12.205984301	12.065685631	12.205984301	12.065685631	877
2000-03-13	12.177924567	11.925386961	12.177924567	11.925386961	2744
2000-03-14	12.065685631	11.785088291	12.093745365	11.925386961	2352
2000-03-15	11.925386961	11.813148025	12.065685631	11.925386961	7566
2000-03-16	12.065685631	11.785088291	12.205984301	12.009566163	19458
2000-03-17	11.953446695	11.785088291	12.177924567	12.177924567	3296
2000-03-20	12.205984301	12.065685631	12.205984301	12.065685631	3371
2000-03-21	12.009566163	12.009566163	12.121805099	12.065685631	6709
2000-03-22	12.009566163	12.009566163	12.121805099	12.065685631	10121
2000-03-23	12.065685631	11.785088291	12.065685631	11.785088291	20091
2000-03-24	11.785088291	11.504490951	12.065685631	11.504490951	25281
2000-03-27	11.504490951	11.251953344	11.700909089	11.308072813	35340
2000-03-28	11.364192281	11.22389361	11.448371483	11.22389361	49594
2000-03-29	11.392252015	11.22389361	11.392252015	11.280013078	33286
2000-03-30	11.364192281	11.195833876	11.364192281	11.22389361	8054
