Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-03	8.5	8.5	9.1125	8.88	239336
2000-01-04	8.875	8.5	8.9375	8.575	80664
2000-01-05	8.51	8.4	8.51	8.4375	152568
2000-01-07	8.75	8.45	8.75	8.5375	123400
2000-01-10	8.5225	8.45	8.75	8.75	355676
2000-01-11	8.79	8.75	8.9375	8.75	174508
2000-01-12	8.75	8.675	8.775	8.7125	135000
2000-01-13	8.75	8.5275	8.875	8.5275	99216
2000-01-14	8.75	8.5	8.75	8.7	163200
2000-01-17	8.45	8.4375	8.75	8.5	176260
2000-01-18	8.45	8.375	8.5	8.375	179240
2000-01-19	8.475	8.375	8.475	8.375	35400
2000-01-20	8.3275	8.3	8.45	8.425	118656
2000-01-21	8.425	8.4	8.575	8.5	45124
2000-01-24	8.54	8.375	8.54	8.5	61560
2000-01-25	8.475	8.375	8.475	8.4625	22052
2000-01-26	8.475	8.375	8.475	8.45	29276
2000-01-27	8.375	8.375	8.7625	8.475	307960
2000-01-28	8.5	8.375	8.5	8.375	39696
2000-01-31	8.375	8.375	8.5	8.5	68012
2000-02-01	8.5	8.45	8.5	8.45	96936
2000-02-02	8.45	8.425	8.5	8.425	62856
2000-02-03	8.425	8.4	8.5	8.4375	24468
2000-02-04	7.75	7.75	8.5	8.25	128148
2000-02-07	8.25	8.1625	8.3	8.25	138164
2000-02-08	8.25	8.25	8.5	8.475	237000
2000-02-09	8.425	8.3	8.5	8.35	118920
2000-02-10	8.2575	8.0	8.35	8.025	472224
2000-02-11	8.025	7.955	8.2	8.0025	205428
2000-02-14	8.0	8.0	8.25	8.25	66300
2000-02-15	8.2	8.1275	8.25	8.2	200100
2000-02-16	8.125	8.125	8.4625	8.25	236124
2000-02-17	8.25	8.1	8.25	8.25	77808
2000-02-18	8.25	8.175	8.3	8.175	226640
2000-02-21	8.2	8.1125	8.325	8.1125	77988
2000-02-22	8.1125	8.0625	8.25	8.25	89800
2000-02-23	8.125	8.125	8.3875	8.375	484688
2000-02-24	8.25	8.1625	8.35	8.275	184852
2000-02-25	8.2575	7.95	8.2575	8.0	231760
2000-02-28	8.25	8.0	8.25	8.1875	32008
2000-02-29	8.1875	8.1875	8.75	8.625	267456
2000-03-01	8.6875	8.5	8.775	8.5	136068
2000-03-02	8.625	8.625	9.0	8.925	165844
2000-03-03	9.0	8.625	9.0	8.875	28200
2000-03-06	8.995	8.75	8.995	8.75	26000
2000-03-07	8.75	8.75	9.125	9.0	106540
2000-03-08	8.925	8.8875	8.9975	8.8875	146124
2000-03-09	8.75	8.7	8.875	8.75	63564
2000-03-10	8.75	8.6375	8.75	8.65	25800
2000-03-13	8.65	8.5	8.65	8.65	15632
2000-03-14	8.625	8.5	8.7	8.625	44260
2000-03-15	8.625	8.5	8.7	8.7	29400
2000-03-16	8.7375	8.6875	8.875	8.75	151960
2000-03-17	8.7525	8.5	8.7525	8.625	133640
2000-03-20	8.5375	8.5	8.75	8.525	67384
2000-03-21	8.55	8.5	8.9875	8.75	16312
2000-03-22	8.75	8.625	8.925	8.75	99200
2000-03-23	8.625	8.3775	8.625	8.625	22368
2000-03-24	8.75	8.5	8.75	8.5	127100
2000-03-27	8.925	8.2	8.925	8.5	33600
2000-03-28	8.5	8.25	8.5	8.375	17208
2000-03-29	8.25	8.125	8.375	8.225	38600
2000-03-30	8.395	8.125	8.395	8.2125	226532
2000-03-31	8.25	8.25	8.35	8.3125	23580
2000-04-03	8.4975	8.1875	8.5	8.375	148840
2000-04-04	8.495	8.25	8.5	8.375	123460
2000-04-05	8.25	8.25	8.375	8.375	508320
2000-04-06	8.25	8.25	8.625	8.5	108120
2000-04-07	8.375	8.375	8.525	8.5	39200
2000-04-10	8.5	8.5	8.825	8.75	65116
2000-04-11	8.6875	8.6	8.75	8.75	191200
2000-04-12	8.75	8.5	8.875	8.5	33320
2000-04-13	8.3975	8.3875	8.4875	8.4875	35600
2000-04-14	8.0625	8.0625	8.25	8.2	75372
2000-04-17	8.125	8.05	8.25	8.25	245200
2000-04-18	8.2	8.15	8.5	8.25	442860
2000-04-19	8.1875	8.125	8.2	8.125	141844
2000-04-20	8.125	8.125	8.125	8.125	10800
2000-04-25	8.125	8.125	8.125	8.125	18320
2000-04-26	8.125	8.075	8.15	8.125	215284
2000-04-27	8.0775	8.0775	8.125	8.125	60296
2000-04-28	8.0775	8.075	8.125	8.125	21620
2000-05-02	8.0	7.775	8.475	8.475	97356
2000-05-03	8.0	7.875	8.0	8.0	17852
2000-05-04	7.875	7.7875	8.0375	7.9975	88696
2000-05-05	8.1225	8.1225	8.375	8.25	19600
2000-05-08	8.3	8.25	8.3	8.25	32108
2000-05-09	8.3	8.125	8.3	8.125	15684
2000-05-10	8.1375	8.0	8.225	8.0	16800
2000-05-11	8.0	7.75	8.0	8.0	58128
2000-05-12	7.825	7.825	8.25	8.25	49708
2000-05-15	8.25	8.25	8.2525	8.25	1652
2000-05-16	8.2625	8.25	8.375	8.3	32580
2000-05-17	8.25	8.25	8.5	8.325	28200
2000-05-18	8.425	8.35	8.525	8.525	81960
2000-05-19	8.425	8.375	8.5	8.5	37520
2000-05-22	8.5	8.4375	8.5	8.5	152520
2000-05-23	8.51	8.4375	8.675	8.675	96600
2000-05-24	8.5	8.375	8.6	8.45	168800
2000-05-25	8.45	8.25	8.5	8.25	3200
2000-05-26	8.25	8.125	8.25	8.25	27012
2000-05-29	8.215	8.175	8.375	8.375	4600
2000-05-30	8.25	8.25	8.5025	8.25	294400
2000-05-31	8.5	8.25	8.5	8.45	124800
2000-06-02	8.25	8.25	8.45	8.375	58608
2000-06-05	8.5	8.25	8.5	8.375	551912
2000-06-06	8.4975	8.3125	8.4975	8.375	29600
2000-06-07	8.5	8.25	8.5	8.375	314200
2000-06-08	8.375	8.25	8.625	8.375	40200
2000-06-09	8.325	8.325	8.375	8.375	27360
2000-06-12	8.375	8.375	8.45	8.45	12400
2000-06-13	8.375	8.35	8.375	8.375	79800
2000-06-14	8.375	8.375	8.375	8.375	18836
2000-06-15	8.4	8.3625	8.55	8.55	53628
2000-06-16	8.375	8.35	8.5	8.5	56732
2000-06-19	8.3775	8.3775	8.4875	8.3775	7376
2000-06-20	8.375	8.375	8.4375	8.4	25512
2000-06-21	8.375	8.325	8.4375	8.325	81880
2000-06-22	8.25	8.25	8.375	8.375	2504
2000-06-26	8.25	8.25	8.375	8.3125	6400
2000-06-27	8.3125	8.3125	8.375	8.3125	2200
2000-06-28	8.25	8.15	8.375	8.25	6800
2000-06-29	8.125	8.125	8.3125	8.3125	5400
2000-06-30	8.3125	8.2	8.3125	8.2	48040
2000-07-03	8.2	8.0	8.2	8.0	55600
2000-07-04	8.05	8.0	8.125	8.025	31532
2000-07-05	8.0	7.9025	8.375	7.9875	17384
2000-07-06	8.1	8.0	8.25	8.25	46824
2000-07-07	8.0	8.0	8.225	8.225	11000
2000-07-10	8.225	8.125	8.225	8.125	1200
2000-07-11	8.125	8.125	8.2375	8.2375	35680
2000-07-12	8.0	8.0	8.3875	8.125	33400
2000-07-13	8.125	8.125	8.25	8.125	15560
2000-07-14	8.125	8.125	8.375	8.375	9000
2000-07-17	8.25	8.0	8.375	8.375	26540
2000-07-18	8.125	8.0	8.25	8.125	22600
2000-07-19	8.025	8.025	8.25	8.25	800
2000-07-20	8.125	8.1	8.25	8.25	486980
2000-07-21	8.125	8.0625	8.125	8.125	89000
2000-07-24	8.15	8.125	8.15	8.125	88400
2000-07-25	8.125	8.0625	8.125	8.125	4772
2000-07-26	8.125	8.125	8.15	8.125	6400
2000-07-27	8.15	8.0	8.175	8.175	19244
2000-07-28	7.9	7.9	8.125	8.0	26600
2000-07-31	7.9	7.75	8.0	8.0	444852
2000-08-01	8.0	7.925	8.125	7.925	24580
2000-08-02	8.0825	7.875	8.0825	7.875	29812
2000-08-03	7.975	7.8	8.0	8.0	60096
2000-08-04	7.95	7.875	7.95	7.95	40200
2000-08-07	7.9	7.9	8.0	7.95	134520
2000-08-08	8.0	7.775	8.25	8.125	41200
2000-08-09	8.0	8.0	8.25	8.25	128400
2000-08-10	8.25	8.125	8.25	8.2	433648
2000-08-11	8.15	8.15	8.2	8.2	663040
2000-08-14	8.15	8.15	8.225	8.225	67940
2000-08-15	8.25	8.15	8.25	8.15	16316
2000-08-16	8.1425	8.1425	8.3	8.15	223000
2000-08-17	8.15	8.125	8.15	8.15	110800
2000-08-18	8.0	8.0	8.25	8.005	2400
2000-08-21	8.25	8.25	8.375	8.375	10800
2000-08-22	8.2525	8.175	8.325	8.325	159600
2000-08-23	8.25	8.0	8.25	8.0	31468
2000-08-24	8.0	8.0	8.5	8.005	43236
2000-08-25	8.075	8.025	8.25	8.125	231164
2000-08-28	8.125	8.025	8.25	8.025	26268
2000-08-29	8.015	8.015	8.25	8.05	5000
2000-08-30	8.125	8.0625	8.25	8.0625	7200
2000-08-31	8.25	8.1875	8.3725	8.1875	142600
2000-09-01	8.25	8.25	8.35	8.35	28600
2000-09-04	8.05	8.05	8.325	8.325	38800
2000-09-05	8.3	8.25	8.3	8.25	800
2000-09-06	8.225	8.175	8.25	8.175	147600
2000-09-07	8.225	8.175	8.225	8.175	46292
2000-09-08	8.0875	8.0875	8.2	8.1375	66200
2000-09-11	8.125	8.0625	8.175	8.125	92200
2000-09-12	8.025	7.725	8.0625	7.75	135760
2000-09-13	7.75	7.55	7.8875	7.75	409584
2000-09-14	7.75	7.525	7.75	7.55	486364
2000-09-15	7.5025	7.275	7.75	7.375	450544
2000-09-18	7.5	7.4375	7.575	7.5	82172
2000-09-19	7.45	7.45	7.5	7.45	71028
2000-09-20	7.45	7.45	7.5	7.5	8184
2000-09-21	7.375	7.375	7.375	7.375	1600
2000-09-22	7.25	7.075	7.25	7.125	46228
2000-09-25	7.25	7.25	7.375	7.3375	14000
2000-09-26	7.3	7.125	7.3	7.1875	55308
2000-09-27	7.1375	7.125	7.2225	7.175	21088
2000-09-28	7.175	7.175	7.25	7.2	389560
2000-09-29	7.2	7.2	7.5	7.475	21808
2000-10-02	7.5	7.5	7.6875	7.6375	14620
2000-10-03	7.7	7.5025	7.725	7.625	50276
2000-10-04	7.625	7.625	7.75	7.65	14180
2000-10-05	7.75	7.7125	7.75	7.75	5000
2000-10-06	7.875	7.6875	7.875	7.6875	44868
2000-10-09	7.6875	7.5	7.6875	7.575	23892
2000-10-10	7.575	7.575	7.75	7.75	123844
2000-10-11	7.6275	7.25	7.6275	7.25	97600
2000-10-12	7.5	7.325	7.5	7.325	10200
2000-10-13	7.225	7.15	7.3125	7.225	219400
2000-10-16	7.25	7.2375	7.3	7.2375	66200
2000-10-17	7.2375	7.2375	7.5	7.25	130480
2000-10-18	7.2125	7.15	7.4975	7.475	116200
2000-10-19	7.5	7.2525	7.75	7.5	26800
2000-10-20	8.0	7.5	8.0	7.75	24520
2000-10-23	7.5	7.5	7.775	7.775	15800
2000-10-24	7.75	7.725	7.875	7.875	89000
2000-10-25	7.875	7.75	7.995	7.75	166480
2000-10-26	7.5	7.5	7.825	7.75	52044
2000-10-27	7.5	7.5	7.75	7.5	79920
2000-10-30	7.6275	7.0	7.6275	7.0	62044
2000-10-31	7.0	7.0	7.25	7.12	37100
2000-11-01	7.25	7.05	7.25	7.05	12800
2000-11-02	7.075	7.0	7.2	7.0	182640
2000-11-03	7.055	7.0	7.125	7.0	7980
2000-11-06	7.0	6.675	7.0	6.75	24400
2000-11-07	6.7775	6.7775	7.225	7.225	16900
2000-11-08	7.125	6.95	7.125	6.95	104600
2000-11-09	6.95	6.875	6.95	6.875	99800
2000-11-10	6.8825	6.875	7.0	6.935	11600
2000-11-13	6.945	6.875	6.975	6.875	31640
2000-11-14	6.875	6.875	6.875	6.875	72168
2000-11-15	6.925	6.925	6.975	6.975	2680
2000-11-16	6.925	6.8775	7.0	6.8775	14600
2000-11-17	6.95	6.85	6.95	6.875	11864
2000-11-20	7.0	7.0	7.0	7.0	528
2000-11-21	7.0	6.825	7.0	6.9625	4920
2000-11-22	6.875	6.6875	6.875	6.75	17532
2000-11-23	6.675	6.625	6.675	6.65	12520
2000-11-24	6.975	6.65	6.975	6.65	9516
2000-11-27	6.6525	6.625	6.875	6.7375	48800
2000-11-28	6.725	6.625	6.725	6.65	30684
2000-11-29	6.625	6.5	6.6625	6.5	47880
2000-11-30	6.5525	6.5	6.5525	6.5525	36104
2000-12-01	6.5525	6.5525	6.875	6.875	10792
2000-12-04	6.75	6.75	7.0	7.0	24280
2000-12-05	7.0	6.9	7.0	7.0	9136
2000-12-07	7.0	6.75	7.075	6.865	104940
2000-12-08	6.75	6.75	7.0	6.7525	51704
2000-12-11	6.775	6.775	6.825	6.8125	46816
2000-12-12	6.8125	6.8125	6.875	6.875	37540
2000-12-13	6.975	6.875	6.975	6.875	18400
2000-12-14	6.825	6.825	6.975	6.85	19800
2000-12-15	6.85	6.8375	6.875	6.8625	8800
2000-12-18	6.8675	6.8	6.8875	6.875	98400
2000-12-19	6.875	6.75	6.875	6.75	31440
2000-12-20	6.75	6.375	6.75	6.375	102360
2000-12-21	6.5	6.45	6.55	6.5	61860
2000-12-22	6.5475	6.525	6.55	6.545	46920
2000-12-27	6.525	6.4625	6.55	6.55	110600
2000-12-28	6.5	6.5	7.0	6.975	261260
