Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-03	50.984158509	50.984158509	57.612099115	57.612099115	2863
2000-01-04	53.533366435	52.003841679	53.533366435	52.003841679	117
2000-01-05	51.544984253	46.956409987	51.544984253	46.956409987	196
2000-01-07	46.956409987	46.956409987	50.984158509	50.933174351	215
2000-01-10	53.533366435	53.533366435	58.1219407	58.1219407	1049
2000-01-11	55.572732775	55.572732775	61.180990211	61.180990211	1647
2000-01-12	58.631782286	58.631782286	63.730198136	61.180990211	274
2000-01-13	60.161307041	60.161307041	63.220356551	61.180990211	372
2000-01-14	56.08257436	56.08257436	62.200673381	62.200673381	509
2000-01-17	56.08257436	56.08257436	58.580798127	58.580798127	78
2000-01-17	56.08257436	56.08257436	58.580798127	58.580798127	
					0
					0
2000-01-20	54.553049605	54.553049605	58.631782286	58.631782286	1902
2000-01-21	59.651465456	58.631782286	66.228421903	63.679213978	1608
2000-01-24	60.671148626	60.671148626	71.377821913	71.377821913	2765
2000-01-25	68.828613987	67.808930817	71.377821913	71.377821913	358
2000-01-26	66.279406062	66.279406062	71.377821913	71.377821913	372
2000-01-27	70.867980328	70.816996169	71.377821913	71.377821913	1274
2000-01-28	73.417188253	70.358138743	76.476237764	73.162267461	1497
2000-01-31	70.867980328	70.10321795	71.377821913	71.377821913	1049
2000-02-01	66.279406062	66.279406062	66.279406062	66.279406062	19
2000-02-02	66.789247647	65.769564477	76.017380337	76.017380337	431
2000-02-03	70.867980328	70.867980328	86.673069466	71.377821913	2177
2000-02-04	72.397505083	72.397505083	72.397505083	72.397505083	19
2000-02-07	66.228421903	61.180990211	66.279406062	66.279406062	333
2000-02-08	58.631782286	57.10225753	63.730198136	57.10225753	1784
2000-02-09	58.1219407	58.1219407	60.671148626	60.671148626	333
2000-02-10	57.10225753	56.08257436	59.651465456	56.08257436	706
2000-02-11	56.08257436	55.06289119	63.730198136	63.730198136	1098
2000-02-14	58.631782286	58.631782286	58.631782286	58.631782286	196
2000-02-15	63.730198136	51.239079302	63.730198136	56.08257436	4216
2000-02-16	56.08257436	50.984158509	56.08257436	53.533366435	372
2000-02-17	56.08257436	53.533366435	59.651465456	53.533366435	372
2000-02-18	58.631782286	50.984158509	61.537879321	50.984158509	1904
2000-02-21	51.29006346	50.984158509	54.553049605	50.984158509	372
2000-02-22	53.533366435	46.446568402	58.631782286	52.003841679	1176
2000-02-23	55.521748617	55.521748617	56.08257436	56.08257436	98
2000-02-23	55.521748617	55.521748617	56.08257436	56.08257436	
					0
2000-02-25	52.156794155	52.003841679	52.156794155	52.156794155	176
2000-02-28	53.533366435	53.533366435	53.533366435	53.533366435	39
2000-02-29	53.533366435	53.533366435	53.533366435	53.533366435	19
2000-03-01	53.02352485	53.02352485	53.02352485	53.02352485	19
2000-03-02	53.02352485	53.02352485	53.02352485	53.02352485	19
2000-03-03	50.984158509	50.984158509	50.984158509	50.984158509	58
2000-03-06	51.494000094	51.494000094	51.494000094	51.494000094	19
2000-03-07	50.984158509	50.984158509	51.494000094	51.494000094	105
2000-03-08	50.984158509	48.434950584	50.984158509	48.434950584	78
2000-03-08	50.984158509	48.434950584	50.984158509	48.434950584	
					0
					0
2000-03-13	50.984158509	50.984158509	50.984158509	50.984158509	499
2000-03-13	50.984158509	50.984158509	50.984158509	50.984158509	
					0
2000-03-15	50.984158509	48.434950584	50.984158509	48.434950584	117
2000-03-16	48.434950584	45.885742658	48.434950584	47.925108999	196
