Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-03	9.2759425	8.909786875	9.52004625	9.52004625	194504
2000-01-04	9.52004625	9.007428375	9.739739625	9.03183875	82020
2000-01-05	9.03183875	8.6900935	9.12948025	9.03183875	95408
2000-01-07	8.848760937	8.54363125	9.03183875	8.54363125	68680
2000-01-10	8.665683125	8.665683125	8.83655575	8.83655575	46380
2000-01-11	8.860966125	8.860966125	9.153890625	8.909786875	37476
2000-01-12	8.983018	8.948843475	8.995223188	8.958607625	126120
2000-01-13	8.970812813	8.951284513	9.092864688	8.951284513	111400
2000-01-14	9.03183875	8.958607625	9.03183875	8.983018	81400
2000-01-17	8.958607625	8.909786875	9.03183875	8.983018	122588
2000-01-18	9.03183875	8.907345838	9.03183875	9.03183875	302848
2000-01-19	8.909786875	8.909786875	9.03183875	8.983018	202300
2000-01-20	8.909786875	8.909786875	8.958607625	8.93419725	21640
2000-01-21	8.83655575	8.787735	9.03183875	9.03183875	67592
2000-01-24	9.03183875	9.03183875	9.2759425	9.2759425	178012
2000-01-25	9.053808088	8.83655575	9.12948025	8.83655575	12328
2000-01-26	8.8463199	8.64127275	8.8463199	8.64127275	56424
2000-01-27	8.785293963	8.592452	8.787735	8.787735	82400
2000-01-28	8.787735	8.6510369	8.787735	8.665683125	246264
2000-01-31	8.665683125	8.665683125	9.007428375	8.787735	143024
2000-02-01	8.787735	8.568041625	8.860966125	8.568041625	53200
2000-02-02	8.760883588	8.570482662	8.787735	8.570482662	44560
2000-02-03	8.665683125	8.64127275	8.970812813	8.970812813	406800
2000-02-04	9.03183875	9.03183875	9.397994375	9.2759425	46444
2000-02-07	9.046484975	9.03183875	9.2759425	9.2759425	41660
2000-02-08	9.202711375	9.178301	9.2759425	9.2759425	83600
2000-02-09	9.2759425	9.03183875	9.397994375	9.03183875	148096
2000-02-10	9.03183875	7.95778225	9.03183875	7.95778225	109360
2000-02-11	8.128654875	8.128654875	8.421579375	8.372758625	158552
2000-02-14	8.314173725	8.177475625	8.314173725	8.177475625	80404
2000-02-15	8.2995275	8.2995275	8.616862375	8.54363125	33600
2000-02-16	8.54363125	8.54363125	8.970812813	8.909786875	274680
2000-02-17	8.909786875	8.54363125	8.909786875	8.54363125	881284
2000-02-18	8.665683125	8.2995275	8.665683125	8.54363125	16520
2000-02-21	8.54363125	8.421579375	8.665683125	8.54363125	364352
2000-02-22	8.665683125	8.42646145	8.665683125	8.482605313	251200
2000-02-23	8.54363125	8.360553438	8.54363125	8.421579375	950820
2000-02-24	8.34834825	8.2995275	8.421579375	8.421579375	68368
2000-02-25	8.421579375	8.421579375	8.54363125	8.54363125	143524
2000-02-28	8.421579375	7.81132	8.421579375	7.813761037	216708
2000-02-29	7.813761037	7.813761037	7.933371875	7.933371875	6160
2000-03-01	8.05542375	7.933371875	8.177475625	8.057864787	15236
2000-03-02	8.082275163	8.05542375	8.177475625	8.165270438	27600
2000-03-03	8.116449687	8.1042445	8.2995275	8.2995275	75200
2000-03-06	8.2995275	8.031013375	8.421579375	8.05542375	660372
2000-03-07	8.05542375	8.05542375	8.421579375	8.372758625	108996
2000-03-08	8.54363125	8.2995275	8.54363125	8.2995275	92120
2000-03-09	8.297086463	8.116449687	8.54363125	8.421579375	682536
2000-03-10	8.2214143	8.1042445	8.2995275	8.177475625	658424
2000-03-13	8.292204387	7.95778225	8.292204387	8.292204387	101572
2000-03-14	8.05542375	7.933371875	8.177475625	7.933371875	18416
2000-03-15	8.05542375	7.884551125	8.05542375	7.884551125	145096
2000-03-16	8.05542375	7.884551125	8.2995275	8.006603	334704
2000-03-17	8.05542375	7.81132	8.05542375	7.994397812	41200
2000-03-20	7.81132	7.81132	8.05542375	8.05542375	119548
2000-03-21	8.05542375	7.933371875	8.05542375	7.933371875	44456
2000-03-22	7.969987437	7.969987437	8.05542375	8.05542375	101888
2000-03-23	8.05542375	7.994397812	8.05542375	7.994397812	2692
2000-03-24	8.05542375	7.81132	8.05542375	8.05542375	56000
2000-03-27	8.077393088	8.006603	8.079834125	8.006603	67600
2000-03-28	7.933371875	7.86014075	8.050541675	8.050541675	104056
2000-03-29	7.933371875	7.933371875	7.933371875	7.933371875	6336
2000-03-30	7.933371875	7.884551125	7.933371875	7.884551125	37180
2000-03-31	7.86014075	7.81132	7.86014075	7.86014075	134400
2000-04-03	7.81132	7.81132	7.933371875	7.933371875	99920
2000-04-04	7.933371875	7.37193325	7.933371875	7.37193325	5628
2000-04-05	7.37193325	7.07900875	7.56721625	7.56721625	563756
2000-04-06	7.56721625	7.56721625	8.05542375	8.05542375	23708
2000-04-07	8.165270438	7.872345938	8.2995275	8.2995275	77424
2000-04-10	7.933371875	7.872345938	8.177475625	8.05542375	274016
2000-04-11	8.079834125	7.813761037	8.079834125	8.079834125	19200
2000-04-12	8.238501562	8.238501562	8.297086463	8.25070675	9160
2000-04-13	8.177475625	8.116449687	8.54363125	8.2995275	248120
2000-04-14	8.421579375	8.2995275	8.421579375	8.34834825	193696
2000-04-17	7.835730375	7.835730375	8.2995275	8.2995275	11880
2000-04-18	8.421579375	8.421579375	8.909786875	8.909786875	268684
2000-04-19	8.787735	8.787735	9.397994375	9.2759425	529240
2000-04-20	9.397994375	9.263737313	9.397994375	9.263737313	6336
2000-04-25	8.946402437	8.946402437	9.12948025	9.03183875	68000
2000-04-26	9.03183875	8.9244331	9.03183875	9.029397713	20400
2000-04-27	8.995223188	8.421579375	8.995223188	8.421579375	161752
2000-04-28	8.421579375	8.421579375	9.03183875	9.03183875	8120
2000-05-02	9.2759425	8.6705652	9.2759425	9.12948025	56924
2000-05-03	9.03183875	8.909786875	9.03183875	9.03183875	25092
2000-05-04	9.0806595	8.787735	9.12948025	8.787735	22260
2000-05-05	8.83655575	8.824350562	9.019633563	8.824350562	4020
2000-05-08	8.787735	8.787735	8.787735	8.787735	6068
2000-05-09	8.775529813	8.604657188	9.102628837	8.787735	47860
2000-05-10	8.787735	8.787735	8.787735	8.787735	32800
2000-05-11	8.802381225	8.775529813	8.802381225	8.787735	39000
2000-05-12	8.32881995	8.32881995	8.785293963	8.785293963	4028
2000-05-12	8.32881995	8.32881995	8.785293963	8.785293963	
					0
2000-05-16	8.787735	8.665683125	8.787735	8.787735	16600
2000-05-17	8.787735	8.604657188	8.787735	8.604657188	42248
2000-05-18	8.665683125	8.604657188	8.665683125	8.665683125	2920
2000-05-19	8.665683125	8.665683125	8.6900935	8.665683125	5820
2000-05-22	8.54363125	8.421579375	8.616862375	8.421579375	76340
2000-05-23	8.54363125	8.05542375	8.54363125	8.05542375	14120
2000-05-24	7.945577062	7.81132	7.945577062	7.81132	411356
2000-05-25	7.81132	7.81132	7.813761037	7.813761037	10196
2000-05-26	7.81132	7.56721625	7.813761037	7.689268125	728736
2000-05-29	7.982192625	7.616037	7.982192625	7.933371875	16400
2000-05-30	8.2995275	8.116449687	8.2995275	8.177475625	54928
2000-05-31	8.2995275	7.76249925	8.2995275	7.76249925	32500
2000-06-02	8.05542375	8.05542375	8.177475625	8.079834125	253200
2000-06-05	8.177475625	8.05542375	8.2995275	8.05542375	211700
2000-06-06	8.05542375	7.81132	8.057864787	7.81132	247360
2000-06-07	8.214091187	7.9089615	8.421579375	8.421579375	7632
2000-06-08	8.421579375	7.884551125	8.421579375	8.248265713	3380
2000-06-09	8.245824675	8.245824675	8.245824675	8.245824675	1428
2000-06-12	8.2995275	8.2995275	8.2995275	8.2995275	800
2000-06-13	8.360553438	8.2995275	8.470400125	8.2995275	13840
2000-06-14	8.2995275	8.05542375	8.2995275	8.2995275	66320
2000-06-15	8.2995275	8.2995275	8.2995275	8.2995275	50848
2000-06-16	8.2995275	8.05542375	8.2995275	8.05542375	24016
2000-06-19	8.2995275	8.2995275	8.2995275	8.2995275	42304
2000-06-20	8.2995275	8.05542375	8.2995275	8.177475625	49632
2000-06-21	8.177475625	8.05542375	8.177475625	8.05542375	33280
2000-06-22	8.175034588	8.05542375	8.201886	8.05542375	21280
2000-06-26	8.177475625	8.177475625	8.2995275	8.201886	108468
2000-06-27	8.177475625	8.05542375	8.2995275	8.2995275	196860
2000-06-28	8.2995275	8.201886	8.2995275	8.201886	56000
2000-06-29	8.179916663	8.177475625	8.541190213	8.541190213	153008
2000-06-30	8.421579375	8.421579375	8.54363125	8.54363125	186600
2000-07-03	8.568041625	8.54363125	8.568041625	8.54363125	8400
2000-07-04	8.54363125	8.54363125	8.54363125	8.54363125	29600
2000-07-05	8.057864787	8.057864787	8.54363125	8.1042445	61772
2000-07-06	8.1042445	8.079834125	8.106685538	8.1042445	78216
2000-07-07	8.140860062	8.057864787	8.140860062	8.057864787	12540
2000-07-10	8.34834825	8.34834825	8.34834825	8.34834825	2968
2000-07-11	8.079834125	8.079834125	8.275117125	8.214091187	85908
2000-07-12	8.106685538	8.05542375	8.177475625	8.05542375	216240
2000-07-13	8.177475625	8.177475625	8.177475625	8.177475625	88000
2000-07-14	8.287322313	8.287322313	8.787735	8.787735	240000
2000-07-17	8.787735	8.421579375	8.787735	8.54363125	227520
2000-07-18	8.54363125	8.54363125	8.787735	8.787735	148400
2000-07-19	8.726709062	8.726709062	8.726709062	8.726709062	564
2000-07-20	8.787735	8.787735	8.787735	8.787735	20736
2000-07-21	8.8853765	8.8853765	8.8853765	8.8853765	520
2000-07-24	8.83655575	8.787735	8.909786875	8.909786875	166720
2000-07-25	8.909786875	8.54363125	8.909786875	8.54363125	303200
2000-07-26	8.751119437	8.54363125	8.785293963	8.54363125	33600
2000-07-27	8.546072287	8.323937875	8.546072287	8.323937875	18640
2000-07-28	8.177475625	7.933371875	8.177475625	7.933371875	36852
2000-07-31	7.56721625	7.320671463	7.81132	7.81132	1087924
2000-08-01	7.81132	7.689268125	7.81132	7.81132	121412
2000-08-02	7.81132	7.81132	7.81132	7.81132	83536
2000-08-03	7.835730375	7.835730375	8.05542375	7.933371875	702516
2000-08-04	7.982192625	7.95778225	8.05542375	8.05542375	93272
2000-08-07	8.177475625	8.177475625	8.2995275	8.2995275	20440
2000-08-08	8.2995275	8.2995275	8.2995275	8.2995275	24500
2000-08-09	8.2995275	8.2995275	8.787735	8.54363125	233976
2000-08-10	8.2995275	8.05542375	8.372758625	8.079834125	111532
2000-08-11	8.079834125	8.079834125	8.275117125	8.201886	16020
2000-08-14	8.2995275	8.2995275	8.2995275	8.2995275	2000
2000-08-15	8.177475625	8.177475625	8.2995275	8.2995275	3600
2000-08-16	8.2995275	8.2995275	8.519220875	8.519220875	62384
2000-08-17	8.2995275	8.2995275	8.2995275	8.2995275	12160
2000-08-18	8.2995275	8.2995275	8.568041625	8.568041625	2000
2000-08-21	8.616862375	8.54363125	8.616862375	8.54363125	90280
2000-08-22	8.2995275	8.2995275	8.2995275	8.2995275	400
