Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-03	8.831890576	8.831890576	9.36180401	9.185166199	23070
2000-01-04	9.185166199	8.831890576	9.397131573	9.181633443	88204
2000-01-05	8.867218138	8.831890576	9.538441822	9.50311426	49455
2000-01-07	9.538441822	9.185166199	9.538441822	9.538441822	6882
2000-01-10	9.538441822	9.538441822	10.244993068	10.244993068	9942
2000-01-11	9.185166199	9.185166199	10.421630879	10.068355256	15575
2000-01-12	10.244993068	10.068355256	10.244993068	10.244993068	6118
2000-01-13	10.33684473	9.715079633	10.33684473	9.715079633	9942
2000-01-14	9.891717445	9.538441822	9.891717445	9.715079633	12746
2000-01-17	9.891717445	9.891717445	10.421630879	10.244993068	10706
2000-01-18	10.244993068	10.244993068	10.386303317	10.386303317	6373
2000-01-19	10.386303317	9.898782957	10.386303317	10.068355256	10734
2000-01-20	9.962372569	9.962372569	10.382770561	10.382770561	3314
2000-01-21	10.209665506	10.068355256	10.244993068	10.209665506	1955
2000-01-24	10.244993068	9.891717445	10.244993068	10.135477625	4333
2000-01-25	9.803398539	9.803398539	10.068355256	10.068355256	3314
2000-01-26	9.891717445	9.891717445	9.891717445	9.891717445	20394
2000-01-27	9.962372569	9.958839813	9.962372569	9.962372569	12236
2000-01-28	9.785734758	9.715079633	9.962372569	9.891717445	10451
2000-01-31	9.891717445	9.891717445	10.139010381	10.068355256	13044
2000-02-01	10.244993068	10.192001724	10.244993068	10.192001724	5353
2000-02-02	10.209665506	10.174337943	10.209665506	10.192001724	3161
2000-02-03	10.192001724	9.891717445	10.192001724	9.891717445	60417
2000-02-04	9.891717445	9.891717445	10.350975755	10.244993068	92282
2000-02-07	10.068355256	9.898782957	10.329779217	10.315648193	15805
2000-02-08	10.244993068	10.244993068	10.244993068	10.244993068	39169
2000-02-09	10.241460312	9.891717445	10.241460312	10.227329287	16276
2000-02-10	10.068355256	9.715079633	10.068355256	10.068355256	1274
2000-02-11	10.068355256	9.750407196	10.068355256	10.0648225	8004
2000-02-14	10.068355256	10.068355256	10.068355256	10.068355256	2039
2000-02-15	10.050691475	9.891717445	10.068355256	9.891717445	20903
2000-02-16	9.891717445	9.891717445	9.891717445	9.891717445	2804
2000-02-17	9.715079633	9.538441822	9.962372569	9.891717445	17765
2000-02-18	9.891717445	9.545507334	10.068355256	10.068355256	40278
2000-02-21	9.715079633	9.715079633	9.715079633	9.715079633	20394
2000-02-22	9.538441822	9.538441822	10.156674162	9.891717445	7647
2000-02-23	9.609096946	9.185166199	9.962372569	9.185166199	17334
2000-02-24	9.679752071	9.185166199	9.679752071	9.538441822	1070
2000-02-25	9.185166199	9.079183512	9.517245284	9.079183512	16315
2000-02-28	9.750407196	8.831890576	9.750407196	9.008528387	8422
2000-02-29	8.831890576	8.655252764	8.831890576	8.831890576	13765
2000-03-01	8.651720008	8.651720008	9.354738498	9.008528387	41552
2000-03-02	9.185166199	9.008528387	9.185166199	9.008528387	4078
2000-03-03	9.114511074	8.838956088	9.114511074	9.114511074	8412
2000-03-06	9.114511074	9.079183512	9.114511074	9.114511074	5608
2000-03-07	9.008528387	9.008528387	9.185166199	9.185166199	33395
2000-03-08	8.9025457	8.658785521	9.107445562	9.107445562	2549
2000-03-09	8.937873263	8.831890576	8.937873263	8.831890576	57358
2000-03-10	9.008528387	9.008528387	9.008528387	9.008528387	1274
2000-03-13	8.831890576	8.831890576	9.36180401	9.185166199	7137
2000-03-14	9.36180401	9.36180401	9.538441822	9.538441822	5098
2000-03-15	8.9025457	8.831890576	9.255821323	8.831890576	8157
2000-03-16	8.831890576	8.831890576	9.079183512	9.079183512	46906
2000-03-17	8.655252764	8.478614953	8.831890576	8.831890576	2549
2000-03-20	8.475082197	8.266649579	8.475082197	8.266649579	30081
2000-03-21	8.12533933	8.12533933	8.581064883	8.581064883	764
2000-03-22	8.164199648	7.595425895	8.164199648	7.948701518	12491
2000-03-23	7.772063707	7.348132959	7.895710175	7.66608102	8157
2000-03-24	7.418788084	7.065512461	7.595425895	7.401124303	15295
2000-03-27	7.277477834	7.065512461	7.772063707	7.772063707	161609
2000-03-28	8.047618693	8.047618693	8.047618693	8.047618693	560
2000-03-29	8.114741061	7.418788084	8.12533933	7.42232084	7137
2000-03-30	7.842718831	7.598958651	7.895710175	7.842718831	4002
2000-03-31	7.842718831	7.772063707	8.294911629	7.772063707	27276
2000-04-03	8.231322017	7.772063707	8.231322017	8.12533933	12746
2000-04-04	8.121806573	7.948701518	8.478614953	8.478614953	7443
2000-04-05	8.619925202	7.846251588	8.637588983	8.301977141	4971
2000-04-06	8.301977141	8.301977141	8.301977141	8.301977141	509
2000-04-07	8.301977141	8.12533933	8.824825063	8.478614953	4142
2000-04-10	8.12533933	8.12533933	8.301977141	8.301977141	764
2000-04-11	8.301977141	8.12533933	8.301977141	8.301977141	2638
2000-04-11	8.301977141	8.12533933	8.301977141	8.301977141	
					0
2000-04-13	8.12533933	7.948701518	8.12533933	7.948701518	1899
2000-04-14	8.231322017	7.948701518	8.231322017	8.12533933	5353
2000-04-17	7.842718831	7.418788084	8.294911629	8.294911629	18354
2000-04-18	8.796563013	8.478614953	8.796563013	8.478614953	1274
2000-04-19	8.793030257	8.793030257	8.793030257	8.793030257	509
2000-04-19	8.793030257	8.793030257	8.793030257	8.793030257	
					0
2000-04-25	8.655252764	7.952234274	8.655252764	8.44328739	4333
2000-04-26	8.619925202	8.619925202	8.619925202	8.619925202	254
2000-04-27	8.796563013	8.425623609	8.796563013	8.655252764	2294
2000-04-28	8.655252764	8.213658235	8.655252764	8.602261421	4384
2000-05-02	8.478614953	8.478614953	8.655252764	8.655252764	3823
2000-05-03	8.354968485	8.164199648	8.478614953	8.478614953	4843
2000-05-04	8.478614953	8.439754634	8.478614953	8.439754634	24549
2000-05-05	8.407959828	8.407959828	8.407959828	8.407959828	509
2000-05-08	8.160666892	8.12533933	8.44328739	8.44328739	2039
2000-05-09	8.026422155	8.026422155	8.301977141	8.301977141	2039
2000-05-09	8.026422155	8.026422155	8.301977141	8.301977141	
					0
					0
					0
2000-05-15	8.298444385	8.019356643	8.475082197	8.372632266	5381
2000-05-16	8.513942515	8.12533933	8.513942515	8.44328739	98656
2000-05-17	8.407959828	8.054684205	8.407959828	8.054684205	764
2000-05-18	8.022889399	8.022889399	8.12533933	8.12533933	3823
2000-05-19	7.810924025	7.418788084	8.019356643	8.019356643	6118
2000-05-22	7.471779427	7.471779427	7.772063707	7.772063707	21413
2000-05-23	8.090011767	7.772063707	8.266649579	8.12533933	3619
2000-05-24	7.775596463	7.418788084	7.775596463	7.418788084	7647
2000-05-25	8.019356643	7.065512461	8.019356643	7.772063707	23198
2000-05-26	7.595425895	7.348132959	7.772063707	7.348132959	4333
2000-05-29	7.683744801	7.418788084	7.683744801	7.418788084	2804
2000-05-30	7.697875826	7.418788084	7.701408582	7.418788084	4588
2000-05-31	7.595425895	7.595425895	7.874513637	7.874513637	6128
2000-06-02	7.598958651	7.595425895	7.76853095	7.76853095	9177
2000-06-05	7.772063707	7.772063707	7.772063707	7.772063707	509
