Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-03	2.8125	2.8125	2.8875	2.8875	3439
2000-01-04	2.96875	2.875	3.0	3.0	17439
2000-01-05	2.875	2.875	2.8875	2.8875	2559
2000-01-07	2.8875	2.8125	2.9875	2.8125	17839
2000-01-10	2.875	2.875	3.0	3.0	5119
2000-01-11	3.0	3.0	3.05	3.05	1439
2000-01-12	3.0625	3.05	3.1	3.1	5919
2000-01-13	3.0	3.0	3.0	3.0	4319
2000-01-14	2.875	2.875	2.9375	2.9375	6799
2000-01-17	2.9375	2.875	2.9375	2.875	1279
2000-01-18	3.0	3.0	3.1	3.0625	12015
2000-01-19	3.1125	3.0	3.125	3.0	151359
2000-01-19	3.1125	3.0	3.125	3.0	
					0
2000-01-21	3.1125	3.1125	3.375	3.375	3567
2000-01-24	3.0	3.0	3.25	3.125	98239
2000-01-25	3.125	3.1125	3.125	3.125	5919
2000-01-26	3.1875	3.09375	3.2125	3.2125	250239
2000-01-26	3.1875	3.09375	3.2125	3.2125	
					0
2000-01-28	3.125	3.0875	3.125	3.1	2399
2000-01-31	3.125	3.0	3.125	3.0	5759
2000-02-01	2.875	2.875	3.125	3.125	28639
2000-02-02	3.1375	3.0	3.1875	3.1875	7359
2000-02-03	3.1875	3.1875	3.1875	3.1875	2399
2000-02-04	3.1875	3.1875	3.3125	3.3125	1119
2000-02-07	3.1875	3.1875	3.18875	3.1875	20959
2000-02-08	3.19375	3.0625	3.375	3.25	24999
2000-02-09	3.125	3.025	3.125	3.125	171735
2000-02-10	3.0	3.0	3.125	3.0	2719
2000-02-11	3.125	3.025	3.125	3.025	8639
2000-02-14	3.22125	3.125	3.2375	3.125	4399
2000-02-15	3.125	3.125	3.125	3.125	15583
2000-02-16	3.0625	3.0625	3.0625	3.0625	31999
2000-02-17	3.125	3.125	3.125	3.125	11839
2000-02-18	3.125	3.125	3.125	3.125	1599
2000-02-21	3.125	3.125	3.125	3.125	12639
2000-02-22	3.12375	3.10625	3.125	3.10625	9759
2000-02-23	3.0875	3.0875	3.125	3.125	87519
2000-02-24	3.125	3.125	3.125	3.125	1199
