Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-03	6.490497	6.490497	6.490497	6.490497	100
2000-01-04	6.490497	6.490497	6.848868	6.530316	2300
2000-01-05	6.570135	6.5502255	6.69954675	6.5502255	600
2000-01-07	6.490497	6.4705875	6.50045175	6.50045175	380
2000-01-10	6.52036125	6.52036125	6.968325	6.69954675	1300
2000-01-11	6.570135	6.50045175	6.570135	6.570135	2210
2000-01-12	6.4705875	6.4705875	6.76923	6.71945625	1900
2000-01-13	6.6696825	6.6696825	6.6696825	6.6696825	1460
2000-01-14	6.71945625	6.71945625	6.848868	6.848868	700
2000-01-17	6.6696825	6.6696825	6.81900375	6.81900375	1030
2000-01-18	6.85882275	6.729411	6.85882275	6.729411	3500
2000-01-19	6.729411	6.729411	6.76923	6.76923	1180
2000-01-20	6.76923	6.76923	7.01809875	6.968325	8600
2000-01-21	6.81900375	6.81900375	6.968325	6.968325	5300
2000-01-24	7.19728425	6.73936575	7.19728425	6.73936575	1900
2000-01-25	6.73936575	6.73936575	7.16742	7.16742	1600
2000-01-26	7.2271485	7.21719375	8.242533	8.0633475	10420
2000-01-27	8.4615375	8.4615375	9.96470475	9.4570125	16300
2000-01-28	9.8552025	8.0633475	9.8552025	8.083257	5825
2000-01-31	8.083257	8.083257	8.36199	8.2624425	1000
2000-02-01	8.162895	7.9638	8.162895	7.9638	1500
2000-02-02	7.31674125	7.31674125	8.11312125	7.9638	1300
2000-02-03	7.9638	7.47601725	8.36199	7.47601725	850
2000-02-04	7.53574575	7.53574575	8.162895	8.162895	1200
2000-02-07	8.162895	7.57556475	8.76018	8.76018	6600
2000-02-08	8.959275	8.959275	10.0542975	10.0542975	46640
2000-02-09	10.4524875	8.720361	10.950225	8.959275	26901
2000-02-10	9.20814375	7.9638	9.20814375	8.162895	3580
2000-02-11	7.99366425	7.97375475	8.76018	8.561085	4220
2000-02-14	8.561085	8.09321175	8.561085	8.09321175	940
2000-02-15	8.01357375	8.01357375	8.162895	8.162895	1100
2000-02-16	8.21266875	7.8642525	8.21266875	7.8642525	800
2000-02-17	8.4615375	7.56561	8.4615375	7.57556475	1500
2000-02-18	7.6651575	7.366515	7.6651575	7.4660625	4100
2000-02-21	7.4660625	7.4660625	8.0633475	8.0633475	840
2000-02-22	8.0633475	7.51583625	8.21266875	7.57556475	1300
2000-02-23	7.57556475	7.57556475	8.31221625	8.162895	1100
2000-02-24	8.15294025	8.15294025	8.36199	8.36199	1700
2000-02-25	8.36199	8.2624425	8.71040625	8.71040625	3800
2000-02-28	8.36199	8.15294025	8.4615375	8.36199	1500
2000-02-29	8.123076	7.97375475	8.123076	8.0235285	800
2000-03-01	8.05339275	8.05339275	8.21266875	8.0633475	1000
2000-03-02	8.0633475	7.9638	8.0633475	7.9638	3200
2000-03-03	7.9638	7.69502175	7.9638	7.764705	1890
2000-03-06	7.9638	7.764705	8.162895	8.162895	1800
2000-03-07	7.9638	7.8642525	7.9638	7.8642525	1620
2000-03-08	7.9638	7.9638	7.9638	7.9638	200
2000-03-09	7.91402625	7.8642525	8.0633475	7.87420725	4410
2000-03-10	8.0633475	7.9638	8.162895	8.162895	2300
2000-03-13	8.21266875	7.9638	8.21266875	7.9638	2720
2000-03-14	7.69502175	7.69502175	7.9638	7.764705	1100
2000-03-15	7.764705	7.71493125	8.21266875	8.21266875	1300
2000-03-16	7.71493125	7.71493125	7.71493125	7.71493125	500
2000-03-17	7.79456925	7.79456925	7.9638	7.9638	500
2000-03-20	7.764705	7.764705	7.764705	7.764705	800
2000-03-21	7.764705	7.71493125	7.87420725	7.87420725	2300
2000-03-22	7.71493125	7.71493125	7.73484075	7.71493125	1560
2000-03-23	7.71493125	7.71493125	7.71493125	7.71493125	200
2000-03-24	7.85429775	7.85429775	7.85429775	7.85429775	600
2000-03-27	6.888687	6.8687775	6.99818925	6.91855125	1200
2000-03-28	6.91855125	6.6696825	6.91855125	6.6696825	1300
2000-03-29	6.97827975	6.689592	6.97827975	6.689592	1400
2000-03-30	7.09773675	7.09773675	7.09773675	7.09773675	130
2000-03-30	7.09773675	7.09773675	7.09773675	7.09773675	
					0
2000-04-03	6.8687775	6.22171875	6.8687775	6.4705875	1470
2000-04-04	6.5104065	6.5104065	6.848868	6.52036125	780
2000-04-05	6.52036125	6.37104	6.52036125	6.37104	1100
2000-04-06	6.37104	6.37104	6.76923	6.76923	900
2000-04-07	6.3909495	6.22171875	6.3909495	6.2714925	1600
2000-04-10	6.26153775	6.26153775	6.2714925	6.2714925	300
2000-04-11	6.171945	6.171945	6.2714925	6.2714925	600
2000-04-11	6.171945	6.171945	6.2714925	6.2714925	
					0
2000-04-13	6.30135675	6.30135675	6.4705875	6.4705875	1200
2000-04-14	6.32126625	6.32126625	6.4705875	6.4705875	600
