Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-03	7.0	7.0	7.0	7.0	100
2000-01-04	7.05	7.05	7.5	7.5	1300
2000-01-05	7.06	7.05	7.06	7.05	1200
2000-01-07	7.0	7.0	7.0	7.0	200
2000-01-10	7.05	7.0	7.05	7.0	1500
2000-01-11	7.4	7.0	7.4	7.0	800
2000-01-12	7.01	7.0	7.01	7.0	1000
2000-01-13	7.1	7.1	7.1	7.1	1000
2000-01-14	7.39	7.39	7.4	7.4	1000
2000-01-17	7.1	7.1	7.12	7.11	2300
2000-01-18	7.0	7.0	7.0	7.0	358
2000-01-19	7.0	7.0	7.0	7.0	132
2000-01-20	7.05	7.05	7.05	7.05	200
2000-01-21	7.2	7.0	7.2	7.0	1700
2000-01-24	7.0	7.0	7.18	7.01	800
2000-01-25	7.15	7.15	7.18	7.18	300
2000-01-26	7.24	7.24	7.25	7.25	1100
2000-01-27	7.4	7.3	7.99	7.9	6100
2000-01-28	8.0	7.5	8.5	7.5	9700
2000-01-31	7.5	7.2	7.5	7.2	1500
2000-02-01	7.2	7.2	7.54	7.5	5500
2000-02-02	7.4	7.4	7.99	7.99	5000
2000-02-02	7.4	7.4	7.99	7.99	
					0
2000-02-04	7.7	7.7	7.7	7.7	2000
2000-02-07	7.15	7.15	7.5	7.5	600
2000-02-08	7.15	7.15	7.15	7.15	3000
2000-02-09	7.2	7.15	7.2	7.15	550
2000-02-10	7.15	7.1	7.15	7.1	300
2000-02-11	7.1	7.1	7.15	7.15	200
2000-02-14	7.16	7.16	7.2	7.2	700
2000-02-15	7.16	7.16	7.16	7.16	500
2000-02-15	7.16	7.16	7.16	7.16	
					0
					0
					0
2000-02-21	7.11	7.11	7.11	7.11	100
2000-02-22	7.1	7.1	7.1	7.1	200
2000-02-23	7.1	7.1	7.4	7.4	4800
2000-02-23	7.1	7.1	7.4	7.4	
					0
2000-02-25	7.1	7.1	7.1	7.1	200
2000-02-28	6.6	6.6	6.6	6.6	125
2000-02-29	7.0	7.0	7.01	7.01	
2000-02-29	7.0	7.0	7.01	7.01	900
					0
2000-03-02	7.1	7.1	7.1	7.1	647
2000-03-03	7.12	7.11	7.12	7.11	900
2000-03-06	7.29	7.29	7.5	7.3	3742
2000-03-06	7.29	7.29	7.5	7.3	
					0
2000-03-08	7.3	7.3	7.57	7.57	2146
2000-03-09	7.57	7.25	7.57	7.25	1200
2000-03-09	7.57	7.25	7.57	7.25	
					0
2000-03-13	7.5	7.4	7.5	7.41	1528
2000-03-14	7.57	7.5	7.57	7.5	1222
2000-03-15	7.3	7.3	7.56	7.5	
2000-03-15	7.3	7.3	7.56	7.5	1020
					0
2000-03-17	7.5	7.31	7.5	7.5	730
2000-03-20	7.41	7.4	7.45	7.4	2600
2000-03-21	7.4	7.4	7.5	7.5	300
2000-03-22	7.5	7.5	7.6	7.5	2000
2000-03-23	7.5	7.4	7.5	7.4	400
2000-03-24	7.4	7.39	7.41	7.39	1300
2000-03-27	7.0	7.0	7.0	7.0	400
2000-03-28	7.0	7.0	7.0	7.0	1200
2000-03-29	7.0	7.0	7.0	7.0	
2000-03-29	7.0	7.0	7.0	7.0	100
					0
2000-03-31	7.0	7.0	7.0	7.0	100
2000-04-03	7.2	7.2	7.2	7.2	200
2000-04-04	7.0	6.8	7.0	6.8	550
2000-04-05	6.7	6.7	6.7	6.7	200
2000-04-06	6.75	6.7	6.75	6.75	12700
2000-04-07	7.0	7.0	7.0	7.0	300
2000-04-10	7.0	7.0	7.2	7.2	
2000-04-10	7.0	7.0	7.2	7.2	800
					0
2000-04-12	7.2	7.1	7.2	7.1	800
2000-04-13	7.1	7.1	7.1	7.1	9300
2000-04-14	6.9	6.9	7.2	7.2	2600
2000-04-17	7.2	7.2	7.2	7.2	
2000-04-17	7.2	7.2	7.2	7.2	400
					0
					0
2000-04-20	7.1	7.1	7.1	7.1	600
2000-04-25	7.3	7.3	7.3	7.3	300
2000-04-25	7.3	7.3	7.3	7.3	
					0
2000-04-27	7.2	6.7	7.2	6.7	300
2000-04-27	7.2	6.7	7.2	6.7	
					0
					0
2000-05-03	7.0	7.0	7.0	7.0	100
2000-05-04	6.9	6.9	6.9	6.9	400
2000-05-05	6.9	6.9	6.9	6.9	100
2000-05-08	7.0	7.0	7.0	7.0	400
2000-05-08	7.0	7.0	7.0	7.0	
					0
					0
2000-05-11	7.0	7.0	7.0	7.0	1800
2000-05-12	7.0	7.0	7.11	7.11	600
2000-05-12	7.0	7.0	7.11	7.11	
					0
2000-05-16	7.2	7.11	7.2	7.11	
2000-05-16	7.2	7.11	7.2	7.11	300
					0
2000-05-18	7.05	7.05	7.05	7.05	200
2000-05-19	7.03	7.03	7.03	7.03	300
2000-05-22	7.01	7.0	7.01	7.0	1100
2000-05-22	7.01	7.0	7.01	7.0	
					0
2000-05-24	7.0	7.0	7.0	7.0	1400
2000-05-25	7.1	7.1	7.1	7.1	250
2000-05-25	7.1	7.1	7.1	7.1	
					0
					0
2000-05-30	7.1	7.0	7.1	7.0	2500
2000-05-31	7.0	7.0	7.35	7.35	800
2000-06-02	7.35	7.35	7.35	7.35	500
2000-06-05	7.0	7.0	7.01	7.01	2600
2000-06-06	7.02	7.01	7.02	7.01	700
2000-06-07	7.1	7.1	7.1	7.1	200
2000-06-08	7.11	7.11	7.11	7.11	500
2000-06-08	7.11	7.11	7.11	7.11	
					0
2000-06-12	7.2	7.2	7.2	7.2	
2000-06-12	7.2	7.2	7.2	7.2	500
					0
					0
2000-06-15	7.2	7.2	7.39	7.39	
2000-06-15	7.2	7.2	7.39	7.39	2636
					0
2000-06-19	7.25	7.25	7.25	7.25	150
2000-06-20	7.39	7.39	7.39	7.39	200
2000-06-20	7.39	7.39	7.39	7.39	
					0
					0
2000-06-26					0
2000-06-26					
					0
					0
2000-06-29	7.34	7.2	7.4	7.2	
2000-06-29	7.34	7.2	7.4	7.2	600
					0
					0
					0
2000-07-05	7.4	7.4	7.4	7.4	
2000-07-05	7.4	7.4	7.4	7.4	100
					0
2000-07-07	7.2	7.2	7.2	7.2	200
2000-07-07	7.2	7.2	7.2	7.2	
					0
					0
					0
2000-07-13	7.2	7.2	7.2	7.2	
2000-07-13	7.2	7.2	7.2	7.2	400
					0
					0
2000-07-18	7.2	7.2	7.2	7.2	1500
2000-07-19	7.1	7.1	7.2	7.2	3000
