Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-03	6.003121129	6.003121129	6.860709862	6.689192116	506749
2000-01-04	6.689192116	6.123183552	6.689192116	6.294701299	917399
2000-01-05	6.243245975	5.917362256	6.243245975	6.037424679	599494
2000-01-07	6.037424679	5.934514031	6.517674369	6.174638876	2074139
2000-01-10	6.174638876	6.174638876	6.517674369	6.346156623	4553274
2000-01-11	6.543402031	6.466219045	6.689192116	6.672040341	2553729
2000-01-12	6.603433242	6.294701299	6.689192116	6.431915496	1412864
2000-01-13	6.363308397	6.277549524	6.603433242	6.431915496	213909
2000-01-14	6.517674369	6.431915496	6.603433242	6.449067271	354824
2000-01-17	6.433630673	6.433630673	6.603433242	6.57770558	854139
2000-01-18	6.603433242	6.517674369	6.603433242	6.601718065	937499
2000-01-19	6.522819902	6.329004848	6.522819902	6.329004848	2297454
2000-01-20	6.397611947	6.346156623	6.517674369	6.397611947	905554
2000-01-21	6.431915496	6.191790651	6.431915496	6.251821862	579284
2000-01-24	6.260397749	6.174638876	6.428485141	6.346156623	530849
2000-01-25	6.243245975	6.088880003	6.346156623	6.260397749	155199
2000-01-26	6.260397749	6.140335327	6.346156623	6.174638876	1117594
2000-01-27	6.174638876	6.166062989	6.260397749	6.174638876	858574
2000-01-28	6.174638876	5.994545242	6.208942425	6.088880003	373449
2000-01-31	5.960241693	5.960241693	6.123183552	6.088880003	374674
2000-02-01	6.08373447	6.071728228	6.260397749	6.088880003	363069
2000-02-02	6.003121129	6.003121129	6.106031777	6.088880003	380874
2000-02-03	6.088880003	5.985969355	6.346156623	6.174638876	576564
2000-02-04	6.174638876	6.088880003	6.346156623	6.088880003	578289
2000-02-07	6.088880003	5.883058707	6.142050504	6.088880003	882099
2000-02-08	6.003121129	5.917362256	6.071728228	6.037424679	662934
2000-02-09	6.039139856	5.84017927	6.039139856	5.84017927	495494
2000-02-10	5.895064949	5.865906932	5.917362256	5.917362256	436394
2000-02-11	5.917362256	5.900210482	5.920792611	5.910501546	327024
2000-02-14	5.908786369	5.848755158	5.917362256	5.87448282	367589
2000-02-15	5.881343529	5.848755158	5.994545242	5.917362256	384884
2000-02-16	5.917362256	5.660085636	5.934514031	5.805875721	834149
2000-02-17	5.797299834	5.591478538	5.829888205	5.677237411	366149
2000-02-18	5.831603383	5.248443045	5.831603383	5.351353693	936269
2000-02-21	5.282746594	5.282746594	5.48856789	5.317050143	306674
2000-02-22	5.368505467	5.034045861	5.540023214	5.128380622	962629
2000-02-23	5.145532397	5.145532397	5.557174988	5.557174988	1166529
2000-02-24	5.565750876	5.522871439	5.660085636	5.574326763	994899
2000-02-25	5.574326763	5.574326763	5.797299834	5.728692735	1072269
2000-02-28	5.797299834	5.660085636	6.260397749	6.174638876	1203894
2000-02-29	6.260397749	6.003121129	6.433630673	6.088880003	1573494
2000-03-01	6.174638876	6.106031777	6.329004848	6.268973637	2071769
2000-03-02	6.346156623	6.277549524	6.363308397	6.346156623	1355829
2000-03-03	6.329004848	5.84017927	6.329004848	6.003121129	803944
2000-03-06	6.088880003	6.088880003	6.286125411	6.277549524	275429
2000-03-07	6.260397749	6.106031777	6.380460172	6.140335327	354969
2000-03-08	6.145480859	6.003121129	6.145480859	6.003121129	486084
2000-03-09	6.174638876	5.797299834	6.174638876	5.831603383	810964
2000-03-10	6.085449648	5.831603383	6.085449648	5.917362256	627154
2000-03-13	6.003121129	5.591478538	6.003121129	5.74584451	354924
2000-03-14	5.74584451	5.74584451	6.208942425	6.174638876	837914
2000-03-15	6.183214763	6.028848791	6.183214763	6.088880003	1412389
2000-03-16	6.003121129	6.003121129	6.251821862	6.208942425	1935859
2000-03-17	6.260397749	6.260397749	6.413048544	6.413048544	658179
2000-03-20	6.431915496	6.431915496	6.517674369	6.517674369	444054
2000-03-21	6.515959192	6.431915496	6.517674369	6.48337082	390524
2000-03-22	6.500522594	6.294701299	6.689192116	6.346156623	1173144
2000-03-23	6.346156623	6.346156623	6.61200913	6.431915496	280904
2000-03-24	6.517674369	6.517674369	6.644597502	6.603433242	421769
2000-03-27	6.57770558	6.57770558	6.903589299	6.860709862	1120644
2000-03-28	6.860709862	6.732071552	6.860709862	6.774950989	205609
2000-03-29	6.774950989	6.774950989	7.255200679	7.015075834	1104649
2000-03-30	7.032227609	6.732071552	7.032227609	6.732071552	512219
2000-03-31	6.738932262	6.637736792	6.860709862	6.860709862	665269
2000-04-03	6.860709862	6.766375102	6.860709862	6.8349822	449369
2000-04-04	6.8349822	6.672040341	6.860709862	6.757799214	984649
2000-04-05	6.757799214	6.732071552	6.860709862	6.774950989	1163859
2000-04-06	6.809254538	6.776666166	6.860709862	6.860709862	1897989
2000-04-07	6.860709862	6.809254538	6.997924059	6.860709862	984914
2000-04-10	6.860709862	6.860709862	7.203745355	7.203745355	2413034
2000-04-11	7.22089713	6.997924059	7.255200679	7.033942786	396859
2000-04-12	7.071676691	6.997924059	7.160865919	7.015075834	792379
2000-04-13	6.431915496	6.260397749	6.997924059	6.946468736	1128419
2000-04-14	6.860709862	6.517674369	6.929316961	6.843558088	677334
2000-04-17	6.346156623	6.260397749	6.569129693	6.517674369	334284
2000-04-18	6.466219045	6.174638876	6.672040341	6.672040341	279594
2000-04-19	6.689192116	6.603433242	6.70634389	6.689192116	223949
2000-04-20	6.714919778	6.689192116	6.946468736	6.860709862	251774
2000-04-25	6.85556433	6.85556433	6.920741074	6.912165186	485864
2000-04-26	6.912165186	6.912165186	6.967050865	6.946468736	158679
2000-04-27	6.895013412	6.895013412	7.032227609	6.997924059	158469
2000-04-28	6.946468736	6.946468736	7.203745355	7.135138257	179859
2000-05-02	7.203745355	7.203745355	7.375263102	7.203745355	620084
2000-05-03	7.195169468	7.083682933	7.195169468	7.186593581	307954
2000-05-04	7.186593581	7.117986482	7.203745355	7.169441806	282679
2000-05-05	7.169441806	7.100834707	7.203745355	7.203745355	78119
2000-05-08	7.203745355	7.075107045	7.22089713	7.117986482	267874
2000-05-09	7.203745355	7.152290031	7.306656003	7.289504229	412829
2000-05-10	7.289504229	7.203745355	8.145377784	7.718298595	575184
2000-05-11	7.718298595	7.375263102	7.718298595	7.546780848	75654
2000-05-12	7.632539722	7.546780848	7.718298595	7.555356736	265369
2000-05-15	7.632539722	7.375263102	7.718298595	7.375263102	405699
2000-05-16	7.718298595	7.546780848	7.812633356	7.752602144	414364
2000-05-17	7.804057468	7.804057468	8.438673131	8.318610708	2815639
2000-05-18	8.404369581	8.292883046	8.610190877	8.533007891	1266309
2000-05-19	8.575887328	8.318610708	8.575887328	8.404369581	941784
2000-05-22	8.438673131	8.164244736	8.572456973	8.404369581	351524
2000-05-23	8.316895531	8.316895531	8.404369581	8.352914257	527429
2000-05-24	8.35805979	8.078485863	8.35805979	8.147092961	998024
2000-05-25	8.147092961	8.061334088	8.181396511	8.129941187	201879
2000-05-26	7.975575215	7.718298595	7.975575215	7.726874482	100529
2000-05-29	7.726874482	7.632539722	7.804057468	7.726874482	448899
2000-05-30	7.872664567	7.718298595	8.027030539	7.718298595	656829
2000-05-31	7.99272699	7.581084398	8.009878764	7.718298595	290324
2000-06-02	7.718298595	7.581084398	7.889816342	7.658267384	261869
2000-06-05	7.658267384	7.546780848	7.658267384	7.546780848	501534
2000-06-06	7.546780848	7.121416837	7.546780848	7.203745355	306254
2000-06-07	7.203745355	6.843558088	7.375263102	6.955044623	643914
2000-06-08	6.955044623	6.955044623	7.973860037	7.973860037	572099
2000-06-09	7.718298595	7.546780848	7.786905694	7.786905694	495184
2000-06-12	7.632539722	7.632539722	8.061334088	8.061334088	140164
2000-06-13	8.044182313	7.376978279	8.044182313	7.718298595	457024
2000-06-14	7.598236172	7.203745355	7.683995046	7.289504229	146179
2000-06-15	7.289504229	6.860709862	7.375263102	7.117986482	1415829
2000-06-16	7.203745355	7.203745355	7.486749637	7.375263102	219064
2000-06-19	7.529629074	7.461021975	7.546780848	7.495325524	422154
2000-06-20	7.527913896	7.375263102	7.546780848	7.546780848	203494
2000-06-21	7.546780848	7.443870201	7.563932623	7.452446088	560699
2000-06-22	7.495325524	7.238048905	7.512477299	7.238048905	372339
2000-06-26	7.461021975	7.289504229	7.461021975	7.323807778	362109
2000-06-27	7.304940826	7.203745355	7.409566651	7.286073874	98504
2000-06-28	7.34953544	7.135138257	7.34953544	7.169441806	209734
2000-06-29	7.203745355	6.895013412	7.203745355	6.946468736	588989
2000-06-30	7.083682933	7.032227609	7.289504229	7.289504229	356274
2000-07-03	7.289504229	7.289504229	7.461021975	7.461021975	180859
2000-07-04	7.563932623	7.392414877	7.563932623	7.443870201	428579
2000-07-05	7.495325524	7.495325524	7.675419158	7.503901412	552899
2000-07-06	7.546780848	7.546780848	7.752602144	7.752602144	345854
2000-07-07	7.582799575	7.581084398	7.716583418	7.716583418	422654
2000-07-10	7.716583418	7.515907654	7.716583418	7.630824544	171689
2000-07-11	7.632539722	7.461021975	7.682279868	7.658267384	196519
2000-07-12	7.658267384	7.632539722	7.888101164	7.888101164	461569
2000-07-13	7.877810099	7.846936905	7.924119891	7.906968116	257039
2000-07-14	7.906968116	7.821209243	7.975575215	7.889816342	300834
2000-07-17	7.925835068	7.761178032	7.932695778	7.932695778	113154
2000-07-18	7.932695778	7.85036726	7.949847553	7.889816342	37109
2000-07-19	7.889816342	7.598236172	7.889816342	7.598236172	544494
2000-07-20	7.632539722	7.546780848	7.804057468	7.718298595	263714
2000-07-21	7.718298595	7.718298595	7.846936905	7.821209243	390299
2000-07-24	7.821209243	7.821209243	7.846936905	7.821209243	218994
2000-07-25	7.804057468	7.45073091	7.804057468	7.529629074	574699
2000-07-26	7.529629074	7.46445233	7.683995046	7.623963834	286909
2000-07-27	7.73545037	7.400990764	7.73545037	7.400990764	64619
2000-07-28	7.461021975	7.376978279	7.546780848	7.443870201	56949
2000-07-31	7.443870201	7.354680972	7.461021975	7.392414877	562539
2000-08-01	7.375263102	7.375263102	7.615387947	7.615387947	307789
2000-08-02	7.615387947	7.461021975	7.615387947	7.461021975	743304
2000-08-03	7.495325524	7.289504229	7.495325524	7.289504229	290279
2000-08-04	7.289504229	7.212321243	7.289504229	7.289504229	100409
2000-08-07	7.255200679	7.255200679	7.383838989	7.289504229	179694
2000-08-08	7.340959553	7.032227609	7.375263102	7.032227609	264689
2000-08-09	7.469597863	7.289504229	7.889816342	7.889816342	198799
2000-08-10	7.888101164	7.666843271	7.888101164	7.718298595	282044
2000-08-11	7.718298595	7.716583418	7.786905694	7.752602144	129524
2000-08-14	7.821209243	7.675419158	7.889816342	7.675419158	441579
2000-08-15	7.769753919	7.769753919	7.855512792	7.821209243	154414
2000-08-16	7.838361018	7.761178032	7.874379744	7.838361018	255509
2000-08-17	7.838361018	7.73545037	7.872664567	7.769753919	642094
2000-08-18	7.761178032	7.73545037	7.855512792	7.73545037	123684
2000-08-21	7.786905694	7.73545037	7.889816342	7.889816342	120189
2000-08-22	7.85036726	7.632539722	8.061334088	7.632539722	607789
2000-08-23	7.632539722	7.546780848	7.718298595	7.598236172	271939
2000-08-24	7.718298595	7.666843271	7.889816342	7.889816342	384444
2000-08-25	7.973860037	7.889816342	8.044182313	7.889816342	317389
2000-08-28	7.903537761	7.752602144	7.95842344	7.924119891	143464
2000-08-29	7.95842344	7.889816342	8.009878764	7.95842344	805834
2000-08-30	7.95842344	7.855512792	8.009878764	8.009878764	420804
2000-08-31	8.052758201	7.846936905	8.059618911	7.846936905	1181524
2000-09-01	7.838361018	7.761178032	7.975575215	7.975575215	379999
2000-09-04	7.898392229	7.898392229	8.061334088	7.99272699	116689
2000-09-05	8.018454651	7.889816342	8.044182313	8.044182313	429299
2000-09-06	8.018454651	8.018454651	8.421521356	8.385502629	951704
2000-09-07	8.267155384	8.061334088	8.267155384	8.061334088	378839
2000-09-08	8.147092961	8.061334088	8.575887328	8.455824905	1871224
2000-09-11	8.404369581	8.387217807	8.575887328	8.575887328	1593939
2000-09-12	8.575887328	8.575887328	8.747405074	8.661646201	1449469
2000-09-13	8.659931024	8.659931024	8.918922821	8.867467497	1179544
2000-09-14	8.816012173	8.816012173	8.884619272	8.884619272	680984
2000-09-15	8.867467497	8.867467497	9.021833469	9.004681694	482454
2000-09-18	8.747405074	8.747405074	9.004681694	8.833163948	673499
2000-09-19	8.833163948	8.790284511	8.910346934	8.790284511	656819
2000-09-20	8.747405074	8.618766764	8.781708624	8.627342652	1227994
2000-09-21	8.575887328	8.318610708	8.575887328	8.404369581	1248949
2000-09-22	8.404369581	8.061334088	8.490128455	8.490128455	1719329
2000-09-25	8.575887328	8.575887328	8.918922821	8.833163948	239929
2000-09-26	8.833163948	8.575887328	8.833163948	8.747405074	573929
2000-09-27	8.83144877	8.816012173	9.304837751	9.261958314	557134
2000-09-28	9.261958314	9.141895891	9.279110089	9.219078877	963434
2000-09-29	9.174484263	9.174484263	9.553538483	9.502083159	1255699
2000-10-02	9.433476061	9.261958314	9.707904455	9.565544725	831594
2000-10-03	9.433476061	9.090440567	9.433476061	9.261958314	682724
2000-10-04	9.176199441	9.176199441	9.442051948	9.433476061	1624954
2000-10-05	9.519234934	9.261958314	9.519234934	9.261958314	350214
2000-10-06	9.265388669	8.918922821	9.265388669	8.961802258	404579
2000-10-09	8.870897852	8.807436286	8.918922821	8.807436286	760164
2000-10-10	8.937789773	8.663361379	8.937789773	8.798860398	221354
2000-10-11	8.833163948	8.232851835	8.833163948	8.7302533	903374
2000-10-12	8.575887328	8.455824905	8.661646201	8.490128455	339514
2000-10-13	8.361490145	7.889816342	8.404369581	8.213984883	357879
2000-10-16	8.284307159	8.231136657	8.490128455	8.404369581	580579
2000-10-17	8.232851835	8.147092961	8.404369581	8.147092961	656584
2000-10-18	8.198548285	7.889816342	8.232851835	7.889816342	527099
2000-10-19	7.975575215	7.975575215	8.404369581	8.404369581	690319
2000-10-20	8.575887328	8.490128455	8.747405074	8.490128455	733324
2000-10-23	8.575887328	8.490128455	8.575887328	8.524432004	650769
2000-10-24	8.507280229	8.455824905	8.798860398	8.798860398	884114
2000-10-25	8.661646201	8.524432004	8.747405074	8.575887328	394149
2000-10-26	8.57417215	8.412945469	8.57417215	8.57417215	46894
2000-10-27	8.575887328	8.498704342	8.747405074	8.558735553	553299
2000-10-30	8.644494426	8.644494426	8.678797976	8.670222088	156844
2000-10-31	8.661646201	8.147092961	8.670222088	8.232851835	812619
2000-11-01	8.23628219	8.23628219	8.404369581	8.327186595	377699
2000-11-02	8.371781209	8.34433837	8.490128455	8.34433837	946929
2000-11-03	8.385502629	8.346053547	8.404369581	8.346053547	1119884
2000-11-06	8.404369581	8.352914257	9.090440567	9.021833469	620344
2000-11-07	9.090440567	8.833163948	9.176199441	9.174484263	370029
2000-11-08	9.004681694	9.004681694	9.176199441	9.090440567	653854
2000-11-09	9.090440567	8.850315722	9.090440567	8.876043384	229559
2000-11-10	8.901771046	8.781708624	8.95322637	8.833163948	279939
2000-11-13	8.747405074	8.593039102	8.747405074	8.661646201	331514
2000-11-14	8.575887328	8.575887328	9.261958314	9.176199441	1238434
2000-11-15	9.244806539	9.052706663	9.536386709	9.090440567	1105694
2000-11-16	9.092155745	8.920637998	9.261958314	9.219078877	263174
2000-11-17	9.176199441	9.064712905	9.484931385	9.484931385	215554
2000-11-20	9.500367982	9.416324286	9.553538483	9.544962596	666974
2000-11-21	9.433476061	8.438673131	9.433476061	8.918922821	1277499
2000-11-22	9.090440567	8.747405074	9.176199441	9.176199441	1609859
2000-11-23	9.347717187	9.090440567	9.433476061	9.244806539	637804
2000-11-24	9.244806539	9.244806539	9.536386709	9.536386709	650224
2000-11-27	9.433476061	9.433476061	9.639297356	9.553538483	618609
2000-11-28	9.519234934	9.519234934	9.630721469	9.61013934	624659
2000-11-29	9.622145582	9.604993807	9.81939099	9.793663328	1227859
