Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-03	63.0	63.0	68.3	65.75	162389
2000-01-04	65.15	57.0	65.15	60.0	150081
2000-01-05	58.0	51.0	58.0	53.0	327807
2000-01-07	50.0	46.01	56.0	56.0	199304
2000-01-10	58.04	57.3	58.04	57.4	138968
2000-01-11	58.0	58.0	59.6	59.4	315971
2000-01-12	58.0	57.0	59.3	58.5	273711
2000-01-13	59.0	59.0	61.5	61.25	109034
2000-01-14	62.0	61.0	62.5	62.01	184881
2000-01-17	62.0	62.0	67.5	67.5	155744
2000-01-18	66.0	64.1	66.0	65.0	89239
2000-01-19	64.9	63.5	65.0	64.3	47002
2000-01-20	65.0	62.0	67.0	64.0	103935
2000-01-21	64.1	61.5	64.1	62.0	40451
2000-01-24	62.0	61.1	62.99	61.7	115293
2000-01-25	61.5	59.0	61.5	60.0	132954
2000-01-26	61.0	59.0	61.0	59.0	133656
2000-01-27	59.4	52.0	59.4	54.8	262256
2000-01-28	55.01	55.01	56.9	56.0	255678
2000-01-31	56.5	55.3	58.5	58.0	117569
2000-02-01	57.0	57.0	61.39	60.0	288541
2000-02-02	60.02	59.0	60.5	60.2	221436
2000-02-03	60.29	60.29	63.5	63.25	193512
2000-02-04	62.98	60.5	64.0	61.66	93439
2000-02-07	61.35	61.35	64.2	64.1	83406
2000-02-08	64.0	63.25	67.5	67.0	100026
2000-02-09	67.0	65.5	70.01	66.5	177135
2000-02-10	66.5	64.02	68.75	68.75	152125
2000-02-11	68.63	65.5	68.7	66.0	58496
2000-02-14	65.0	59.75	65.0	61.75	99366
2000-02-15	61.5	56.5	62.3	57.0	296430
2000-02-16	57.5	55.0	57.75	56.6	198413
2000-02-17	58.0	55.5	58.5	57.0	170842
2000-02-18	57.74	57.74	69.0	66.5	679650
2000-02-21	67.0	62.5	67.0	63.0	142476
2000-02-22	65.5	59.0	65.5	60.05	111300
2000-02-23	60.18	60.18	63.5	63.2	361299
2000-02-24	63.5	63.5	66.4	66.0	493127
2000-02-25	65.0	65.0	69.0	69.0	385060
2000-02-28	67.0	67.0	69.6	69.1	178900
2000-02-29	69.02	69.0	72.0	71.5	396024
2000-03-01	72.25	72.25	81.0	78.7	371947
2000-03-02	78.9	77.5	80.0	78.0	181619
2000-03-03	78.3	78.3	81.5	80.5	166142
2000-03-06	81.0	81.0	85.0	83.0	79123
2000-03-07	83.0	77.0	83.0	78.66	80227
2000-03-08	78.03	71.0	78.03	74.5	147541
2000-03-09	77.5	71.5	79.5	77.38	585524
2000-03-10	79.0	75.0	79.8	76.49	132936
2000-03-13	76.8	71.5	76.8	72.4	90415
2000-03-14	73.51	70.5	73.51	70.5	72722
2000-03-15	70.0	67.0	71.0	67.99	124270
2000-03-16	66.6	65.0	67.85	66.5	333861
2000-03-17	68.0	68.0	74.1	73.0	308344
2000-03-20	74.0	71.5	76.5	75.45	233199
2000-03-21	75.0	68.5	75.0	70.4	66180
2000-03-22	71.0	65.6	73.5	67.0	207714
2000-03-23	68.51	62.6	69.0	63.05	201029
2000-03-24	65.0	65.0	70.75	69.0	313285
2000-03-27	67.72	66.0	70.0	67.0	138670
2000-03-28	67.25	66.1	69.5	69.0	195263
2000-03-29	69.0	65.0	69.5	66.9	94756
2000-03-30	66.02	58.7	66.02	64.5	413805
2000-03-31	60.25	60.25	64.0	62.7	192752
2000-04-03	65.0	59.5	65.0	60.0	245027
2000-04-04	57.0	56.95	62.0	59.0	466179
2000-04-05	58.5	51.1	59.25	57.5	208834
2000-04-06	57.05	57.05	61.5	61.0	219424
2000-04-07	62.03	61.0	63.0	62.0	198283
2000-04-10	63.0	59.3	63.0	59.5	220638
2000-04-11	58.0	55.0	58.0	56.9	238512
2000-04-12	55.88	54.5	56.8	54.6	118915
2000-04-13	53.5	47.5	53.5	50.0	601399
2000-04-14	48.5	45.5	50.0	46.0	190011
2000-04-17	43.99	41.0	47.0	45.0	244447
2000-04-18	47.0	46.3	50.0	47.75	180334
2000-04-19	50.0	49.0	54.0	54.0	105249
2000-04-20	53.75	52.1	56.0	52.1	48120
2000-04-25	52.18	51.49	55.8	52.0	105307
2000-04-26	53.0	52.8	57.8	56.0	98320
2000-04-27	56.0	54.0	58.0	54.0	163481
2000-04-28	55.01	51.5	56.0	52.41	385000
2000-05-02	54.5	54.5	58.0	56.4	540579
2000-05-03	56.0	54.0	56.0	54.4	41529
2000-05-04	53.93	51.4	55.3	52.0	295223
2000-05-05	53.0	50.2	53.0	50.5	22071
2000-05-08	52.0	49.6	52.0	50.95	63159
2000-05-09	50.51	50.0	51.75	50.9	54387
2000-05-10	50.0	44.02	50.9	47.5	57407
2000-05-11	46.0	45.5	48.9	48.25	58679
2000-05-12	50.0	50.0	52.0	50.7	109082
2000-05-15	50.3	46.0	50.3	46.5	418776
2000-05-16	47.25	45.0	48.0	45.6	243899
2000-05-17	47.0	45.5	47.0	46.2	157186
2000-05-18	45.72	44.3	46.0	44.8	177738
2000-05-19	44.81	42.5	44.81	43.45	287730
2000-05-22	42.9	41.2	44.0	42.0	165880
2000-05-23	44.0	40.75	44.0	40.8	114315
2000-05-24	40.7	37.7	40.7	38.8	267546
2000-05-25	39.75	38.8	40.5	40.0	174377
2000-05-26	40.75	38.7	40.75	39.0	88853
2000-05-29	39.0	38.5	39.5	39.0	22061
2000-05-30	39.5	38.5	39.7	39.35	270497
2000-05-31	40.5	40.5	42.0	41.9	398901
2000-06-02	43.04	42.75	45.55	45.0	260729
2000-06-05	46.0	45.0	48.1	45.3	274663
2000-06-06	45.51	44.5	45.79	44.6	84993
2000-06-07	43.87	43.4	43.87	43.6	86166
2000-06-08	44.99	44.99	46.6	46.0	342984
2000-06-09	46.0	46.0	46.8	46.3	153542
2000-06-12	46.8	46.6	47.2	46.6	11181
2000-06-13	46.6	43.5	46.6	43.5	103595
2000-06-14	45.0	39.0	45.0	40.3	1334074
2000-06-15	40.95	36.02	40.95	38.25	1396713
2000-06-16	38.55	37.16	39.0	37.75	317983
2000-06-19	38.49	37.75	39.0	38.0	212249
2000-06-20	39.0	39.0	40.9	40.9	345034
2000-06-21	41.0	39.75	41.45	40.0	95892
2000-06-22	40.94	40.02	41.35	40.5	130831
2000-06-26	39.55	39.0	40.5	39.81	135505
2000-06-27	39.98	38.5	40.9	38.5	146800
2000-06-28	39.0	38.5	40.0	38.6	216818
2000-06-29	38.6	36.0	38.6	37.0	306326
2000-06-30	37.0	34.5	38.0	34.95	350661
2000-07-03	36.0	35.3	38.0	37.8	280130
2000-07-04	38.0	38.0	38.75	38.01	157136
2000-07-05	38.5	37.5	38.5	37.7	176484
2000-07-06	37.5	35.51	37.5	35.51	107209
2000-07-07	37.0	36.1	37.45	36.65	87390
2000-07-10	38.5	35.5	38.5	35.6	132259
2000-07-11	35.98	35.15	35.98	35.4	220177
2000-07-12	35.49	34.91	35.5	35.4	207326
2000-07-13	35.5	34.0	35.7	35.64	417264
2000-07-14	35.85	35.79	38.5	38.5	320536
2000-07-17	38.5	38.3	40.98	40.65	230671
2000-07-18	40.5	40.5	41.5	41.0	164291
2000-07-19	41.49	40.65	41.6	41.15	267215
2000-07-20	41.0	39.5	42.0	42.0	92522
2000-07-21	42.09	41.0	42.7	42.5	322147
2000-07-24	42.5	41.9	42.7	42.0	60147
2000-07-25	42.01	41.8	42.95	42.6	226962
2000-07-26	42.9	42.0	43.0	42.15	306953
2000-07-27	42.25	39.9	42.25	40.0	236684
2000-07-28	39.4	39.2	40.9	40.9	322724
2000-07-31	40.5	38.25	40.5	38.25	180016
2000-08-01	37.03	32.7	37.03	33.0	1201636
2000-08-02	32.9	29.5	32.9	30.3	991046
2000-08-03	30.55	27.5	30.55	29.1	503876
2000-08-04	29.5	29.5	30.7	30.32	416511
2000-08-07	31.0	29.8	31.0	30.45	82944
2000-08-08	30.98	30.85	32.5	32.5	427329
2000-08-09	33.0	32.4	33.49	33.02	160932
2000-08-10	33.47	32.6	33.47	32.7	104888
2000-08-11	33.0	32.0	33.0	32.75	183512
2000-08-14	32.95	32.55	33.21	32.55	29323
2000-08-15	32.8	32.8	33.5	33.5	58251
2000-08-16	33.45	33.45	34.0	33.7	66181
2000-08-17	34.06	34.0	34.85	34.1	251971
2000-08-18	34.25	34.0	34.7	34.2	216838
2000-08-21	34.0	33.3	34.2	33.9	125353
2000-08-22	33.7	33.7	34.99	34.4	310502
2000-08-23	34.8	33.85	34.8	34.0	252456
2000-08-24	34.2	32.5	34.2	33.0	180795
2000-08-25	33.0	32.4	33.0	32.41	146053
2000-08-28	32.99	32.99	33.48	33.3	98499
2000-08-29	33.45	33.29	34.3	33.9	253974
2000-08-30	33.7	33.7	34.5	34.5	241528
2000-08-31	34.5	33.86	37.0	36.65	311092
2000-09-01	37.0	36.45	39.98	38.9	480581
2000-09-04	39.05	37.6	39.05	37.65	134375
2000-09-05	38.01	36.75	38.15	37.0	220602
2000-09-06	36.94	35.11	37.25	35.31	109039
2000-09-07	35.25	33.1	35.3	34.7	692809
2000-09-08	35.0	34.0	35.0	34.06	266912
2000-09-11	34.5	33.5	34.5	33.8	86995
2000-09-12	34.03	33.05	34.7	33.7	270418
2000-09-13	34.0	33.15	35.2	34.2	201844
2000-09-14	34.0	33.6	34.4	34.0	380297
2000-09-15	34.0	33.0	34.35	33.75	452592
2000-09-18	33.75	32.7	33.75	33.0	260706
2000-09-19	33.0	30.2	33.0	31.8	247727
2000-09-20	32.22	31.5	33.0	31.6	307924
2000-09-21	32.95	31.35	32.95	31.75	250322
2000-09-22	31.08	27.51	32.5	32.5	220305
2000-09-25	32.69	32.69	33.15	32.7	230267
2000-09-26	32.5	32.49	33.0	32.8	168266
2000-09-27	32.5	32.5	33.5	32.7	351707
2000-09-28	33.0	31.5	33.0	31.5	118535
2000-09-29	32.8	31.5	32.8	32.0	136684
2000-10-02	32.0	31.75	32.4	32.0	87684
2000-10-03	32.0	31.5	33.15	33.09	459836
2000-10-04	33.0	32.01	33.0	33.0	197758
2000-10-05	32.5	32.5	33.15	33.15	79619
2000-10-06	33.0	31.82	33.0	32.0	60655
2000-10-09	31.69	30.5	31.69	31.5	223735
