Date	Price Open	Price Low	Price High	Price Close	Volume
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2000-03-15		800.0	1252.5	1205.0	167347
2000-03-16		975.0	1175.0	1000.0	23548
2000-03-17		920.5	1085.0	987.5	11001
2000-03-20		912.5	1000.0	965.0	8214
2000-03-21		888.5	925.0	900.0	5932
2000-03-22		875.0	950.5	900.0	6648
2000-03-23		825.0	930.0	825.0	5211
2000-03-24		805.0	880.0	865.0	4464
2000-03-27		850.0	860.0	850.0	1719
2000-03-28		825.0	925.0	912.5	3758
2000-03-29		855.0	910.0	900.0	3032
2000-03-30		800.0	885.0	800.0	4801
2000-03-31		750.0	1200.0	1200.0	6280
2000-04-03		875.5	1000.0	920.5	4921
2000-04-04		785.0	900.0	800.0	1860
2000-04-05		625.0	795.0	650.0	1579
2000-04-06		663.0	903.5	903.5	4290
2000-04-07		800.0	930.0	925.0	2988
2000-04-10		737.5	924.5	745.0	472
2000-04-11		657.5	710.0	700.0	2496
2000-04-12		700.0	730.0	712.5	1057
2000-04-13		655.0	830.0	825.0	1262
2000-04-14		825.0	875.0	830.0	2576
2000-04-17		625.0	825.0	825.0	2865
2000-04-18		753.0	830.5	765.5	375
2000-04-19		750.0	825.0	775.0	698
2000-04-20		725.0	770.5	750.0	60
2000-04-25		727.5	800.0	758.0	628
2000-04-26		760.0	799.5	775.0	235
2000-04-27		575.0	714.5	635.0	6578
2000-04-28		635.0	665.0	644.5	5039
2000-05-02		665.0	700.0	700.0	5209
2000-05-03		660.0	712.5	687.5	2295
2000-05-04		590.0	677.5	605.0	3971
2000-05-05		587.5	625.0	592.5	197
2000-05-08		536.5	592.5	540.0	514
2000-05-09		526.5	546.5	526.5	193
2000-05-10		450.0	539.5	470.0	284
2000-05-11		411.5	459.5	427.5	510
2000-05-12		432.5	447.5	440.0	761
2000-05-15		402.5	446.5	405.0	530
2000-05-16		400.5	439.0	415.0	178
2000-05-17		415.0	437.5	417.5	355
2000-05-18		351.0	400.0	357.5	525
2000-05-19		305.0	365.0	320.0	521
2000-05-22		272.0	325.0	272.0	419
2000-05-23		240.0	287.5	245.0	943
2000-05-24		210.0	245.0	211.0	1032
2000-05-25		212.5	251.0	245.0	921
2000-05-26		239.0	255.0	249.0	961
2000-05-29	1050.0	245.5	260.0	245.5	190
2000-05-30	1147.5	245.5	259.5	250.0	308
2000-05-31	1060.0	247.5	262.5	259.0	820
2000-06-02	1000.0	254.0	265.0	254.0	127
2000-06-05	925.0	254.0	270.0	267.5	1057
2000-06-06	925.0	260.5	277.5	260.5	204
2000-06-07	900.0	260.5	266.5	264.0	218
2000-06-08	825.5	260.0	265.0	265.0	614
2000-06-09	860.0	249.5	267.5	265.0	518
2000-06-12	850.0	265.5	275.0	265.5	1375
2000-06-13	855.0	262.5	272.0	267.5	85
2000-06-14	867.5	249.0	265.0	252.5	752
2000-06-15	797.5	240.0	255.0	240.0	1446
2000-06-16	1000.0	220.0	250.0	225.0	9947
2000-06-19	850.5	235.0	247.5	243.5	732
2000-06-20	795.0	230.0	250.5	237.5	1489
2000-06-21	663.0	235.0	240.0	235.0	209
2000-06-22	810.0	230.0	245.0	230.0	1759
2000-06-26	910.0	230.0	236.0	235.0	339
2000-06-27	710.0	216.0	235.0	220.0	544
2000-06-28	700.0	204.5	230.0	210.0	1379
2000-06-29	675.0	201.0	214.5	202.5	448
2000-06-30	825.0	200.0	209.0	202.5	772
2000-07-03	725.0	201.5	212.5	212.5	215
2000-07-04	800.0	207.5	215.0	215.0	202
2000-07-05	825.0	210.0	217.5	215.0	965
2000-07-06	770.5	205.0	215.0	209.0	486
2000-07-07	750.0	210.5	215.0	212.5	152
2000-07-10	760.0	200.0	217.5	200.0	799
2000-07-11	714.5	203.0	207.5	205.5	60
2000-07-12	650.0	205.5	212.0	210.0	156
2000-07-13	665.0	212.5	239.5	217.5	2152
2000-07-14	712.5	223.0	237.5	225.0	2021
2000-07-17	677.5	220.0	234.5	220.0	2008
2000-07-18	625.0	220.0	227.5	226.5	48
2000-07-19	592.5	213.5	224.5	213.5	123
