Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-03	244014.622446693	244014.622446693	271059.576434535	266382.629504306	6
2000-01-04	266789.320541718	241981.167259637	266789.320541718	252148.443194916	17
2000-01-05	248081.532820805	221646.615389079	248081.532820805	229577.090618597	9
2000-01-07	203345.518705577	187077.877209131	223680.070576135	223680.070576135	22
2000-01-10	233847.346511414	233847.346511414	250114.98800786	241777.821740932	9
2000-01-11	244014.622446693	228153.671987658	258248.808756083	235880.80169847	2
2000-01-12	223680.070576135	219613.160202024	235880.80169847	223883.416094841	2
2000-01-13	229780.436137303	225713.525763191	237914.256885526	233847.346511414	3
2000-01-14	233847.346511414	233847.346511414	239947.712072581	239947.712072581	14
2000-01-17	244014.622446693	234050.69203012	244014.622446693	235880.80169847	1
2000-01-18	239947.712072581	224696.798169663	239947.712072581	225713.525763191	0
2000-01-19	227746.980950247	203345.518705577	227746.980950247	208429.156673217	5
2000-01-20	223680.070576135	211479.339453801	223680.070576135	218596.432608496	21
2000-01-21	217173.013977557	215546.249827912	223680.070576135	223476.72505743	4
2000-01-24	224696.798169663	217579.705014968	231813.891324358	222663.342982607	12
2000-01-25	221239.924351668	213512.794640856	223680.070576135	217783.050533673	1
2000-01-26	218596.432608496	217579.705014968	228763.708543775	228763.708543775	13
2000-01-27	230390.472693419	229780.436137303	270449.539878418	270449.539878418	15
2000-01-28	263332.446723723	263332.446723723	294851.002123087	289767.364155448	9
2000-01-31	283666.998594281	274516.45025253	291800.819342504	284683.726187808	5
2000-02-01	288750.63656192	288750.63656192	313152.098806589	302984.82287131	8
2000-02-02	305018.278058366	302984.82287131	319252.464367757	312135.371213061	5
2000-02-03	274516.45025253	213512.794640856	274516.45025253	254181.898381972	33
2000-02-04	262519.064648901	246048.077633749	268416.084691362	253165.170788444	11
2000-02-07	254181.898381972	229780.436137303	258248.808756083	236084.147217175	24
2000-02-08	236897.529291998	236897.529291998	251945.097676211	240964.439666109	5
2000-02-09	244014.622446693	223680.070576135	248081.532820805	235880.80169847	6
2000-02-10	244014.622446693	223680.070576135	244014.622446693	233847.346511414	3
2000-02-11	235880.80169847	225916.871281897	241981.167259637	235677.456179764	2
2000-02-14	235880.80169847	213512.794640856	235880.80169847	219613.160202024	2
2000-02-15	237914.256885526	221646.615389079	237914.256885526	231813.891324358	8
2000-02-16	233237.309955297	215749.595346618	241981.167259637	215952.940865323	5
2000-02-17	225713.525763191	219816.505720729	240151.057591287	230797.16373083	6
2000-02-18	240557.748628698	233847.346511414	258045.463237378	258045.463237378	11
2000-02-21	280616.815813697	264349.174317251	292817.546936032	274313.104733824	31
2000-02-22	284683.726187808	270449.539878418	286717.181374864	279600.088220169	7
2000-02-23	282243.579963342	266789.320541718	282243.579963342	270652.885397124	4
2000-02-24	274516.45025253	270449.539878418	278583.360626641	270856.230915829	2
2000-02-25	274516.45025253	268416.084691362	276549.905439585	271466.267471946	6
2000-02-28	265365.901910779	254385.243900677	272482.995065474	257232.081162556	2
2000-02-29	261298.991536667	251131.715601388	263739.137761134	256215.353569028	3
2000-03-01	254181.898381972	252148.443194916	257028.73564385	253368.51630715	6
2000-03-02	256215.353569028	256215.353569028	268416.084691362	259265.536349611	3
2000-03-03	274109.759215118	264349.174317251	274109.759215118	268822.775728773	1
2000-03-06	268619.430210068	268416.084691362	273499.722659002	269432.81228489	3
2000-03-07	266992.666060423	266179.283985601	274313.104733824	266179.283985601	1
2000-03-08	264755.865354662	254181.898381972	267399.357097834	260282.263943139	1
2000-03-09	258248.808756083	254791.934938089	260282.263943139	257232.081162556	1
2000-03-10	258248.808756083	254181.898381972	263332.446723723	254181.898381972	5
2000-03-13	254181.898381972	233847.346511414	254181.898381972	235880.80169847	6
2000-03-14	235270.765142353	222663.342982607	239947.712072581	227746.980950247	1
2000-03-15	225510.180244485	202532.136630755	225510.180244485	206599.047004867	7
2000-03-16	203345.518705577	188094.604802659	205378.973892633	203142.173186872	3
2000-03-17	204362.246299105	203345.518705577	223680.070576135	209445.884266745	3
2000-03-20	219409.814683318	210462.611860273	219409.814683318	213512.794640856	0
