Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-03	2.061110081	2.061110081	2.29999885	2.222221111	1220112
2000-01-04	2.222221111	2.111110056	2.222221111	2.222221111	368343
2000-01-05	2.166665583	2.111110056	2.1999989	2.111110056	279297
2000-01-07	2.111110056	2.088887844	2.144443372	2.133332267	868041
2000-01-10	2.138887819	2.138887819	2.222221111	2.222221111	1460052
2000-01-11	2.222221111	2.177776689	2.249998875	2.188887794	804528
2000-01-12	2.166665583	2.111110056	2.166665583	2.144443372	572454
2000-01-13	2.122221161	2.116665608	2.161110031	2.15999892	492696
2000-01-14	2.111110056	2.111110056	2.211110006	2.111110056	337689
2000-01-17	2.144443372	2.088887844	2.144443372	2.133332267	462240
2000-01-18	2.132221156	2.094443397	2.155554478	2.133332267	142056
2000-01-19	2.111110056	2.077776739	2.133332267	2.088887844	500112
2000-01-20	2.088887844	2.055554528	2.088887844	2.077776739	597519
2000-01-21	2.055554528	2.033332317	2.077776739	2.055554528	378216
2000-01-24	2.077776739	2.055554528	2.077776739	2.055554528	117423
2000-01-25	2.049998975	2.044443422	2.069998965	2.055554528	237078
2000-01-26	2.055554528	2.011110106	2.055554528	2.011110106	345024
2000-01-27	2.055554528	1.999999	2.088887844	2.033332317	440784
2000-01-28	2.033332317	1.994443447	2.033332317	2.005554553	472014
2000-01-31	1.999999	1.977776789	2.022221211	1.999999	792477
2000-02-01	2.044443422	1.988887894	2.044443422	1.999999	454896
2000-02-02	1.999999	1.988887894	2.022221211	1.999999	654201
2000-02-03	2.003332332	1.988887894	2.022221211	1.994443447	1594521
2000-02-04	2.011110106	1.977776789	2.011110106	1.983332342	745893
2000-02-07	1.988887894	1.955554578	1.999999	1.966665683	909648
2000-02-08	1.977776789	1.944443472	1.977776789	1.949999025	373455
2000-02-09	1.969999015	1.935554588	1.969999015	1.938887919	285084
2000-02-10	1.933332367	1.933332367	1.969999015	1.949999025	1892160
2000-02-11	1.949999025	1.944443472	1.966665683	1.949999025	1662390
2000-02-14	1.999999	1.994443447	2.055554528	1.999999	694791
2000-02-15	2.031110096	2.001110111	2.109998945	2.048887864	1510740
2000-02-16	2.109998945	2.109998945	2.422221011	2.111110056	4681316
2000-02-17	2.111110056	2.111110056	2.166665583	2.127776714	942309
2000-02-18	2.161110031	2.111110056	2.161110031	2.138887819	2531404
2000-02-21	2.149998925	2.143332262	2.21999889	2.177776689	1006686
2000-02-22	2.221110001	2.184443352	2.277776639	2.222221111	2882476
2000-02-23	2.29999885	2.244443322	2.29999885	2.255554428	1577970
2000-02-24	2.261109981	2.255554428	2.422221011	2.366665483	1590876
2000-02-25	2.411109906	2.344443272	2.422221011	2.366665483	375966
2000-02-28	2.377776589	2.29999885	2.444443222	2.366665483	370404
2000-02-29	2.365554373	2.344443272	2.388887694	2.366665483	271359
2000-03-01	2.366665483	2.366665483	2.405554353	2.3999988	645075
2000-03-02	2.409998795	2.409998795	2.49999875	2.453332107	489627
2000-03-03	2.388887694	2.388887694	2.522220961	2.472220986	760437
2000-03-06	2.522220961	2.444443222	2.555554278	2.472220986	362988
2000-03-07	2.49999875	2.477776539	2.655554228	2.577776489	2665765
2000-03-08	2.583332042	2.551109836	2.666665333	2.551109836	1583415
2000-03-09	2.588887594	2.538887619	2.5999987	2.549998725	1001700
