Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	25248755.2857151	25248755.2857151	25248755.2857151	25248755.2857151	59
2000-01-05	22953413.8961046	22953413.8961046	27544096.6753255	27544096.6753255	10
2000-01-06	25248755.2857151	25248755.2857151	27544096.6753255	27544096.6753255	48
2000-01-11	27544096.6753255	22953413.8961046	27544096.6753255	27544096.6753255	41
2000-01-12	25248755.2857151	25248755.2857151	27544096.6753255	27544096.6753255	44
2000-01-13	25248755.2857151	25248755.2857151	25248755.2857151	25248755.2857151	8
2000-01-14	25248755.2857151	22953413.8961046	27544096.6753255	27544096.6753255	54
2000-01-17	25248755.2857151	22953413.8961046	27544096.6753255	27544096.6753255	57
2000-01-18	25248755.2857151	22953413.8961046	27544096.6753255	27544096.6753255	48
2000-01-19	25248755.2857151	22953413.8961046	25248755.2857151	25248755.2857151	7
2000-01-20	22953413.8961046	22953413.8961046	25248755.2857151	25248755.2857151	13
2000-01-21	22953413.8961046	22953413.8961046	25248755.2857151	25248755.2857151	14
2000-01-24	25248755.2857151	25248755.2857151	25248755.2857151	25248755.2857151	0
2000-01-25	22953413.8961046	22953413.8961046	25248755.2857151	25248755.2857151	1
2000-01-26	25248755.2857151	22953413.8961046	25248755.2857151	25248755.2857151	1
2000-01-27	25248755.2857151	22953413.8961046	25248755.2857151	25248755.2857151	41
2000-01-28	22953413.8961046	22953413.8961046	25248755.2857151	25248755.2857151	1
2000-01-31	22953413.8961046	22953413.8961046	25248755.2857151	25248755.2857151	70
2000-02-01	22953413.8961046	22953413.8961046	25248755.2857151	25248755.2857151	55
2000-02-02	22953413.8961046	20658072.5064941	22953413.8961046	22953413.8961046	3
2000-02-03	22953413.8961046	20658072.5064941	22953413.8961046	22953413.8961046	7
2000-02-04	22953413.8961046	22953413.8961046	22953413.8961046	22953413.8961046	2
2000-02-07	22953413.8961046	22953413.8961046	22953413.8961046	22953413.8961046	12
2000-02-08	22953413.8961046	22953413.8961046	25248755.2857151	25248755.2857151	51
2000-02-09	22953413.8961046	22953413.8961046	29839438.0649359	27544096.6753255	330
2000-02-10	29839438.0649359	27544096.6753255	36725462.2337673	36725462.2337673	2427
2000-02-11	39020803.6233778	32134779.4545464	39020803.6233778	34430120.8441569	2652
2000-02-14	34430120.8441569	29839438.0649359	34430120.8441569	32134779.4545464	643
2000-02-15	32134779.4545464	27544096.6753255	32134779.4545464	29839438.0649359	237
2000-02-16	29839438.0649359	27544096.6753255	29839438.0649359	29839438.0649359	362
2000-02-17	29839438.0649359	27544096.6753255	32134779.4545464	29839438.0649359	263
2000-02-18	29839438.0649359	29839438.0649359	29839438.0649359	29839438.0649359	132
2000-02-21	29839438.0649359	27544096.6753255	29839438.0649359	29839438.0649359	29
2000-02-22	29839438.0649359	27544096.6753255	29839438.0649359	29839438.0649359	22
2000-02-23	29839438.0649359	27544096.6753255	29839438.0649359	29839438.0649359	20
2000-02-24	27544096.6753255	27544096.6753255	29839438.0649359	29839438.0649359	87
2000-02-25	27544096.6753255	25248755.2857151	29839438.0649359	29839438.0649359	140
2000-02-28	27544096.6753255	27544096.6753255	29839438.0649359	29839438.0649359	397
2000-03-01	29839438.0649359	27544096.6753255	29839438.0649359	29839438.0649359	198
2000-03-02	27544096.6753255	27544096.6753255	29839438.0649359	29839438.0649359	143
2000-03-03	27544096.6753255	27544096.6753255	27544096.6753255	27544096.6753255	159
2000-03-06	27544096.6753255	27544096.6753255	29839438.0649359	29839438.0649359	106
2000-03-07	29839438.0649359	27544096.6753255	29839438.0649359	29839438.0649359	1
2000-03-08	27544096.6753255	27544096.6753255	29839438.0649359	29839438.0649359	35
2000-03-09	27544096.6753255	27544096.6753255	29839438.0649359	29839438.0649359	2
2000-03-10	29839438.0649359	27544096.6753255	29839438.0649359	29839438.0649359	15
2000-03-13	29839438.0649359	27544096.6753255	29839438.0649359	29839438.0649359	11
2000-03-14	27544096.6753255	27544096.6753255	29839438.0649359	29839438.0649359	4
2000-03-15	27544096.6753255	27544096.6753255	29839438.0649359	29839438.0649359	9
2000-03-17	27544096.6753255	27544096.6753255	29839438.0649359	29839438.0649359	60
2000-03-20	27544096.6753255	27544096.6753255	29839438.0649359	27544096.6753255	22
2000-03-21	27544096.6753255	27544096.6753255	27544096.6753255	27544096.6753255	43
2000-03-22	27544096.6753255	27544096.6753255	27544096.6753255	27544096.6753255	24
