Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	999.92926525	999.92926525	1099.922191775	999.92926525	1556735
2000-01-05	999.92926525	899.936338725	999.92926525	899.936338725	155010
2000-01-06	999.92926525	999.92926525	999.92926525	999.92926525	1262214
2000-01-11	999.92926525	999.92926525	999.92926525	999.92926525	536162
2000-01-12	999.92926525	999.92926525	1099.922191775	1099.922191775	3671134
2000-01-13	1099.922191775	1099.922191775	1599.886824399	1599.886824399	10087838
2000-01-14	1699.879750924	1199.915118299	1699.879750924	1299.908044824	4454190
2000-01-17	1299.908044824	1199.915118299	1299.908044824	1199.915118299	1839755
2000-01-18	1199.915118299	1199.915118299	1199.915118299	1199.915118299	44628
2000-01-19	1099.922191775	999.92926525	1099.922191775	1099.922191775	1153831
2000-01-20	1199.915118299	1099.922191775	1399.900971349	1299.908044824	2134901
2000-01-21	1099.922191775	1099.922191775	1299.908044824	1199.915118299	190013
2000-01-24	1199.915118299	1199.915118299	1199.915118299	1199.915118299	554789
2000-01-25	1199.915118299	1199.915118299	1199.915118299	1199.915118299	285270
2000-01-26	1199.915118299	1199.915118299	1299.908044824	1199.915118299	611293
2000-01-27	1199.915118299	1199.915118299	1299.908044824	1199.915118299	511286
2000-01-28	1199.915118299	1199.915118299	1199.915118299	1199.915118299	73005
2000-01-31	1099.922191775	1099.922191775	1199.915118299	1099.922191775	12625
2000-02-01	1099.922191775	1099.922191775	1099.922191775	1099.922191775	280644
2000-02-02	1099.922191775	1099.922191775	1099.922191775	1099.922191775	311272
2000-02-03	1099.922191775	1099.922191775	1099.922191775	1099.922191775	38127
2000-02-04	1099.922191775	1099.922191775	1099.922191775	1099.922191775	95006
2000-02-07	1099.922191775	1099.922191775	1099.922191775	1099.922191775	226516
2000-02-08	1099.922191775	1099.922191775	1099.922191775	1099.922191775	58254
2000-02-09	1099.922191775	1099.922191775	1199.915118299	1199.915118299	102007
2000-02-10	1099.922191775	1099.922191775	1099.922191775	1099.922191775	31377
2000-02-11	1099.922191775	1099.922191775	1099.922191775	1099.922191775	166386
2000-02-14	1099.922191775	1099.922191775	1199.915118299	1199.915118299	753803
2000-02-15	1199.915118299	1199.915118299	1199.915118299	1199.915118299	492284
2000-02-16	1199.915118299	1099.922191775	1199.915118299	1099.922191775	77505
2000-02-17	1099.922191775	1099.922191775	1099.922191775	1099.922191775	954317
2000-02-18	1099.922191775	999.92926525	1099.922191775	1099.922191775	389527
2000-02-21	1099.922191775	1099.922191775	1199.915118299	1199.915118299	169386
2000-02-22	1099.922191775	1099.922191775	1099.922191775	1099.922191775	156261
