Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	1450	1450	1550	1475	16000
2000-01-05	1350	1350	1575	1575	13000
2000-01-06	1525	1475	1550	1475	53000
2000-01-11	1500	1425	1500	1425	10000
2000-01-11	1500	1425	1500	1425	
					0
2000-01-13	1425	1375	1425	1375	
2000-01-13	1425	1375	1425	1375	13000
					0
2000-01-17	1375	1375	1375	1375	13500
2000-01-18	1350	1350	1350	1350	7000
2000-01-19	1100	1000	1100	1000	29500
2000-01-20	1250	1250	1250	1250	1000
2000-01-21	1350	1300	1350	1300	6000
2000-01-24	1325	1300	1325	1300	5500
2000-01-25	1250	1200	1350	1200	28000
2000-01-26	1200	1100	1200	1100	4500
2000-01-27	1125	1125	1125	1125	6000
2000-01-28	1025	1025	1050	1050	13500
2000-01-31	1050	1050	1200	1200	13500
2000-02-01	1100	1100	1100	1100	2000
2000-02-02	1100	1050	1100	1050	13500
2000-02-03	1025	1025	1050	1025	35000
2000-02-04	1100	1075	1100	1100	11500
2000-02-07	1075	1075	1100	1100	11500
2000-02-08	1100	1025	1100	1050	318000
2000-02-09	1075	1050	1075	1050	106000
2000-02-10	1050	1050	1150	1100	70500
2000-02-11	1125	1075	1150	1075	25000
2000-02-14	1075	1050	1075	1050	15000
2000-02-15	1075	1075	1075	1075	2000
2000-02-15	1075	1075	1075	1075	
					0
2000-02-17	1075	1050	1075	1050	11000
2000-02-18	1000	1000	1000	1000	7000
2000-02-21	1000	1000	1000	1000	1000
2000-02-22	1050	1025	1075	1025	50000
2000-02-23	1000	1000	1050	1050	3500
2000-02-23	1000	1000	1050	1050	
					0
2000-02-25	1000	1000	1000	1000	32500
2000-02-28	1000	1000	1000	1000	7500
2000-02-28	1000	1000	1000	1000	
					0
2000-03-02	950	950	950	950	5000
2000-03-03	900	900	950	950	12000
2000-03-06	950	950	950	950	13000
2000-03-07	900	900	1000	1000	19500
2000-03-08	950	950	1075	1075	34000
2000-03-09	1025	1025	1050	1050	31500
2000-03-10	1050	1000	1050	1000	16500
2000-03-13	1000	1000	1000	1000	10000
2000-03-14	1000	1000	1000	1000	15000
2000-03-15	1025	1025	1050	1050	50000
2000-03-17	1050	1050	1075	1050	40000
2000-03-20	1000	1000	1000	1000	10000
2000-03-21	1000	1000	1000	1000	1000
2000-03-22	1000	1000	1000	1000	5500
2000-03-23	1000	1000	1000	1000	
2000-03-23	1000	1000	1000	1000	9500
					0
					0
					0
2000-03-29	975	975	975	975	9500
2000-03-30	975	975	975	975	2500
2000-03-30	975	975	975	975	
					0
					0
					0
2000-04-10	975	975	975	975	
2000-04-10	975	975	975	975	500
					0
					0
2000-04-13	975	975	1025	1025	65000
2000-04-14	1000	1000	1150	1050	360500
2000-04-17	1050	1000	1050	1000	6500
2000-04-18	1000	975	1050	1000	71500
2000-04-19	975	975	975	975	2500
2000-04-19	975	975	975	975	
					0
2000-04-24	950	950	950	950	13000
2000-04-24	950	950	950	950	
					0
					0
					0
2000-04-28	950	950	975	975	6000
2000-05-01	1000	1000	1050	1000	72500
2000-05-02	1000	1000	1050	1025	12000
2000-05-03	1025	1000	1025	1000	6000
2000-05-04	1000	1000	1025	1000	19000
2000-05-05	1000	1000	1050	1000	32000
2000-05-08	1000	1000	1000	1000	15000
2000-05-09	1000	1000	1125	1100	274000
2000-05-10	1125	1125	1225	1150	199000
2000-05-11	1200	1050	1200	1050	29500
2000-05-12	1050	1050	1100	1075	36000
2000-05-15	1025	1025	1125	1050	23000
2000-05-16	1050	1000	1050	1000	27000
2000-05-17	1025	1025	1100	1075	7000
2000-05-19	1000	1000	1000	1000	5000
2000-05-22	1025	975	1025	975	69500
2000-05-23	975	950	1000	950	5000
2000-05-24	950	950	950	950	2000
2000-05-25	1000	975	1025	1000	35000
2000-05-26	975	925	975	950	28500
2000-05-29	875	875	875	875	2000
2000-05-30	825	800	875	875	48000
2000-05-31	900	850	900	850	8500
2000-06-02	800	775	800	775	35000
