Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	136.8939	134.40492	139.38288	139.38288	1732637
2000-01-05	134.40492	134.40492	134.40492	134.40492	421859
2000-01-06	134.40492	134.40492	136.8939	136.8939	698077
2000-01-11	139.38288	136.8939	139.38288	136.8939	924073
2000-01-12	136.8939	134.40492	139.38288	134.40492	2993193
2000-01-13	136.8939	134.40492	136.8939	134.40492	1180202
2000-01-14	134.40492	131.91594	134.40492	134.40492	301328
2000-01-17	139.38288	134.40492	139.38288	134.40492	1818013
2000-01-17	139.38288	134.40492	139.38288	134.40492	
					0
2000-01-19	129.42696	129.42696	131.91594	129.42696	90398
2000-01-20	129.42696	129.42696	136.8939	136.8939	1044604
2000-01-21	136.8939	134.40492	136.8939	134.40492	200885
2000-01-24	136.8939	134.40492	136.8939	134.40492	200885
2000-01-25	134.40492	131.91594	134.40492	134.40492	225996
2000-01-26	136.8939	131.91594	136.8939	131.91594	502213
2000-01-27	131.91594	131.91594	131.91594	131.91594	451992
2000-01-28	131.91594	129.42696	131.91594	129.42696	426881
2000-01-31	126.93798	124.449	126.93798	124.449	326438
2000-02-01	124.449	124.449	124.449	124.449	225996
2000-02-02	124.449	121.96002	124.449	124.449	256129
2000-02-03	121.96002	119.47104	121.96002	119.47104	276217
2000-02-04	121.96002	116.98206	124.449	124.449	396748
2000-02-07	124.449	124.449	124.449	124.449	20088
2000-02-08	124.449	124.449	124.449	124.449	110487
2000-02-09	124.449	119.47104	124.449	121.96002	517280
2000-02-10	121.96002	119.47104	121.96002	119.47104	667944
2000-02-11	119.47104	119.47104	119.47104	119.47104	150664
2000-02-14	119.47104	116.98206	119.47104	116.98206	552435
2000-02-15	119.47104	119.47104	124.449	121.96002	818608
2000-02-16	119.47104	116.98206	119.47104	116.98206	426881
2000-02-17	124.449	116.98206	124.449	116.98206	688032
2000-02-18	112.0041	112.0041	121.96002	121.96002	50221
2000-02-18	112.0041	112.0041	121.96002	121.96002	
					0
2000-02-22	124.449	119.47104	126.93798	119.47104	175774
2000-02-22	124.449	119.47104	126.93798	119.47104	
					0
					0
2000-02-25	116.98206	116.98206	116.98206	116.98206	90398
2000-02-25	116.98206	116.98206	116.98206	116.98206	
					0
					0
2000-03-02	116.98206	109.51512	116.98206	109.51512	
2000-03-02	116.98206	109.51512	116.98206	109.51512	451992
					0
2000-03-06	109.51512	109.51512	116.98206	116.98206	477103
2000-03-07	107.02614	107.02614	109.51512	109.51512	1029538
2000-03-08	109.51512	109.51512	112.0041	112.0041	150664
2000-03-09	114.49308	114.49308	119.47104	116.98206	994383
2000-03-10	119.47104	119.47104	119.47104	119.47104	50221
2000-03-13	116.98206	114.49308	116.98206	114.49308	246084
2000-03-13	116.98206	114.49308	116.98206	114.49308	
					0
2000-03-15	114.49308	114.49308	114.49308	114.49308	50221
2000-03-15	114.49308	114.49308	114.49308	114.49308	
					0
2000-03-20	112.0041	112.0041	112.0041	112.0041	50221
2000-03-20	112.0041	112.0041	112.0041	112.0041	
					0
					0
2000-03-23	116.98206	109.51512	116.98206	109.51512	276217
2000-03-24	109.51512	109.51512	109.51512	109.51512	150664
2000-03-24	109.51512	109.51512	109.51512	109.51512	
					0
					0
2000-03-29	109.51512	109.51512	109.51512	109.51512	401771
2000-03-30	112.0041	112.0041	114.49308	114.49308	150664
2000-04-03	112.0041	109.51512	112.0041	112.0041	321416
2000-04-05	109.51512	109.51512	109.51512	109.51512	301328
2000-04-05	109.51512	109.51512	109.51512	109.51512	
					0
					0
2000-04-11	114.49308	114.49308	116.98206	116.98206	351549
2000-04-12	116.98206	112.0041	116.98206	112.0041	1355977
2000-04-13	112.0041	112.0041	112.0041	112.0041	
2000-04-13	112.0041	112.0041	112.0041	112.0041	50221
					0
2000-04-17	104.53716	99.5592	107.02614	107.02614	160708
2000-04-18	107.02614	107.02614	107.02614	107.02614	100442
2000-04-19	107.02614	104.53716	109.51512	104.53716	80354
2000-04-20	104.53716	104.53716	104.53716	104.53716	145641
2000-04-24	104.53716	104.53716	104.53716	104.53716	502213
2000-04-25	104.53716	102.04818	104.53716	102.04818	120531
2000-04-26	102.04818	99.5592	104.53716	104.53716	381682
2000-04-27	104.53716	104.53716	104.53716	104.53716	50221
2000-04-28	104.53716	104.53716	109.51512	109.51512	587590
2000-05-01	112.0041	112.0041	116.98206	114.49308	828652
2000-05-02	114.49308	114.49308	116.98206	116.98206	205907
2000-05-03	116.98206	114.49308	119.47104	114.49308	607678
2000-05-04	116.98206	114.49308	119.47104	114.49308	778431
2000-05-05	116.98206	116.98206	116.98206	116.98206	527324
2000-05-08	119.47104	119.47104	121.96002	119.47104	708121
2000-05-09	119.47104	119.47104	119.47104	119.47104	281239
2000-05-10	119.47104	119.47104	124.449	119.47104	391726
