Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	62.74892	61.783552	63.231604	62.266236	67124661
2000-01-05	60.818184	59.852816	61.783552	60.3355	82973539
2000-01-06	60.818184	60.818184	78.677492	78.677492	500275542
2000-01-11	79.160176	79.160176	91.70996	83.987016	367372856
2000-01-12	83.987016	80.125544	87.848488	82.538964	141759411
2000-01-13	83.021648	71.437232	83.987016	76.746756	56481051
2000-01-14	77.22944	72.4026	78.194808	78.194808	114490018
2000-01-17	80.125544	76.746756	82.538964	76.746756	111304704
2000-01-18	77.22944	73.367968	77.22944	74.81602	45474886
2000-01-19	74.81602	69.506496	75.298704	75.298704	101179032
2000-01-20	75.298704	75.298704	78.677492	77.22944	79037216
2000-01-21	77.22944	76.264072	78.677492	76.746756	29522420
2000-01-24	78.194808	76.746756	78.194808	78.194808	22426680
2000-01-25	76.264072	75.298704	76.264072	75.781388	7976232
2000-01-26	76.264072	73.850652	76.264072	75.298704	21054147
2000-01-27	73.850652	73.367968	74.333336	73.367968	6241143
2000-01-28	73.367968	71.437232	73.367968	72.4026	31697756
2000-01-31	72.4026	70.954548	72.4026	72.4026	5179372
2000-02-01	71.437232	68.541128	71.919916	70.954548	22841030
2000-02-02	70.471864	67.57576	70.471864	69.506496	11057959
2000-02-03	67.57576	66.610392	70.471864	69.506496	24084079
2000-02-04	72.885284	71.437232	76.264072	75.298704	73806051
2000-02-07	75.781388	73.850652	76.264072	74.333336	24938676
2000-02-08	73.850652	72.4026	73.850652	72.885284	10229259
2000-02-09	72.885284	71.919916	73.850652	73.367968	7769058
2000-02-10	74.333336	73.367968	75.298704	74.333336	26363003
2000-02-11	74.333336	72.885284	76.264072	74.81602	29729595
2000-02-14	75.298704	72.885284	75.298704	74.81602	11653587
2000-02-15	74.333336	72.885284	74.333336	73.367968	10229259
2000-02-16	72.885284	71.919916	73.367968	73.367968	12352802
2000-02-17	72.4026	70.471864	72.4026	71.437232	21183631
2000-02-18	68.541128	65.645024	71.437232	71.437232	8986210
2000-02-21	71.437232	69.98918	71.437232	69.98918	4661434
2000-02-22	69.98918	67.57576	69.98918	69.506496	9763116
2000-02-23	69.506496	68.058444	69.506496	68.058444	8286995
2000-02-24	68.058444	65.645024	68.541128	67.57576	28227577
2000-02-25	66.127708	65.645024	66.610392	66.610392	6862667
2000-02-28	65.645024	63.714288	66.610392	66.610392	21209528
2000-03-01	67.57576	66.127708	68.058444	66.610392	19940582
2000-03-02	64.679656	61.783552	64.679656	62.74892	17868833
2000-03-03	61.783552	60.818184	62.74892	61.300868	13103811
2000-03-06	61.783552	61.300868	63.714288	63.231604	21235425
2000-03-07	62.74892	61.300868	62.74892	61.300868	6500111
2000-03-08	61.783552	61.300868	62.74892	61.300868	18283183
2000-03-09	62.74892	61.783552	66.610392	64.196972	35530491
2000-03-10	64.679656	63.714288	65.16234	63.714288	22297196
2000-03-13	63.714288	63.231604	65.16234	63.714288	11368721
2000-03-14	62.74892	62.266236	63.231604	62.74892	22090021
2000-03-15	62.74892	62.266236	63.231604	62.74892	16159640
2000-03-17	63.714288	62.74892	65.645024	63.714288	28486546
2000-03-20	63.714288	63.714288	74.333336	73.367968	266142030
2000-03-21	74.333336	69.023812	74.81602	69.506496	277795617
2000-03-22	70.954548	68.058444	71.437232	69.506496	67280042
2000-03-23	69.023812	68.058444	70.471864	69.023812	12715358
2000-03-24	69.506496	65.645024	69.506496	69.023812	20562106
2000-03-27	68.058444	67.093076	69.023812	69.023812	11239237
2000-03-28	69.023812	66.127708	69.023812	68.058444	14838900
2000-03-29	66.610392	66.610392	68.058444	68.058444	7069842
2000-03-30	68.058444	66.610392	68.541128	68.058444	12482286
2000-04-03	67.093076	65.645024	67.093076	66.610392	8157510
2000-04-05	65.645024	64.196972	65.645024	65.645024	9737219
2000-04-07	65.645024	65.645024	66.610392	66.127708	1812780
2000-04-10	67.57576	65.645024	67.57576	66.127708	4324775
2000-04-11	65.645024	65.16234	65.645024	65.645024	4972197
2000-04-12	65.645024	65.16234	68.058444	65.645024	46640244
2000-04-13	65.645024	65.16234	66.610392	65.16234	3625560
2000-04-14	65.16234	64.196972	65.16234	65.16234	3418385
2000-04-17	58.887448	58.887448	62.74892	60.3355	55496971
2000-04-18	60.818184	59.852816	60.818184	60.818184	16988340
2000-04-19	60.3355	59.852816	62.266236	61.300868	20795178
2000-04-20	61.300868	59.852816	61.300868	60.818184	6033968
2000-04-24	60.818184	60.818184	61.783552	61.300868	13440470
2000-04-25	60.818184	60.3355	61.300868	61.300868	21856949
2000-04-26	60.818184	60.818184	62.266236	61.300868	20743384
2000-04-27	61.783552	61.783552	65.645024	63.714288	30920850
2000-04-28	64.679656	61.783552	64.679656	61.783552	21313115
2000-05-01	61.783552	60.3355	61.783552	61.783552	9918497
2000-05-02	61.783552	61.300868	62.266236	61.783552	14631725
2000-05-03	61.783552	61.300868	62.266236	61.783552	24938676
2000-05-04	61.783552	61.783552	63.231604	62.74892	27321187
2000-05-05	63.714288	63.714288	66.127708	65.16234	21675671
2000-05-08	65.645024	64.679656	66.610392	65.16234	16211434
2000-05-09	65.16234	64.679656	65.645024	65.16234	22685649
2000-05-10	65.16234	64.196972	65.16234	64.196972	23462555
2000-05-11	62.74892	62.266236	62.74892	62.74892	22841030
2000-05-12	62.74892	61.783552	62.74892	62.266236	32345178
2000-05-15	61.783552	60.3355	61.783552	60.818184	10565918
2000-05-16	59.852816	58.404764	60.3355	58.404764	23747420
2000-05-17	59.852816	58.887448	60.818184	59.852816	71760199
2000-05-19	59.852816	59.852816	59.852816	59.852816	699215
2000-05-22	59.370132	58.887448	59.370132	59.370132	18930604
2000-05-23	59.370132	58.887448	59.852816	59.370132	32992599
2000-05-24	58.887448	56.956712	58.887448	57.439396	48763787
2000-05-25	59.370132	56.956712	59.370132	56.956712	14372757
2000-05-26	56.956712	52.129872	57.439396	53.577924	47857397
2000-05-29	51.647188	50.199136	51.647188	50.199136	23022308
2000-05-30	47.785716	47.785716	53.09524	53.09524	27709640
2000-05-31	53.09524	51.164504	53.09524	51.164504	57568719
2000-06-02	51.647188	49.233768	51.647188	50.199136	12689461
2000-06-05	51.164504	49.233768	52.129872	50.199136	4454259
2000-06-06	50.199136	50.199136	51.647188	50.199136	5567824
2000-06-07	50.199136	49.716452	51.164504	50.199136	4117600
2000-06-08	51.164504	51.164504	54.060608	52.612556	34805379
2000-06-09	52.612556	51.647188	52.612556	51.647188	11705380
2000-06-12	52.129872	50.68182	52.129872	50.68182	1139461
2000-06-13	51.164504	50.68182	52.129872	51.647188	8338788
2000-06-14	52.129872	51.647188	52.129872	51.647188	647421
2000-06-16	52.129872	52.129872	52.129872	52.129872	1346636
2000-06-19	52.129872	52.129872	53.09524	52.612556	4091703
2000-06-20	52.129872	52.129872	52.612556	52.612556	4169394
2000-06-21	53.09524	53.09524	53.577924	53.577924	2641479
2000-06-22	54.060608	54.060608	56.474028	55.025976	14217376
2000-06-23	55.025976	54.060608	55.025976	54.543292	3910425
2000-06-26	54.543292	54.543292	56.956712	55.50866	18127802
2000-06-27	55.50866	54.060608	55.50866	54.543292	2175336
2000-06-28	55.025976	55.025976	55.50866	55.025976	3055829
2000-06-29	55.50866	55.025976	55.50866	55.025976	2460201
2000-06-30	55.991344	55.991344	58.404764	55.991344	30843160
2000-07-03	55.50866	54.060608	55.50866	54.060608	7484192
2000-07-04	54.060608	54.060608	54.2536816	54.060608	2253026
2000-07-05	55.025976	54.060608	55.025976	54.060608	3107623
2000-07-06	54.060608	54.060608	54.060608	54.060608	1035874
2000-07-07	54.060608	53.577924	54.060608	53.577924	595627
2000-07-10	53.2883136	53.09524	53.2883136	53.09524	673318
2000-07-11	53.1917768	53.09524	53.1917768	53.09524	828699
2000-07-12	52.129872	52.129872	52.129872	52.129872	1424327
2000-07-13	49.8129888	49.8129888	52.0333352	49.9095256	3004035
2000-07-14	50.199136	50.0060624	50.199136	50.199136	2097645
2000-07-17	50.199136	50.0060624	51.164504	51.164504	1812780
2000-07-18	50.199136	50.199136	50.199136	50.199136	1735089
2000-07-19	51.2610408	51.2610408	51.2610408	51.2610408	1864573
2000-07-20	52.129872	51.164504	52.129872	51.164504	751008
2000-07-21	51.164504	50.7783568	52.9987032	52.9987032	3314798
2000-07-24	52.129872	51.7437248	52.3229456	51.7437248	725112
2000-07-25	51.647188	51.647188	52.129872	52.0333352	3651457
2000-07-26	51.9367984	51.8402616	52.612556	52.612556	5697309
2000-07-27	52.129872	52.129872	52.2264088	52.129872	9737219
2000-07-28	52.129872	52.129872	52.612556	52.612556	1916367
2000-07-31	52.129872	52.129872	52.129872	52.129872	3237107
2000-08-01	52.129872	51.647188	52.129872	52.129872	4272981
