Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	1422.5	1422.5	1435.0	1435.0	159999
2000-01-05	1435.0	1422.5	1435.0	1422.5	164999
2000-01-06	1422.5	1422.5	1432.5	1432.5	109999
2000-01-11	1432.5	1432.5	1442.5	1442.5	109999
2000-01-12	1442.5	1435.0	1442.5	1435.0	84999
2000-01-13	1435.0	1435.0	1442.5	1442.5	84999
2000-01-13	1435.0	1435.0	1442.5	1442.5	
					0
					0
2000-01-18	1442.5	1432.5	1442.5	1432.5	124999
2000-01-19	1432.5	1422.5	1432.5	1422.5	159999
2000-01-20	1422.5	1422.5	1432.5	1432.5	159999
2000-01-21	1432.5	1422.5	1432.5	1422.5	169999
2000-01-24	1422.5	1422.5	1432.5	1432.5	124999
2000-01-24	1422.5	1422.5	1432.5	1432.5	
					0
2000-01-26	1432.5	1432.5	1442.5	1442.5	169999
2000-01-27	1442.5	1435.0	1442.5	1435.0	154999
2000-01-28	1435.0	1425.0	1435.0	1425.0	
2000-01-28	1435.0	1425.0	1435.0	1425.0	209999
					0
2000-02-01	1425.0	1412.5	1425.0	1412.5	169999
2000-02-02	1412.5	1405.0	1412.5	1405.0	104999
2000-02-03	1405.0	1405.0	1412.5	1412.5	104999
2000-02-04	1412.5	1412.5	1420.0	1420.0	104999
2000-02-07	1420.0	1420.0	1430.0	1430.0	159999
2000-02-08	1440.0	1430.0	1440.0	1435.0	139999
2000-02-09	1435.0	1427.5	1435.0	1427.5	109999
2000-02-09	1435.0	1427.5	1435.0	1427.5	
					0
2000-02-11	1427.5	1415.0	1427.5	1415.0	229999
2000-02-11	1427.5	1415.0	1427.5	1415.0	
					0
					0
					0
					0
					0
					0
					0
					0
					0
2000-02-25	1410.0	1410.0	1410.0	1410.0	24999
2000-02-28	1390.0	1390.0	1390.0	1390.0	
2000-02-28	1390.0	1390.0	1390.0	1390.0	34999
					0
2000-03-02	1370.0	1370.0	1370.0	1370.0	49999
2000-03-02	1370.0	1370.0	1370.0	1370.0	
					0
					0
					0
					0
					0
					0
					0
2000-03-14	1370.0	1370.0	1370.0	1370.0	
2000-03-14	1370.0	1370.0	1370.0	1370.0	14999
					0
					0
2000-03-20	1370.0	1350.0	1370.0	1350.0	59999
2000-03-20	1370.0	1350.0	1370.0	1350.0	
					0
					0
					0
2000-03-24	1340.0	1340.0	1340.0	1340.0	59999
2000-03-27	1330.0	1330.0	1330.0	1330.0	9999
2000-03-28	1330.0	1330.0	1330.0	1330.0	64999
2000-03-29	1320.0	1320.0	1320.0	1320.0	24999
2000-03-30	1310.0	1310.0	1310.0	1310.0	134999
2000-04-03	1305.0	1305.0	1305.0	1305.0	49999
2000-04-03	1305.0	1305.0	1305.0	1305.0	
					0
