Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	850	850	1000	950	3397500
2000-01-05	825	825	1200	1175	4819000
2000-01-06	1250	1250	1525	1525	6796000
2000-01-11	1650	1650	1950	1925	6594000
2000-01-12	1950	1850	1975	1925	2598500
2000-01-13	1975	1825	2000	1875	2847000
2000-01-14	1900	1800	1950	1925	4851000
2000-01-17	1950	1850	1950	1925	946500
2000-01-18	1925	1825	1925	1850	731000
2000-01-19	1950	1850	2050	1925	5998500
2000-01-20	1950	1925	2000	1950	3406000
2000-01-21	1925	1875	1925	1900	157500
2000-01-24	1925	1875	1925	1900	563500
2000-01-25	1875	1850	1900	1875	984500
2000-01-26	1900	1850	1900	1900	758500
2000-01-27	1850	1825	1900	1900	748000
2000-01-28	1875	1850	1875	1875	454500
2000-01-31	1875	1850	1900	1900	263500
2000-02-01	1900	1850	1925	1900	168500
2000-02-02	1925	1875	1975	1950	619000
2000-02-03	1925	1900	1925	1925	67000
2000-02-04	1900	1900	1925	1925	51000
2000-02-07	1925	1900	1950	1925	189500
2000-02-08	1900	1875	1925	1925	16000
2000-02-09	1900	1875	1900	1900	196000
2000-02-10	1875	1875	1900	1900	197000
2000-02-11	1925	1900	1925	1925	180000
2000-02-14	1900	1900	2050	2025	1231500
2000-02-15	2000	2000	2225	2150	1567000
2000-02-16	2200	2100	2250	2125	1004000
2000-02-17	2150	2050	2175	2125	1533000
2000-02-18	2125	2000	2200	2200	620000
2000-02-21	2200	2150	2225	2175	476000
2000-02-22	2200	2125	2200	2150	325500
2000-02-23	2175	2150	2225	2225	714000
2000-02-24	2250	2075	2400	2125	3816000
2000-02-25	2150	2125	2225	2125	776000
2000-02-28	2150	2100	2200	2100	987500
2000-03-01	2125	2050	2150	2050	265500
2000-03-02	2100	1975	2100	1975	630500
2000-03-03	1950	1900	1950	1925	789500
2000-03-06	1975	1950	2000	1975	622500
2000-03-07	1950	1900	2050	2025	1289000
2000-03-08	800	675	800	675	12719500
2000-03-09	700	650	725	675	18517500
2000-03-10	675	650	700	675	7470000
2000-03-13	675	625	675	650	4185000
2000-03-14	650	625	675	650	4159500
2000-03-15	650	625	675	650	6965000
2000-03-17	650	600	675	650	9467500
2000-03-20	625	600	625	625	2942000
2000-03-21	625	525	625	525	27666000
2000-03-22	525	500	550	550	9467000
2000-03-23	550	500	550	550	8341500
2000-03-24	525	500	525	525	1734000
2000-03-27	525	500	525	525	2320000
2000-03-28	525	475	525	500	11329500
2000-03-29	500	450	500	475	2711500
2000-03-30	475	450	475	475	3013000
2000-04-03	450	450	475	475	830500
2000-04-05	450	425	475	475	1331000
2000-04-07	475	450	475	475	2713500
2000-04-10	475	450	475	475	559000
2000-04-11	475	400	475	400	1727500
2000-04-12	425	400	425	400	438500
2000-04-13	425	425	475	425	3184000
2000-04-14	450	400	450	400	1450000
2000-04-17	400	375	400	375	909000
2000-04-18	425	400	450	400	3650000
2000-04-19	425	400	425	400	832000
2000-04-20	400	375	400	375	1410000
2000-04-24	375	375	400	375	218500
2000-04-25	375	350	375	350	1081000
2000-04-26	375	350	400	400	2412000
2000-04-27	375	375	400	375	913500
2000-04-28	375	350	375	350	360500
2000-05-01	350	350	375	350	183500
2000-05-02	375	375	375	375	522000
2000-05-03	375	375	425	400	4644000
2000-05-04	375	375	400	375	91500
2000-05-05	400	375	400	375	478500
2000-05-08	400	375	425	375	5130000
2000-05-09	400	375	400	375	575500
2000-05-10	375	375	375	375	235500
2000-05-11	375	350	375	350	2573000
2000-05-12	375	350	375	350	964000
2000-05-15	375	350	375	350	618500
2000-05-16	350	325	350	325	3660000
2000-05-17	375	375	400	375	4616000
2000-05-19	375	375	400	375	2426000
2000-05-22	375	350	375	350	431000
2000-05-23	350	350	375	350	855500
2000-05-24	375	375	375	375	17000
2000-05-25	375	350	375	350	1241000
2000-05-26	350	350	350	350	1445000
2000-05-29	350	325	350	325	2420000
2000-05-30	325	300	375	375	4432500
2000-05-31	375	325	375	325	2533000
2000-06-02	375	325	375	325	3399500
2000-06-05	350	350	375	350	2036500
2000-06-06	325	325	350	350	321500
2000-06-07	325	325	350	325	1691000
2000-06-08	325	325	375	375	2468000
2000-06-09	375	350	400	350	3839500
2000-06-12	375	350	375	350	386500
2000-06-13	350	325	350	325	511000
2000-06-14	350	325	350	325	355500
2000-06-16	350	350	350	350	740500
2000-06-19	375	325	375	375	766000
2000-06-20	375	350	375	350	328000
2000-06-21	350	350	375	375	4257500
2000-06-22	375	350	400	375	9440000
2000-06-23	375	350	375	350	801500
2000-06-26	350	350	400	400	4126500
2000-06-27	375	350	400	350	1938500
2000-06-28	350	350	350	350	527500
2000-06-29	375	350	375	350	1142500
2000-06-30	350	350	350	350	6500
2000-07-03	350	350	360	350	475500
2000-07-04	375	350	375	350	1507000
2000-07-05	350	350	370	360	925000
2000-07-06	360	355	360	360	91000
2000-07-07	350	350	355	355	75000
2000-07-10	350	350	355	355	56500
2000-07-11	360	355	360	355	13000
2000-07-12	355	345	365	350	346500
2000-07-13	340	340	350	340	897000
2000-07-14	340	340	340	340	1000
2000-07-17	335	330	335	335	135000
2000-07-18	335	335	340	335	217500
2000-07-19	345	335	365	350	601000
2000-07-20	350	340	360	345	525500
2000-07-21	355	345	360	345	296500
2000-07-24	350	345	350	350	149500
2000-07-25	350	345	360	360	1562500
2000-07-26	350	345	355	355	616000
2000-07-27	350	350	370	370	3622500
2000-07-28	365	360	375	370	1125500
2000-07-31	365	360	485	485	13925000
2000-07-31	365	360	485	485	
					0
2000-08-02	500	490	525	515	33841500
2000-08-03	515	445	525	445	28345000
2000-08-04	445	410	445	415	5210500
2000-08-07	405	405	450	435	13890500
2000-08-08	435	410	435	415	15003500
2000-08-09	415	385	415	405	13440500
2000-08-10	410	405	415	410	8527500
2000-08-11	410	400	415	405	7093500
2000-08-14	410	395	410	395	1941500
2000-08-15	390	385	400	385	861500
2000-08-16	390	385	390	390	1610000
2000-08-18	385	380	390	385	1187500
2000-08-21	385	385	395	385	612000
2000-08-22	390	385	390	385	435000
2000-08-23	385	385	395	390	670000
2000-08-24	380	355	385	370	2584000
2000-08-25	360	360	385	380	825500
2000-08-28	385	375	385	375	291000
2000-08-29	370	360	370	360	947500
2000-08-30	355	355	360	360	199000
2000-08-31	355	355	365	365	158500
2000-09-01	370	365	380	365	1207500
2000-09-04	370	365	380	365	738000
2000-09-05	370	370	375	370	159000
2000-09-06	375	370	380	370	1044000
2000-09-07	375	370	375	370	319500
2000-09-08	375	365	375	365	564500
2000-09-11	365	365	370	365	487500
2000-09-12	360	345	360	350	1134500
2000-09-13	350	350	355	350	434000
2000-09-13	350	350	355	350	
					0
					0
2000-09-18	330	315	330	315	1726000
2000-09-19	305	305	355	345	3744000
2000-09-20	345	330	350	330	1056000
2000-09-21	335	325	335	325	145000
2000-09-22	315	315	325	325	324000
2000-09-25	330	320	335	320	337000
2000-09-26	325	315	325	315	128000
2000-09-27	315	305	315	315	1578500
2000-09-28	315	315	330	320	919000
2000-09-29	315	315	340	330	4262000
2000-10-02	330	330	340	340	947500
2000-10-03	345	335	355	335	3886500
2000-10-04	340	320	340	330	1005000
2000-10-05	305	305	345	335	2720500
2000-10-06	335	330	340	330	390000
2000-10-09	325	325	350	335	4283500
2000-10-10	340	340	355	355	5655500
2000-10-11	355	345	360	345	2458000
2000-10-12	345	335	345	335	3352500
2000-10-13	325	325	370	370	6236500
2000-10-16	375	375	395	385	3459000
2000-10-17	395	395	485	475	17208000
2000-10-18	480	475	490	480	10575500
2000-10-19	480	450	490	465	38813500
2000-10-20	470	360	475	365	37239500
2000-10-23	365	325	365	330	4423000
2000-10-24	340	325	340	330	926000
2000-10-26	325	320	330	325	2253000
2000-10-27	325	325	330	325	356500
2000-10-30	325	320	325	320	813500
2000-10-31	320	315	325	325	1286500
2000-11-01	330	330	335	330	705500
2000-11-02	335	325	335	330	147500
2000-11-03	330	330	335	330	786000
2000-11-06	335	335	345	335	1035500
2000-11-07	340	335	345	340	1560000
2000-11-08	345	335	345	335	1222000
2000-11-09	330	330	330	330	75500
2000-11-10	335	330	335	330	455500
2000-11-13	330	330	335	330	353000
2000-11-14	330	325	330	325	580500
2000-11-15	330	330	335	330	944500
2000-11-16	335	330	335	330	217000
2000-11-17	330	330	335	335	233000
2000-11-20	335	335	350	340	1823000
2000-11-21	345	345	375	375	5532000
2000-11-22	370	360	380	370	5967500
2000-11-23	365	355	365	355	817500
2000-11-24	350	350	370	365	1334000
2000-11-27	365	365	370	365	774000
