Date	Price Open	Price Low	Price High	Price Close	Volume
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2000-06-30		61.647501764	80.77948507	70.150605456	50081713
2000-07-03		59.521725841	70.150605456	60.797191395	25790582
2000-07-04		55.270173995	59.521725841	57.821105103	5445070
2000-07-05		55.69532918	59.096570657	55.69532918	4033821
2000-07-06		55.270173995	57.395949918	56.545639549	19098908
2000-07-07		54.845018811	57.395949918	54.845018811	3728050
2000-07-10		53.994708442	55.69532918	53.994708442	1099598
2000-07-11		52.719242888	53.994708442	53.144398073	3304675
2000-07-12		52.719242888	53.569553257	53.569553257	3275274
2000-07-13		53.569553257	53.569553257	53.569553257	2951863
2000-07-14		52.719242888	53.569553257	53.569553257	1293645
2000-07-17		53.144398073	54.419863626	53.569553257	2275639
2000-07-18		53.994708442	55.270173995	54.419863626	999634
2000-07-19		54.845018811	56.120484365	56.120484365	905551
2000-07-20		55.270173995	57.395949918	56.120484365	1758181
2000-07-21		54.419863626	56.545639549	54.845018811	1246603
2000-07-24		55.270173995	58.671415472	55.270173995	2222717
2000-07-25		53.569553257	54.419863626	53.569553257	470416
2000-07-26		53.994708442	54.419863626	54.419863626	770306
2000-07-27		53.994708442	54.845018811	54.419863626	364572
2000-07-28		53.569553257	54.845018811	54.845018811	782067
2000-07-31		54.419863626	54.419863626	54.419863626	588020
2000-08-01		53.994708442	55.270173995	53.994708442	1034916
2000-08-02		53.569553257	54.845018811	53.569553257	1393608
2000-08-03		53.144398073	53.144398073	53.144398073	294010
2000-08-04		54.845018811	55.270173995	54.845018811	1852264
2000-08-07		53.569553257	54.845018811	53.569553257	646822
2000-08-08		53.144398073	54.419863626	53.144398073	1099598
2000-08-09		52.719242888	53.569553257	52.719242888	793827
2000-08-10		53.144398073	53.994708442	53.144398073	764426
2000-08-11		53.144398073	55.270173995	53.144398073	970233
2000-08-14		53.569553257	54.419863626	53.569553257	1481811
2000-08-15		53.144398073	53.569553257	53.144398073	170525
2000-08-16		53.144398073	53.144398073	53.144398073	458656
2000-08-18		53.569553257	53.569553257	53.569553257	311650
2000-08-18		53.569553257	53.569553257	53.569553257	
					0
2000-08-22		53.144398073	54.845018811	53.569553257	593900
2000-08-23		52.719242888	53.569553257	52.719242888	1393608
2000-08-24		51.868932519	53.144398073	51.868932519	999634
2000-08-25		51.868932519	52.294087703	51.868932519	294010
2000-08-28		51.868932519	52.294087703	51.868932519	276369
2000-08-29		51.868932519	52.719242888	51.868932519	917312
2000-08-30		51.01862215	51.01862215	51.01862215	82322
2000-08-31		51.01862215	51.443777334	51.01862215	735025
2000-09-01		51.01862215	51.868932519	51.01862215	147005
2000-09-04		51.01862215	51.443777334	51.01862215	899671
2000-09-05		51.01862215	51.01862215	51.01862215	335171
2000-09-06		50.16831178	51.01862215	50.16831178	441015
2000-09-07		48.892846227	50.593466965	48.892846227	1117239
2000-09-08		51.01862215	51.01862215	51.01862215	58802
2000-09-11		50.16831178	50.16831178	50.16831178	299890
2000-09-12		48.892846227	48.892846227	48.892846227	294010
2000-09-13		47.192225488	47.192225488	47.192225488	
2000-09-13		47.192225488	47.192225488	47.192225488	117604
					0
					0
2000-09-18		42.515518458	46.767070304	46.767070304	393973
2000-09-19		46.767070304	48.892846227	48.892846227	352812
2000-09-20		47.617380673	47.617380673	47.617380673	235208
2000-09-21		46.767070304	48.467691042	47.192225488	2046311
2000-09-22		44.641294381	46.767070304	45.916759935	588020
2000-09-25		45.916759935	46.341915119	45.916759935	617421
2000-09-26		45.49160475	48.892846227	46.767070304	1622936
2000-09-27		45.916759935	46.341915119	46.341915119	352812
2000-09-28		46.341915119	46.341915119	46.341915119	588020
