Date	Price Open	Price Low	Price High	Price Close	Volume
1999-12-30	810.0	810.0	1000.0	1000.0	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2000-01-26	900.0	900.0	900.0	900.0	
2000-01-26	900.0	900.0	900.0	900.0	29999
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2000-03-01	840.0	840.0	840.0	840.0	
2000-03-01	840.0	840.0	840.0	840.0	49999
					0
					0
2000-03-06	800.0	800.0	800.0	800.0	
2000-03-06	800.0	800.0	800.0	800.0	49999
					0
					0
					0
2000-03-10	830.0	800.0	830.0	800.0	69999
2000-03-13	800.0	800.0	800.0	800.0	
2000-03-13	800.0	800.0	800.0	800.0	49999
					0
2000-03-15	800.0	800.0	800.0	800.0	19999
2000-03-15	800.0	800.0	800.0	800.0	
					0
2000-03-20	800.0	800.0	800.0	800.0	4999
2000-03-20	800.0	800.0	800.0	800.0	
					0
					0
					0
					0
					0
					0
					0
2000-03-30	780.0	780.0	780.0	780.0	
2000-03-30	780.0	780.0	780.0	780.0	49999
					0
					0
2000-04-07	780.0	780.0	780.0	780.0	49999
2000-04-07	780.0	780.0	780.0	780.0	
					0
					0
					0
					0
					0
2000-04-17	770.0	770.0	770.0	770.0	14999
2000-04-17	770.0	770.0	770.0	770.0	
					0
2000-04-19	750.0	750.0	750.0	750.0	29999
2000-04-19	750.0	750.0	750.0	750.0	
					0
2000-04-24	750.0	750.0	750.0	750.0	84999
2000-04-25	740.0	740.0	740.0	740.0	14999
2000-04-26	740.0	740.0	740.0	740.0	49999
2000-04-26	740.0	740.0	740.0	740.0	
					0
2000-04-28	745.0	745.0	745.0	745.0	4999
2000-05-01	780.0	780.0	780.0	780.0	49999
2000-05-02	800.0	800.0	800.0	800.0	74999
2000-05-03	800.0	800.0	810.0	810.0	29999
2000-05-04	810.0	810.0	810.0	810.0	9999
2000-05-04	810.0	810.0	810.0	810.0	
					0
2000-05-08	820.0	820.0	820.0	820.0	14999
2000-05-08	820.0	820.0	820.0	820.0	
					0
2000-05-10	820.0	755.0	820.0	755.0	
2000-05-10	820.0	755.0	820.0	755.0	679999
					0
					0
					0
					0
					0
					0
					0
2000-05-23	800.0	800.0	800.0	800.0	
2000-05-23	800.0	800.0	800.0	800.0	189999
					0
					0
2000-05-26	770.0	770.0	770.0	770.0	89999
2000-05-26	770.0	770.0	770.0	770.0	
					0
					0
2000-05-31	750.0	750.0	750.0	750.0	19999
2000-06-02	750.0	750.0	750.0	750.0	
2000-06-02	750.0	750.0	750.0	750.0	164999
					0
					0
					0
					0
					0
					0
					0
2000-06-14	750.0	750.0	750.0	750.0	9999
2000-06-14	750.0	750.0	750.0	750.0	
					0
2000-06-19	760.0	760.0	760.0	760.0	69999
2000-06-20	770.0	770.0	800.0	800.0	
2000-06-20	770.0	770.0	800.0	800.0	244999
					0
					0
2000-06-23	800.0	800.0	800.0	800.0	129999
2000-06-23	800.0	800.0	800.0	800.0	
					0
					0
					0
