Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	675	675	675	675	10000
2000-01-04	675	675	675	675	
					0
2000-01-06	675	675	675	675	2500
2000-01-11	700	675	725	675	16500
2000-01-11	700	675	725	675	
					0
					0
					0
2000-01-17	675	675	675	675	
2000-01-17	675	675	675	675	2500
					0
2000-01-19	525	525	525	525	2500
2000-01-20	525	525	525	525	2500
2000-01-21	600	600	600	600	
2000-01-21	600	600	600	600	500
					0
					0
2000-01-26	575	575	575	575	1000
2000-01-26	575	575	575	575	
					0
					0
2000-01-31	600	600	600	600	5000
2000-01-31	600	600	600	600	
					0
					0
					0
					0
2000-02-07	575	575	575	575	
2000-02-07	575	575	575	575	500
					0
					0
					0
					0
					0
					0
2000-02-16	525	525	525	525	12000
2000-02-16	525	525	525	525	
					0
2000-02-18	575	575	575	575	
2000-02-18	575	575	575	575	2000
					0
					0
					0
					0
2000-02-25	500	500	500	500	5000
2000-02-25	500	500	500	500	
					0
					0
					0
					0
2000-03-06	500	500	500	500	5000
2000-03-06	500	500	500	500	
					0
2000-03-08	500	500	550	500	
2000-03-08	500	500	550	500	11000
					0
					0
2000-03-13	500	500	500	500	5000
2000-03-13	500	500	500	500	
					0
					0
					0
2000-03-20	475	475	475	475	500
2000-03-20	475	475	475	475	
					0
2000-03-22	450	450	500	500	70000
2000-03-22	450	450	500	500	
					0
					0
					0
2000-03-28	500	500	525	500	17500
2000-03-29	500	500	500	500	1500
2000-03-29	500	500	500	500	
					0
					0
2000-04-05	450	450	450	450	2000
2000-04-07	450	450	450	450	
2000-04-07	450	450	450	450	10000
					0
2000-04-11	500	500	500	500	
2000-04-11	500	500	500	500	12500
					0
2000-04-13	450	450	450	450	
2000-04-13	450	450	450	450	10000
					0
2000-04-17	450	450	450	450	
2000-04-17	450	450	450	450	12500
					0
					0
					0
					0
2000-04-25	450	450	450	450	25000
2000-04-26	450	450	500	500	
2000-04-26	450	450	500	500	79000
					0
					0
					0
					0
					0
					0
2000-05-05	450	450	575	575	9500
2000-05-08	525	525	525	525	2500
2000-05-09	575	575	575	575	2500
2000-05-10	625	500	700	500	
2000-05-10	625	500	700	500	3000
					0
					0
					0
2000-05-16	450	450	500	500	24000
2000-05-16	450	450	500	500	
					0
2000-05-19	450	450	500	500	
2000-05-19	450	450	500	500	15000
					0
					0
					0
					0
					0
					0
					0
					0
					0
