Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	362.5	350.0	375.0	362.5	7816000
2000-01-05	350.0	337.5	375.0	362.5	10058000
2000-01-06	362.5	362.5	412.5	375.0	16183000
2000-01-11	387.5	387.5	412.5	400.0	16504000
2000-01-12	400.0	387.5	450.0	425.0	22827000
2000-01-13	425.0	412.5	437.5	412.5	14576000
2000-01-14	412.5	400.0	425.0	412.5	10308000
2000-01-17	425.0	425.0	475.0	450.0	51934000
2000-01-18	450.0	412.5	450.0	412.5	14167000
2000-01-19	412.5	375.0	412.5	387.5	15459000
2000-01-20	400.0	400.0	525.0	525.0	72465000
2000-01-21	525.0	487.5	550.0	525.0	69266000
2000-01-24	537.5	475.0	537.5	475.0	22296000
2000-01-25	475.0	450.0	512.5	487.5	22804000
2000-01-26	487.5	475.0	512.5	487.5	20011000
2000-01-27	500.0	475.0	500.0	475.0	4641000
2000-01-28	487.5	462.5	487.5	475.0	2948000
2000-01-31	462.5	437.5	462.5	437.5	3672000
2000-02-01	450.0	425.0	462.5	437.5	15216000
2000-02-02	450.0	437.5	487.5	487.5	20814000
2000-02-03	487.5	475.0	487.5	487.5	12068000
2000-02-04	487.5	487.5	512.5	487.5	11676000
2000-02-07	500.0	475.0	500.0	475.0	1266000
2000-02-08	487.5	475.0	487.5	475.0	2612000
2000-02-09	475.0	475.0	625.0	625.0	65349000
2000-02-09	475.0	475.0	625.0	625.0	
					0
2000-02-11	625.0	550.0	625.0	550.0	44518000
2000-02-14	550.0	537.5	575.0	550.0	14215000
2000-02-15	550.0	550.0	587.5	550.0	26174000
2000-02-16	562.5	525.0	562.5	537.5	11117000
2000-02-17	537.5	500.0	562.5	525.0	17158000
2000-02-18	525.0	500.0	537.5	512.5	27175000
2000-02-21	512.5	487.5	512.5	487.5	8657000
2000-02-22	500.0	475.0	500.0	500.0	7722000
2000-02-23	500.0	487.5	512.5	487.5	10469000
2000-02-24	500.0	487.5	512.5	487.5	8813000
2000-02-25	487.5	462.5	487.5	475.0	4248000
2000-02-28	475.0	475.0	500.0	487.5	4452000
2000-03-01	487.5	475.0	500.0	487.5	2170000
2000-03-02	475.0	437.5	475.0	450.0	5159000
2000-03-03	437.5	412.5	462.5	450.0	2582000
2000-03-06	462.5	462.5	487.5	487.5	10884000
2000-03-07	475.0	475.0	487.5	475.0	4224000
2000-03-08	462.5	450.0	487.5	487.5	5537000
2000-03-09	475.0	475.0	525.0	500.0	27230000
2000-03-10	512.5	487.5	512.5	500.0	10705000
2000-03-13	487.5	475.0	487.5	475.0	2155000
2000-03-14	475.0	475.0	487.5	487.5	1690000
2000-03-15	475.0	475.0	487.5	487.5	2319000
2000-03-17	500.0	475.0	500.0	487.5	2876000
2000-03-20	487.5	462.5	487.5	462.5	2576000
2000-03-21	462.5	450.0	462.5	450.0	9103000
2000-03-22	462.5	437.5	462.5	437.5	6080000
2000-03-23	450.0	437.5	475.0	450.0	21443000
2000-03-24	475.0	437.5	475.0	437.5	7854000
2000-03-27	450.0	425.0	450.0	437.5	10155000
2000-03-28	437.5	425.0	437.5	425.0	2739000
2000-03-29	437.5	437.5	462.5	450.0	7586000
2000-03-30	450.0	437.5	462.5	450.0	6861000
2000-04-03	450.0	437.5	450.0	437.5	1412000
2000-04-05	425.0	425.0	437.5	437.5	1699000
2000-04-07	450.0	450.0	462.5	450.0	4529000
2000-04-10	462.5	450.0	462.5	462.5	4883000
2000-04-11	450.0	450.0	462.5	462.5	3596000
2000-04-12	462.5	450.0	462.5	462.5	2660000
2000-04-13	450.0	450.0	450.0	450.0	741000
2000-04-14	437.5	437.5	450.0	450.0	4736000
2000-04-17	400.0	387.5	425.0	387.5	20758000
2000-04-18	412.5	387.5	412.5	400.0	8453000
2000-04-19	400.0	387.5	400.0	400.0	4046000
2000-04-20	387.5	375.0	387.5	387.5	1793000
2000-04-24	387.5	375.0	387.5	387.5	1425000
2000-04-25	375.0	337.5	375.0	350.0	7095000
2000-04-26	337.5	312.5	350.0	337.5	11736000
2000-04-27	325.0	325.0	337.5	337.5	1662000
2000-04-28	325.0	325.0	337.5	337.5	2008000
2000-05-01	325.0	312.5	325.0	312.5	1360000
2000-05-02	325.0	325.0	337.5	325.0	3232000
2000-05-03	325.0	325.0	337.5	325.0	1310000
2000-05-04	325.0	325.0	350.0	337.5	6111000
2000-05-05	337.5	337.5	350.0	337.5	3647000
2000-05-08	337.5	337.5	350.0	337.5	2570000
2000-05-09	337.5	325.0	337.5	337.5	1201000
2000-05-10	337.5	325.0	337.5	337.5	3911000
2000-05-11	325.0	312.5	325.0	312.5	1413000
2000-05-12	312.5	300.0	325.0	325.0	1661000
2000-05-15	312.5	300.0	312.5	312.5	1056000
2000-05-16	300.0	275.0	300.0	300.0	3509000
2000-05-17	287.5	287.5	325.0	325.0	7079000
2000-05-19	312.5	300.0	325.0	325.0	776000
2000-05-22	300.0	287.5	312.5	312.5	764000
2000-05-23	287.5	287.5	300.0	300.0	2469000
2000-05-24	287.5	287.5	300.0	300.0	979000
2000-05-25	300.0	287.5	300.0	300.0	571000
2000-05-26	287.5	275.0	287.5	287.5	3367000
2000-05-29	262.5	237.5	262.5	262.5	4662000
2000-05-30	262.5	237.5	262.5	262.5	4998000
2000-05-31	262.5	237.5	262.5	262.5	3529000
2000-06-02	262.5	250.0	262.5	250.0	2657000
2000-06-05	250.0	237.5	250.0	237.5	1552000
2000-06-06	237.5	212.5	237.5	225.0	4980000
2000-06-07	212.5	200.0	237.5	237.5	2932000
2000-06-08	225.0	225.0	250.0	237.5	8143000
2000-06-09	237.5	237.5	237.5	237.5	255000
2000-06-12	237.5	237.5	250.0	250.0	2713000
2000-06-13	237.5	237.5	250.0	250.0	1080000
2000-06-14	250.0	237.5	250.0	250.0	285000
2000-06-16	250.0	237.5	262.5	262.5	2416000
2000-06-19	250.0	250.0	287.5	262.5	11533000
2000-06-20	275.0	275.0	337.5	337.5	28121000
2000-06-21	337.5	312.5	350.0	325.0	16443000
2000-06-22	312.5	300.0	325.0	312.5	8592000
2000-06-23	312.5	300.0	312.5	312.5	2132000
2000-06-26	312.5	300.0	325.0	312.5	2526000
2000-06-27	312.5	300.0	312.5	300.0	1612000
2000-06-28	300.0	287.5	300.0	300.0	1984000
