Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	275	275	325	275	350000
2000-01-05	275	275	275	275	325000
2000-01-06	275	275	275	275	20000
2000-01-11	275	275	275	275	270000
2000-01-12	275	275	275	275	187500
2000-01-13	300	300	325	300	968500
2000-01-14	325	300	325	300	932000
2000-01-17	325	300	325	300	1937000
2000-01-18	300	300	325	325	754000
2000-01-19	300	300	300	300	617500
2000-01-20	300	300	300	300	72000
2000-01-21	300	300	350	350	24294500
2000-01-24	325	300	350	300	22407000
2000-01-25	300	300	325	300	189000
2000-01-26	300	300	325	300	7724000
2000-01-27	300	300	300	300	609000
2000-01-28	300	300	300	300	457500
2000-01-31	300	275	300	275	277500
2000-02-01	275	275	300	300	293000
2000-02-02	275	275	275	275	239000
2000-02-03	275	275	275	275	105000
2000-02-04	275	275	275	275	10000
2000-02-07	275	275	275	275	12500
2000-02-08	275	275	275	275	62500
2000-02-09	300	275	300	275	167500
2000-02-10	275	275	275	275	187500
2000-02-11	275	275	275	275	220000
2000-02-14	275	275	275	275	67500
2000-02-14	275	275	275	275	
					0
2000-02-16	275	275	275	275	172500
2000-02-17	275	250	275	275	144500
2000-02-17	275	250	275	275	
					0
2000-02-21	275	275	275	275	50000
2000-02-22	250	250	250	250	15000
2000-02-23	275	275	275	275	155000
2000-02-24	250	250	250	250	43000
2000-02-25	250	250	250	250	228000
2000-02-28	225	225	225	225	50000
2000-03-01	250	250	250	250	190000
2000-03-02	225	225	225	225	10000
2000-03-03	250	250	250	250	5000
2000-03-03	250	250	250	250	
					0
2000-03-07	225	200	225	200	839500
2000-03-08	200	175	225	200	539500
2000-03-09	200	200	225	225	242500
2000-03-10	200	200	200	200	86500
2000-03-13	225	200	225	200	315000
2000-03-14	200	200	225	225	286500
2000-03-14	200	200	225	225	
					0
2000-03-17	200	200	200	200	2500
2000-03-20	200	200	225	200	175000
2000-03-21	225	200	225	200	385000
2000-03-22	200	200	250	250	741000
2000-03-23	250	225	250	250	2746500
2000-03-24	250	250	250	250	1304000
2000-03-27	225	200	225	200	390000
2000-03-28	225	200	225	225	31500
2000-03-29	200	200	225	225	82500
2000-03-30	200	200	200	200	23500
2000-04-03	225	200	225	200	85000
2000-04-05	200	175	200	200	177500
2000-04-07	200	200	200	200	50000
2000-04-07	200	200	200	200	
					0
2000-04-11	200	200	200	200	
2000-04-11	200	200	200	200	1500
					0
2000-04-13	200	200	200	200	7500
2000-04-14	175	175	175	175	500
2000-04-17	150	150	175	175	257000
2000-04-18	175	175	200	200	2236500
2000-04-19	175	175	175	175	75000
2000-04-20	175	175	175	175	110000
2000-04-20	175	175	175	175	
					0
2000-04-25	150	150	150	150	541500
2000-04-26	125	75	125	100	1201000
2000-04-27	100	100	100	100	405000
2000-04-28	100	100	125	125	659000
2000-05-01	125	125	125	125	70000
2000-05-02	125	125	150	150	20000
