Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	140	135	140	135	92499
2000-01-05	135	135	135	135	334999
2000-01-06	140	135	165	155	5644999
2000-01-11	165	155	170	155	3412499
2000-01-12	155	155	155	155	377499
2000-01-13	155	145	160	145	1674999
2000-01-14	145	145	145	145	399999
2000-01-14	145	145	145	145	
					0
					0
2000-01-19	150	140	150	140	317499
2000-01-20	150	145	150	145	187499
2000-01-21	145	145	150	150	237499
2000-01-24	155	145	155	145	139999
2000-01-25	140	140	145	145	4999
2000-01-26	145	145	145	145	737499
2000-01-27	140	140	140	140	949999
2000-01-28	145	145	145	145	149999
2000-01-31	140	140	140	140	207499
2000-02-01	135	125	135	125	1287499
2000-02-01	135	125	135	125	
					0
					0
					0
					0
2000-02-08	125	125	125	125	2499
2000-02-09	130	125	130	125	
2000-02-09	130	125	130	125	212499
					0
					0
					0
2000-02-15	140	130	140	130	
2000-02-15	140	130	140	130	74999
					0
2000-02-17	125	125	130	130	124999
2000-02-18	125	125	125	125	224999
2000-02-21	130	130	130	130	34999
2000-02-22	130	130	130	130	24999
2000-02-23	130	130	130	130	157499
2000-02-24	130	130	130	130	59999
2000-02-25	140	140	140	140	
2000-02-25	140	140	140	140	49999
					0
2000-03-01	145	135	145	135	549999
2000-03-02	125	125	125	125	19999
2000-03-03	125	125	125	125	17499
2000-03-06	130	130	130	130	22499
2000-03-07	140	130	140	140	367499
2000-03-07	140	130	140	140	
					0
					0
					0
					0
2000-03-14	125	125	125	125	
2000-03-14	125	125	125	125	624999
					0
					0
2000-03-20	120	120	120	120	127499
2000-03-21	120	120	120	120	
2000-03-21	120	120	120	120	49999
					0
2000-03-23	125	125	125	125	162499
2000-03-24	125	125	125	125	247499
2000-03-24	125	125	125	125	
					0
					0
					0
2000-03-30	135	135	135	135	49999
2000-04-03	135	135	135	135	72499
2000-04-05	125	125	125	125	249999
2000-04-07	125	120	125	120	137499
2000-04-10	120	120	120	120	
2000-04-10	120	120	120	120	312499
					0
2000-04-12	120	120	120	120	
2000-04-12	120	120	120	120	74999
					0
2000-04-14	105	100	105	100	624999
2000-04-17	95	75	95	80	2844999
2000-04-18	80	60	85	60	6084999
2000-04-19	65	60	65	60	5734999
2000-04-20	60	50	60	55	3714999
2000-04-24	50	50	60	55	3532499
2000-04-25	55	45	55	50	1659999
2000-04-26	50	50	55	55	1719999
2000-04-27	55	55	55	55	767499
2000-04-28	55	55	60	55	2579999
2000-05-01	65	65	85	85	
2000-05-01	65	65	85	85	7549999
					0
2000-05-03	80	70	85	70	10972499
2000-05-04	70	70	75	75	3342499
2000-05-05	75	70	80	75	12647499
2000-05-08	75	75	80	80	2234999
2000-05-09	80	80	85	85	11794999
2000-05-10	85	80	85	80	1409999
2000-05-11	80	75	80	75	4899999
