Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	41.0	40.0	41.0	41.0	1237499
2000-01-05	38.0	38.0	39.0	38.0	33599999
2000-01-06	39.0	39.0	41.0	39.0	42049999
2000-01-11	40.0	39.0	40.0	40.0	44274999
2000-01-12	40.0	40.0	47.0	47.0	144012499
2000-01-13	47.0	46.0	51.0	47.0	156224999
2000-01-14	48.0	44.0	48.0	46.0	7599999
2000-01-17	45.0	43.0	48.0	46.0	31037499
2000-01-18	44.0	43.0	44.0	44.0	27262499
2000-01-19	42.0	42.0	44.0	43.0	74249999
2000-01-20	43.0	42.0	45.0	45.0	36524999
2000-01-21	45.0	43.0	45.0	43.0	9812499
2000-01-24	43.0	42.0	43.0	43.0	3574999
2000-01-25	43.0	42.0	43.0	42.0	4687499
2000-01-26	43.0	42.0	43.0	42.0	14312499
2000-01-27	42.0	41.0	42.0	41.0	23149999
2000-01-28	41.0	41.0	41.0	41.0	5337499
2000-01-31	40.0	40.0	42.0	42.0	19299999
2000-02-01	41.0	40.0	41.0	41.0	53687499
2000-02-02	41.0	40.0	41.0	40.0	12999999
2000-02-03	41.0	41.0	42.0	42.0	15362499
2000-02-04	42.0	42.0	42.0	42.0	2062499
2000-02-07	41.0	41.0	43.0	43.0	1662499
2000-02-08	42.0	42.0	43.0	43.0	5124999
2000-02-09	42.0	41.0	42.0	41.0	9012499
2000-02-10	41.0	41.0	42.0	41.0	12912499
2000-02-11	42.0	41.0	42.0	42.0	10649999
2000-02-14	42.0	42.0	43.0	43.0	2512499
2000-02-15	43.0	41.0	43.0	42.0	3924999
2000-02-16	42.0	41.0	42.0	42.0	312499
2000-02-17	41.0	40.0	41.0	40.0	33062499
2000-02-18	39.0	37.0	41.0	40.0	37624999
2000-02-21	39.0	39.0	40.0	39.0	41887499
2000-02-22	39.0	39.0	40.0	39.0	52774999
2000-02-23	39.0	38.0	39.0	39.0	21412499
2000-02-24	38.0	38.0	38.0	38.0	1624999
2000-02-25	38.0	38.0	39.0	39.0	43924999
2000-02-28	38.0	38.0	38.0	38.0	1874999
2000-03-01	38.0	37.0	38.0	38.0	8237499
2000-03-02	37.0	37.0	38.0	38.0	5949999
2000-03-03	36.0	36.0	37.0	37.0	11812499
2000-03-06	37.0	36.0	38.0	37.0	5249999
2000-03-07	36.0	36.0	37.0	37.0	13562499
2000-03-08	36.0	36.0	38.0	38.0	27124999
2000-03-09	38.0	38.0	40.0	40.0	45187499
2000-03-10	40.0	38.0	40.0	39.0	7874999
2000-03-13	39.0	37.0	39.0	38.0	11512499
2000-03-14	38.0	37.0	38.0	38.0	2824999
2000-03-15	37.0	36.0	37.0	37.0	637499
2000-03-17	37.0	37.0	38.0	38.0	15412499
2000-03-20	37.0	37.0	38.0	38.0	2799999
2000-03-21	37.0	36.0	38.0	38.0	1149999
2000-03-21	37.0	36.0	38.0	38.0	
					0
2000-03-23	38.0	37.0	39.0	39.0	44099999
2000-03-24	37.0	36.0	37.0	37.0	4512499
2000-03-27	37.0	37.0	37.0	37.0	124999
2000-03-28	37.0	37.0	37.0	37.0	2124999
2000-03-29	37.0	36.0	37.0	37.0	6187499
2000-03-30	36.0	36.0	37.0	37.0	1387499
2000-04-03	36.0	35.0	36.0	36.0	4349999
2000-04-05	37.0	36.0	37.0	36.0	2812499
2000-04-07	36.0	36.0	37.0	37.0	2124999
2000-04-10	37.0	35.0	38.0	35.0	13062499
2000-04-11	36.0	36.0	36.0	36.0	249999
2000-04-12	35.0	35.0	36.0	36.0	1624999
2000-04-12	35.0	35.0	36.0	36.0	
					0
2000-04-14	35.0	34.0	36.0	36.0	13562499
2000-04-17	34.0	33.0	35.0	35.0	4924999
2000-04-18	34.0	34.0	35.0	34.0	4712499
2000-04-19	34.0	34.0	34.0	34.0	1249999
2000-04-20	34.0	34.0	35.0	35.0	
2000-04-20	34.0	34.0	35.0	35.0	237499
					0
2000-04-25	29.0	29.0	29.0	29.0	12499
2000-04-26	33.0	32.0	34.0	34.0	5962499
2000-04-26	33.0	32.0	34.0	34.0	
					0
2000-04-28	35.0	33.0	35.0	33.0	149999
2000-05-01	33.0	33.0	34.0	34.0	749999
2000-05-02	35.0	35.0	35.0	35.0	812499
2000-05-03	35.0	34.0	35.0	34.0	10874999
2000-05-03	35.0	34.0	35.0	34.0	
					0
2000-05-05	33.0	33.0	34.0	34.0	562499
2000-05-08	34.0	34.0	35.0	35.0	1262499
2000-05-09	33.0	33.0	35.0	35.0	6849999
2000-05-10	33.0	33.0	35.0	35.0	1549999
2000-05-11	32.0	31.0	32.0	32.0	7212499
2000-05-12	31.0	31.0	32.0	32.0	4162499
2000-05-15	31.0	31.0	31.0	31.0	687499
2000-05-16	30.0	29.0	30.0	30.0	3774999
2000-05-17	32.0	30.0	32.0	32.0	9149999
2000-05-19	30.0	30.0	30.0	30.0	3749999
2000-05-22	28.0	28.0	28.0	28.0	4999999
2000-05-23	28.0	28.0	28.0	28.0	8087499
2000-05-24	28.0	28.0	28.0	28.0	7874999
2000-05-24	28.0	28.0	28.0	28.0	
					0
2000-05-26	27.0	27.0	28.0	28.0	7874999
2000-05-29	26.0	24.0	26.0	24.0	10912499
2000-05-30	24.0	22.0	24.0	22.0	17337499
2000-05-31	22.0	22.0	22.0	22.0	17749999
2000-06-02	22.0	21.0	22.0	21.0	29524999
2000-06-05	21.0	20.0	21.0	20.0	5587499
2000-06-06	20.0	19.0	20.0	20.0	56999999
2000-06-07	19.0	19.0	20.0	19.0	12262499
2000-06-08	20.0	20.0	24.0	22.0	66737499
2000-06-09	23.0	22.0	23.0	22.0	15524999
2000-06-12	23.0	22.0	23.0	22.0	6887499
2000-06-12	23.0	22.0	23.0	22.0	
					0
2000-06-14	21.0	21.0	23.0	23.0	12724999
2000-06-16	22.0	22.0	24.0	24.0	6762499
2000-06-19	23.0	23.0	25.0	25.0	31949999
2000-06-20	25.0	25.0	27.0	27.0	14774999
2000-06-21	26.0	26.0	26.0	26.0	11899999
2000-06-22	26.0	26.0	27.0	27.0	16174999
2000-06-23	27.0	26.0	30.0	29.0	35649999
2000-06-26	28.0	28.0	29.0	28.0	1999999
2000-06-27	28.0	28.0	28.0	28.0	6762499
2000-06-28	29.0	28.0	30.0	30.0	5987499
2000-06-29	30.0	29.0	32.0	31.0	33487499
2000-06-30	30.0	30.0	31.0	30.0	937499
2000-07-03	30.0	28.4	30.0	28.4	1874999
2000-07-04	28.4	28.0	28.4	28.4	11687499
2000-07-05	28.4	28.4	29.0	29.0	4287499
2000-07-06	28.4	28.4	29.0	29.0	8937499
2000-07-07	28.4	28.4	29.2	29.2	
2000-07-07	28.4	28.4	29.2	29.2	2124999
					0
2000-07-11	29.0	28.4	29.0	28.4	6749999
2000-07-12	28.8	28.6	29.4	28.6	4999999
2000-07-13	29.0	28.8	29.2	28.8	3249999
2000-07-13	29.0	28.8	29.2	28.8	
					0
2000-07-17	28.4	28.4	28.4	28.4	7499999
2000-07-18	28.4	27.8	28.4	27.8	36124999
2000-07-19	27.8	27.8	28.4	27.8	19162499
2000-07-20	27.8	27.8	27.8	27.8	
2000-07-20	27.8	27.8	27.8	27.8	6562499
					0
2000-07-24	28.4	27.8	28.4	27.8	2662499
2000-07-25	27.4	27.0	27.4	27.0	
2000-07-25	27.4	27.0	27.4	27.0	3262499
					0
2000-07-27	27.0	26.2	27.4	27.0	15512499
2000-07-28	26.0	24.4	26.0	24.6	12987499
2000-07-31	25.4	25.4	25.4	25.4	624999
2000-08-01	26.0	24.8	28.0	24.8	12749999
2000-08-02	24.8	24.8	26.0	26.0	637499
2000-08-03	26.2	26.2	27.4	27.4	1899999
2000-08-04	27.4	25.8	27.4	25.8	4312499
2000-08-07	24.8	24.8	27.6	27.4	4187499
2000-08-08	25.8	25.4	25.8	25.4	
2000-08-08	25.8	25.4	25.8	25.4	1249999
					0
2000-08-10	27.0	26.0	27.0	26.0	624999
2000-08-11	27.2	26.8	27.2	27.0	5274999
2000-08-14	27.0	26.8	27.0	26.8	2049999
2000-08-15	26.4	26.2	26.4	26.2	
2000-08-15	26.4	26.2	26.4	26.2	1312499
					0
					0
					0
2000-08-22	26.2	26.2	26.2	26.2	62499
2000-08-23	27.2	27.0	27.2	27.2	499999
2000-08-24	27.2	27.2	27.2	27.2	49999
2000-08-25	26.8	26.4	27.0	27.0	462499
2000-08-28	27.0	27.0	27.2	27.2	
2000-08-28	27.0	27.0	27.2	27.2	749999
					0
					0
					0
2000-09-01	27.0	26.4	27.0	26.4	3124999
2000-09-04	24.2	24.2	27.0	27.0	
2000-09-04	24.2	24.2	27.0	27.0	187499
					0
					0
2000-09-07	25.2	25.2	25.2	25.2	249999
2000-09-08	24.6	24.6	25.4	25.0	
2000-09-08	24.6	24.6	25.4	25.0	3699999
					0
2000-09-12	24.2	24.2	24.2	24.2	62499
2000-09-13	23.0	23.0	23.0	23.0	
2000-09-13	23.0	23.0	23.0	23.0	249999
					0
					0
2000-09-18	20.0	20.0	20.0	20.0	1249999
2000-09-19	20.0	20.0	20.0	20.0	99999
2000-09-20	20.2	20.2	22.0	22.0	
2000-09-20	20.2	20.2	22.0	22.0	337499
					0
					0
					0
					0
2000-09-27	22.0	22.0	22.0	22.0	274999
2000-09-28	22.0	22.0	22.0	22.0	
2000-09-28	22.0	22.0	22.0	22.0	249999
					0
					0
					0
2000-10-04	22.0	22.0	22.0	22.0	124999
2000-10-05	22.4	22.4	23.6	23.6	1249999
2000-10-06	23.6	22.0	23.6	23.6	387499
2000-10-09	23.6	23.6	23.6	23.6	499999
2000-10-09	23.6	23.6	23.6	23.6	
					0
					0
					0
					0
2000-10-16	19.2	19.0	24.0	24.0	2974999
2000-10-17	23.6	22.0	23.8	23.8	8049999
2000-10-17	23.6	22.0	23.8	23.8	
					0
					0
2000-10-20	24.0	24.0	24.0	24.0	624999
2000-10-20	24.0	24.0	24.0	24.0	
					0
					0
2000-10-26	21.0	21.0	25.0	25.0	1774999
2000-10-27	24.0	24.0	25.0	25.0	
2000-10-27	24.0	24.0	25.0	25.0	437499
					0
2000-10-31	24.0	24.0	25.0	25.0	1887499
2000-11-01	26.0	26.0	26.0	26.0	62499
2000-11-02	24.0	24.0	25.0	25.0	399999
2000-11-03	24.0	24.0	24.0	24.0	174999
2000-11-03	24.0	24.0	24.0	24.0	
					0
2000-11-07	24.0	23.0	24.0	24.0	2899999
2000-11-08	23.0	22.0	23.0	23.0	2874999
2000-11-09	23.0	22.0	23.0	22.0	2824999
2000-11-10	22.0	22.0	22.0	22.0	1812499
2000-11-13	22.0	22.0	22.0	22.0	262499
2000-11-14	23.0	22.0	23.0	22.0	4299999
2000-11-15	21.0	21.0	24.0	24.0	13637499
2000-11-16	22.0	21.0	22.0	21.0	61624999
2000-11-17	21.0	21.0	22.0	21.0	3999999
2000-11-20	21.0	20.0	21.0	21.0	5937499
2000-11-21	20.0	20.0	22.0	21.0	19174999
2000-11-22	22.0	21.0	23.0	22.0	20237499
2000-11-23	22.0	21.0	22.0	22.0	6137499
2000-11-24	21.0	21.0	21.0	21.0	1137499
2000-11-27	21.0	21.0	21.0	21.0	1437499
2000-11-28	20.0	20.0	22.0	22.0	1162499
2000-11-29	22.0	22.0	22.0	22.0	749999
2000-11-30	21.0	21.0	22.0	22.0	26062499
2000-12-01	21.0	21.0	22.0	22.0	26262499
2000-12-04	21.0	21.0	22.0	22.0	23687499
2000-12-05	22.0	22.0	22.0	22.0	1274999
2000-12-06	21.0	21.0	22.0	22.0	3012499
2000-12-07	22.0	21.0	22.0	22.0	6037499
2000-12-07	22.0	21.0	22.0	22.0	
					0
2000-12-11	20.0	20.0	21.0	21.0	999999
2000-12-12	20.0	20.0	21.0	21.0	2062499
2000-12-13	20.0	20.0	21.0	21.0	2624999
2000-12-14	21.0	20.0	21.0	21.0	2587499
2000-12-15	20.0	20.0	21.0	21.0	5399999
2000-12-18	20.0	20.0	20.0	20.0	249999
2000-12-19	19.0	19.0	20.0	19.0	237499
2000-12-20	20.0	19.8	20.4	20.2	11687499
2000-12-21	20.0	20.0	21.0	21.0	3062499
2000-12-22	20.0	20.0	24.0	23.0	20249999
2001-01-02	21.0	20.0	21.0	20.0	
2001-01-02	21.0	20.0	21.0	20.0	1687499
					0
2001-01-04	21.0	21.0	21.0	21.0	12499
2001-01-05	21.0	21.0	21.0	21.0	749999
2001-01-05	21.0	21.0	21.0	21.0	
					0
					0
					0
2001-01-11	20.0	20.0	20.0	20.0	2124999
2001-01-12	20.0	20.0	20.0	20.0	2499999
2001-01-15	20.0	20.0	21.0	21.0	
2001-01-15	20.0	20.0	21.0	21.0	299999
					0
					0
2001-01-18	20.0	20.0	22.0	22.0	3712499
2001-01-19	21.0	20.0	21.0	20.0	2212499
2001-01-22	20.0	20.0	20.0	20.0	624999
2001-01-23	20.0	20.0	20.0	20.0	999999
2001-01-24	20.0	20.0	20.0	20.0	937499
2001-01-25	20.0	20.0	20.0	20.0	1249999
2001-01-26	20.0	20.0	22.0	22.0	562499
2001-01-29	22.0	20.0	22.0	20.0	249999
2001-01-30	21.0	21.0	22.0	22.0	1999999
2001-01-31	20.0	20.0	22.0	22.0	14737499
2001-02-01	21.0	21.0	22.0	22.0	974999
2001-02-02	21.0	21.0	22.0	22.0	2812499
2001-02-05	22.0	22.0	23.0	22.0	45587499
2001-02-06	22.0	22.0	22.0	22.0	5199999
2001-02-07	20.0	20.0	22.0	22.0	1374999
2001-02-07	20.0	20.0	22.0	22.0	
					0
					0
					0
					0
2001-02-14	22.0	20.0	22.0	20.0	1437499
2001-02-15	21.0	21.0	22.0	22.0	4187499
2001-02-15	21.0	21.0	22.0	22.0	
					0
2001-02-19	21.0	21.0	21.0	21.0	2524999
2001-02-19	21.0	21.0	21.0	21.0	
					0
2001-02-21	21.0	21.0	21.0	21.0	712499
2001-02-22	22.0	22.0	22.0	22.0	1249999
2001-02-23	21.0	21.0	21.0	21.0	124999
2001-02-26	21.0	20.0	21.0	20.0	
2001-02-26	21.0	20.0	21.0	20.0	124999
					0
2001-02-28	20.0	20.0	20.0	20.0	3712499
2001-03-01	20.0	20.0	20.0	20.0	887499
2001-03-02	20.0	20.0	20.0	20.0	387499
2001-03-02	20.0	20.0	20.0	20.0	
					0
2001-03-07	20.0	20.0	20.0	20.0	2249999
2001-03-08	20.0	20.0	20.0	20.0	
2001-03-08	20.0	20.0	20.0	20.0	512499
					0
2001-03-12	19.0	19.0	20.0	20.0	1374999
2001-03-13	19.0	18.0	19.0	18.0	7837499
2001-03-14	18.4	17.0	18.4	17.0	2574999
2001-03-15	17.0	17.0	18.0	18.0	2562499
2001-03-16	17.6	17.6	17.6	17.6	3749999
2001-03-19	17.0	17.0	17.0	17.0	2624999
2001-03-20	16.0	16.0	16.0	16.0	2499999
2001-03-21	15.6	15.6	15.6	15.6	1249999
2001-03-22	15.6	15.2	15.6	15.2	4474999
2001-03-23	16.0	16.0	16.0	16.0	1212499
2001-03-23	16.0	16.0	16.0	16.0	
					0
					0
					0
2001-03-30	18.6	16.0	20.0	20.0	1262499
2001-04-02	16.0	16.0	17.0	17.0	1812499
2001-04-03	17.0	17.0	17.0	17.0	124999
2001-04-04	17.0	17.0	17.0	17.0	624999
2001-04-04	17.0	17.0	17.0	17.0	
					0
2001-04-06	17.0	17.0	17.0	17.0	12499
2001-04-09	16.4	16.0	16.4	16.0	399999
2001-04-10	16.4	16.4	16.4	16.4	
2001-04-10	16.4	16.4	16.4	16.4	62499
					0
					0
					0
2001-04-17	16.0	16.0	16.0	16.0	
2001-04-17	16.0	16.0	16.0	16.0	3087499
					0
2001-04-19	15.2	15.2	15.2	15.2	
2001-04-19	15.2	15.2	15.2	15.2	624999
					0
					0
					0
					0
2001-04-26	15.0	15.0	15.0	15.0	2124999
2001-04-27	15.2	15.0	15.2	15.0	1687499
2001-04-30	14.2	14.2	15.8	15.2	449999
2001-05-01	16.0	15.6	16.0	15.6	1662499
2001-05-02	15.8	15.6	16.0	15.6	774999
2001-05-03	16.0	16.0	16.0	16.0	749999
2001-05-04	16.0	16.0	16.0	16.0	9449999
2001-05-04	16.0	16.0	16.0	16.0	
					0
2001-05-09	15.4	15.4	16.0	16.0	624999
2001-05-09	15.4	15.4	16.0	16.0	
					0
2001-05-11	15.6	15.6	15.6	15.6	12499
2001-05-11	15.6	15.6	15.6	15.6	
					0
					0
2001-05-16	15.2	15.2	15.2	15.2	49999
2001-05-17	15.6	15.6	16.0	16.0	
2001-05-17	15.6	15.6	16.0	16.0	874999
					0
					0
2001-05-22	15.8	15.8	16.0	15.8	2062499
2001-05-23	15.8	15.8	15.8	15.8	1062499
2001-05-23	15.8	15.8	15.8	15.8	
					0
					0
2001-05-29	16.0	15.4	16.6	15.8	19912499
2001-05-30	16.2	16.2	17.6	16.4	51099999
2001-05-31	16.8	16.8	17.0	17.0	249999
2001-06-01	16.4	16.4	16.4	16.4	499999
2001-06-05	16.0	16.0	16.0	16.0	12499
2001-06-06	15.8	15.0	15.8	15.4	5362499
2001-06-07	15.0	15.0	15.8	15.8	
2001-06-07	15.0	15.0	15.8	15.8	1512499
					0
					0
2001-06-12	15.6	15.6	15.6	15.6	249999
2001-06-13	15.0	15.0	15.8	15.8	137499
2001-06-13	15.0	15.0	15.8	15.8	
					0
					0
2001-06-18	15.6	15.6	15.8	15.8	137499
2001-06-19	15.6	15.6	16.0	15.6	1812499
2001-06-20	15.6	15.4	16.4	15.8	2624999
2001-06-21	16.4	16.4	17.6	17.4	9762499
2001-06-22	16.8	16.8	16.8	16.8	212499
2001-06-25	16.6	16.6	17.0	17.0	624999
2001-06-26	16.2	16.2	16.6	16.6	49999
2001-06-26	16.2	16.2	16.6	16.6	
					0
					0
					0
2001-07-02	15.6	15.6	15.6	15.6	624999
2001-07-03	15.8	15.8	16.0	16.0	
2001-07-03	15.8	15.8	16.0	16.0	537499
					0
					0
					0
					0
2001-07-10	16.2	16.2	16.2	16.2	187499
2001-07-11	16.2	16.2	18.0	16.6	
2001-07-11	16.2	16.2	18.0	16.6	2737499
					0
2001-07-13	16.8	16.8	16.8	16.8	
2001-07-13	16.8	16.8	16.8	16.8	312499
					0
2001-07-17	16.6	16.6	16.8	16.8	
2001-07-17	16.6	16.6	16.8	16.8	262499
					0
2001-07-19	16.8	16.8	16.8	16.8	74999
2001-07-20	16.8	16.8	16.8	16.8	562499
2001-07-23	18.0	18.0	19.0	18.4	
2001-07-23	18.0	18.0	19.0	18.4	4724999
					0
					0
					0
					0
2001-07-30	18.4	18.0	18.4	18.0	362499
2001-07-31	18.0	18.0	19.6	19.6	524999
2001-08-01	18.0	18.0	18.0	18.0	249999
2001-08-01	18.0	18.0	18.0	18.0	
					0
					0
					0
					0
2001-08-08	18.0	18.0	18.0	18.0	124999
2001-08-09	18.0	18.0	18.0	18.0	1499999
2001-08-10	18.0	18.0	18.0	18.0	124999
2001-08-10	18.0	18.0	18.0	18.0	
					0
					0
2001-08-15	18.0	17.2	18.8	18.8	1524999
2001-08-16	17.2	17.2	17.2	17.2	
2001-08-16	17.2	17.2	17.2	17.2	124999
					0
2001-08-21	16.8	16.8	18.4	18.4	74999
2001-08-22	17.6	17.2	17.6	17.2	
2001-08-22	17.6	17.2	17.6	17.2	224999
					0
					0
					0
					0
					0
2001-08-30	16.6	16.6	16.6	16.6	162499
2001-08-30	16.6	16.6	16.6	16.6	
					0
2001-09-03	16.6	16.0	16.6	16.0	199999
2001-09-04	16.0	16.0	16.0	16.0	1812499
2001-09-05	16.0	15.8	16.0	16.0	3174999
2001-09-06	17.0	17.0	17.0	17.0	549999
2001-09-06	17.0	17.0	17.0	17.0	
					0
					0
					0
2001-09-12	16.0	16.0	16.0	16.0	
2001-09-12	16.0	16.0	16.0	16.0	237499
					0
2001-09-14	16.0	15.8	16.0	15.8	349999
2001-09-17	15.8	15.0	15.8	15.0	1424999
2001-09-17	15.8	15.0	15.8	15.0	
					0
2001-09-19	15.0	15.0	15.0	15.0	249999
2001-09-19	15.0	15.0	15.0	15.0	
					0
					0
2001-09-24	15.0	15.0	15.0	15.0	124999
2001-09-24	15.0	15.0	15.0	15.0	
					0
2001-09-26	15.0	15.0	15.0	15.0	49999
2001-09-26	15.0	15.0	15.0	15.0	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2001-11-21	14.8	14.8	14.8	14.8	
2001-11-21	14.8	14.8	14.8	14.8	149999
					0
					0
					0
2001-11-27	14.8	14.8	15.0	15.0	2162499
2001-11-28	15.0	15.0	15.0	15.0	
2001-11-28	15.0	15.0	15.0	15.0	6374999
					0
2001-11-30	15.0	15.0	15.0	15.0	24999
2001-11-30	15.0	15.0	15.0	15.0	
					0
2001-12-04	15.0	15.0	15.0	15.0	624999
2001-12-05	15.0	15.0	15.0	15.0	1874999
2001-12-06	16.0	16.0	18.0	18.0	12462499
2001-12-07	15.4	15.4	15.4	15.4	
2001-12-07	15.4	15.4	15.4	15.4	12499
					0
					0
2001-12-12	15.6	15.6	16.4	16.4	724999
2001-12-13	16.6	16.4	17.0	16.8	
2001-12-13	16.6	16.4	17.0	16.8	837499
					0
2001-12-20	17.2	16.0	17.2	17.0	274999
2001-12-21	18.0	18.0	20.0	20.0	
2001-12-21	18.0	18.0	20.0	20.0	537499
					0
2001-12-27	16.0	16.0	20.0	20.0	387499
2001-12-28	16.0	16.0	20.0	20.0	
2001-12-28	16.0	16.0	20.0	20.0	2524999
					0
					0
					0
					0
2002-01-08	16.0	16.0	16.0	16.0	124999
2002-01-08	16.0	16.0	16.0	16.0	
					0
					0
2002-01-11	16.0	16.0	16.0	16.0	
2002-01-11	16.0	16.0	16.0	16.0	249999
					0
					0
