Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	185	180	190	180	22562499
2000-01-05	180	175	185	180	15587499
2000-01-06	185	180	185	180	5007499
2000-01-11	180	180	185	180	13809999
2000-01-12	180	180	185	180	10364999
2000-01-13	185	180	195	190	25384999
2000-01-14	195	195	205	195	42277499
2000-01-17	200	200	215	205	87144999
2000-01-18	200	190	200	200	23319999
2000-01-19	200	185	200	190	18959999
2000-01-20	185	185	200	190	7467499
2000-01-21	195	190	195	195	4682499
2000-01-24	195	190	200	190	5262499
2000-01-25	190	185	190	190	6647499
2000-01-26	190	185	190	185	8339999
2000-01-27	185	185	190	185	6069999
2000-01-28	185	185	185	185	3027499
2000-01-31	185	180	185	180	2944999
2000-02-01	185	175	185	180	10472499
2000-02-02	180	175	180	175	3322499
2000-02-03	175	170	180	180	2167499
2000-02-04	180	180	185	180	7789999
2000-02-07	180	180	190	190	26604999
2000-02-08	190	175	190	185	52799999
2000-02-09	180	175	180	180	7149999
2000-02-10	180	180	205	200	110117499
2000-02-11	205	200	225	215	225304999
2000-02-14	220	215	230	225	138872499
2000-02-15	230	225	245	225	296117499
2000-02-16	230	210	230	215	89654999
2000-02-17	220	210	225	215	28332499
2000-02-18	215	205	220	220	63637499
2000-02-21	215	210	220	210	5197499
2000-02-22	215	205	220	205	39634999
2000-02-23	210	205	210	210	3257499
2000-02-24	210	195	210	195	18549999
2000-02-25	200	195	200	200	4134999
2000-02-28	200	200	205	205	6889999
2000-03-01	205	200	205	200	7674999
2000-03-02	200	190	200	190	3279999
2000-03-03	190	185	190	190	3442499
2000-03-06	195	190	205	200	9202499
2000-03-07	200	190	200	190	2864999
2000-03-08	190	190	200	195	6004999
2000-03-09	195	195	205	205	23929999
2000-03-10	205	200	205	200	7419999
2000-03-13	200	195	200	195	8494999
2000-03-14	195	195	205	200	15279999
2000-03-15	200	200	210	205	27494999
2000-03-17	210	200	210	205	11729999
2000-03-20	200	195	200	195	4782499
2000-03-21	200	195	200	200	3299999
2000-03-22	200	195	200	195	302499
2000-03-23	195	195	205	195	6712499
2000-03-24	200	190	200	195	5042499
2000-03-27	195	185	195	190	9219999
2000-03-28	190	190	190	190	2472499
2000-03-29	195	185	195	185	6862499
2000-03-30	185	185	190	190	3594999
2000-04-03	190	185	190	185	3002499
2000-04-05	185	180	185	185	1937499
2000-04-07	185	185	185	185	2772499
2000-04-10	185	185	185	185	1049999
2000-04-11	185	180	190	180	1252499
2000-04-12	185	185	185	185	3769999
2000-04-13	185	185	185	185	2419999
2000-04-14	185	175	185	180	3274999
2000-04-17	175	170	175	170	4382499
2000-04-18	170	170	175	170	699999
2000-04-19	170	170	175	175	2152499
2000-04-20	170	170	170	170	1462499
2000-04-24	170	170	170	170	349999
2000-04-25	175	165	175	165	2969999
2000-04-26	165	165	170	170	644999
2000-04-27	165	165	165	165	1242499
2000-04-28	165	165	170	170	1172499
2000-05-01	170	165	170	165	369999
2000-05-02	165	165	175	170	1779999
2000-05-03	175	170	175	170	3734999
2000-05-04	170	170	180	175	7422499
2000-05-05	180	175	180	175	1394999
2000-05-08	175	170	175	170	842499
2000-05-09	175	175	175	175	217499
2000-05-10	170	170	175	175	1287499
2000-05-11	170	165	170	165	1437499
2000-05-12	165	165	165	165	1447499
2000-05-15	165	160	165	160	2424999
2000-05-16	160	150	160	150	5412499
2000-05-17	150	150	165	165	7689999
2000-05-19	160	155	160	155	399999
2000-05-22	150	150	150	150	424999
2000-05-23	150	150	155	150	3547499
2000-05-24	150	145	150	145	1657499
2000-05-25	145	140	145	145	1184999
2000-05-26	140	135	140	140	2727499
