Date	Price Open	Price Low	Price High	Price Close	Volume
1999-06-14	316.905061053	316.905061053	316.905061053	316.905061053	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2000-02-09	198.065663158	198.065663158	198.065663158	198.065663158	2524
2000-02-10	198.065663158	138.645964211	257.485362106	247.582078948	2342657
2000-02-11	267.388645264	262.437003685	272.340286843	267.388645264	9272177
2000-02-14	262.437003685	262.437003685	287.19521158	287.19521158	78256
2000-02-15	292.146853159	277.291928422	302.050136316	297.098494738	13889333
2000-02-16	292.146853159	282.243570001	292.146853159	282.243570001	121171
2000-02-17	287.19521158	242.630437369	321.856702632	242.630437369	41329728
2000-02-18	217.872229474	212.920587895	222.823871053	222.823871053	45439
2000-02-21	217.872229474	212.920587895	227.775512632	222.823871053	123696
2000-02-22	217.872229474	217.872229474	247.582078948	242.630437369	252441
2000-02-23	237.67879579	237.67879579	297.098494738	297.098494738	6581150
2000-02-24	297.098494738	277.291928422	297.098494738	277.291928422	247392
2000-02-25	257.485362106	257.485362106	257.485362106	257.485362106	7573
2000-02-28	307.001777895	297.098494738	311.953419474	307.001777895	4006247
2000-03-01	307.001777895	302.050136316	307.001777895	302.050136316	436723
2000-03-02	311.953419474	297.098494738	311.953419474	297.098494738	2044776
2000-03-03	297.098494738	292.146853159	297.098494738	292.146853159	893643
2000-03-06	311.953419474	307.001777895	331.75998579	311.953419474	4745900
2000-03-07	302.050136316	302.050136316	316.905061053	316.905061053	5048
2000-03-08	302.050136316	302.050136316	311.953419474	307.001777895	166611
2000-03-08	302.050136316	302.050136316	311.953419474	307.001777895	
					0
2000-03-10	331.75998579	331.75998579	356.518193685	356.518193685	254965
2000-03-10	331.75998579	331.75998579	356.518193685	356.518193685	
					0
2000-03-14	371.373118422	346.614910527	371.373118422	351.566552106	148940
2000-03-15	346.614910527	346.614910527	396.131326317	396.131326317	441772
2000-03-17	376.324760001	376.324760001	381.27640158	376.324760001	176709
