Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	81.193541491	81.193541491	104.550587673	104.550587673	551162372
2000-01-05	97.877145906	87.866983257	130.132114444	117.897471205	1511791119
2000-01-06	117.897471205	117.897471205	145.703478565	140.142277093	1391347272
2000-01-11	151.264680037	144.591238271	170.172765042	145.703478565	1182882877
2000-01-12	151.264680037	135.693315916	151.264680037	140.142277093	967045975
2000-01-13	144.591238271	95.652665318	149.040199448	113.448510028	1639270317
2000-01-14	115.672990617	97.877145906	120.121951794	103.438347378	397014028
2000-01-17	111.224029439	111.224029439	124.570912972	116.785230911	658502037
2000-01-18	120.121951794	110.111789145	120.121951794	114.560750322	275974536
2000-01-19	113.448510028	103.438347378	114.560750322	104.550587673	216983237
2000-01-20	105.662827967	105.662827967	117.897471205	115.672990617	350182871
2000-01-21	115.672990617	111.224029439	115.672990617	113.448510028	101428172
2000-01-24	115.672990617	110.111789145	117.897471205	111.224029439	90391887
2000-01-25	110.111789145	107.887308556	115.672990617	113.448510028	61553695
2000-01-26	116.785230911	113.448510028	124.570912972	113.448510028	96033654
2000-01-27	124.570863143	113.670912618	137.027949458	115.228048408	49610316
2000-01-28	115.228048408	115.228048408	119.899455776	118.342319986	14915205
2000-01-31	115.228048408	110.55664104	115.228048408	113.670912618	11599823
2000-02-01	113.670912618	105.885233672	113.670912618	110.55664104	12860150
2000-02-02	110.55664104	99.656690515	112.113776829	104.328097883	19466831
2000-02-03	101.213826304	99.656690515	105.885233672	104.328097883	28497835
2000-02-04	105.885233672	105.885233672	116.785184197	113.670912618	41068993
2000-02-07	116.785184197	115.228048408	119.899455776	115.228048408	25150343
2000-02-08	115.228048408	110.55664104	115.228048408	112.113776829	14353276
2000-02-09	113.670912618	113.670912618	121.456591565	116.785184197	54739927
2000-02-10	115.228048408	115.228048408	121.456591565	115.228048408	45138966
2000-02-11	115.228048408	112.113776829	116.785184197	113.670912618	29653804
2000-02-14	113.670912618	108.99950525	113.670912618	110.55664104	37849942
2000-02-15	110.55664104	99.656690515	110.55664104	101.213826304	75683829
2000-02-16	102.770962093	91.871011568	102.770962093	93.428147358	131804497
2000-02-17	93.428147358	93.428147358	107.442369461	101.213826304	533278796
2000-02-18	102.770962093	94.985283147	102.770962093	101.213826304	146872226
2000-02-21	101.213826304	99.656690515	105.885233672	101.213826304	175169373
2000-02-22	102.770962093	98.099554725	102.770962093	98.099554725	64204419
2000-02-23	99.656690515	96.542418936	101.213826304	98.099554725	54475017
2000-02-24	99.656690515	93.428147358	99.656690515	94.985283147	147562596
2000-02-25	94.985283147	90.313875779	96.542418936	90.313875779	92421291
2000-02-28	91.871011568	88.75673999	91.871011568	90.313875779	75651719
2000-03-01	91.871011568	85.642468411	93.428147358	87.1996042	95238964
2000-03-02	88.75673999	77.856789465	88.75673999	79.413925254	206805984
2000-03-03	77.856789465	68.513974729	77.856789465	76.299653675	230069851
2000-03-06	79.413925254	79.413925254	98.099554725	96.542418936	704458472
2000-03-07	96.542418936	88.75673999	96.542418936	91.871011568	438112080
2000-03-08	88.75673999	85.642468411	93.428147358	91.871011568	252972478
2000-03-09	90.313875779	90.313875779	94.985283147	90.313875779	153342439
2000-03-10	93.428147358	90.313875779	94.985283147	90.313875779	89707975
2000-03-13	91.871011568	87.1996042	93.428147358	88.75673999	53752537
2000-03-14	87.1996042	87.1996042	88.75673999	87.1996042	29132012
2000-03-15	85.642468411	85.642468411	87.1996042	87.1996042	26812048
2000-03-17	91.871011568	84.085332622	91.871011568	85.642468411	94018775
