Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	135.618038699	135.618038699	141.042760247	141.042760247	230426
2000-01-05	130.193317151	130.193317151	135.618038699	135.618038699	483895
2000-01-06	135.618038699	135.618038699	135.618038699	135.618038699	46085
2000-01-11	119.343874055	119.343874055	135.618038699	135.618038699	253469
2000-01-11	119.343874055	119.343874055	135.618038699	135.618038699	
					0
2000-01-13	124.768595603	124.768595603	130.193317151	130.193317151	460853
2000-01-14	130.193317151	130.193317151	130.193317151	130.193317151	23042
2000-01-17	119.343874055	119.343874055	130.193317151	130.193317151	368682
2000-01-17	119.343874055	119.343874055	130.193317151	130.193317151	
					0
					0
2000-01-20	113.919152507	113.919152507	130.193317151	130.193317151	6428901
2000-01-21	124.768595603	124.768595603	130.193317151	130.193317151	69127
2000-01-24	119.343874055	119.343874055	119.343874055	119.343874055	230426
2000-01-25	130.193317151	130.193317151	130.193317151	130.193317151	46085
2000-01-26	119.343874055	119.343874055	124.768595603	124.768595603	92170
2000-01-26	119.343874055	119.343874055	124.768595603	124.768595603	
					0
2000-01-28	113.919152507	113.919152507	124.768595603	124.768595603	2281223
2000-01-31	108.494430959	108.494430959	124.768595603	124.768595603	4055507
2000-02-01	119.343874055	119.343874055	119.343874055	119.343874055	23042
2000-02-01	119.343874055	119.343874055	119.343874055	119.343874055	
					0
					0
2000-02-04	119.343874055	119.343874055	119.343874055	119.343874055	23042
2000-02-04	119.343874055	119.343874055	119.343874055	119.343874055	
					0
2000-02-08	113.919152507	113.919152507	113.919152507	113.919152507	69127
2000-02-09	113.919152507	113.919152507	113.919152507	113.919152507	115213
2000-02-10	113.919152507	113.919152507	113.919152507	113.919152507	875620
2000-02-11	113.919152507	113.919152507	113.919152507	113.919152507	
2000-02-11	113.919152507	113.919152507	113.919152507	113.919152507	460853
					0
2000-02-15	108.494430959	108.494430959	108.494430959	108.494430959	3410313
2000-02-16	108.494430959	108.494430959	108.494430959	108.494430959	668237
2000-02-16	108.494430959	108.494430959	108.494430959	108.494430959	
					0
2000-02-18	103.069709411	97.644987863	103.069709411	97.644987863	11544371
2000-02-21	92.220266315	92.220266315	92.220266315	92.220266315	599109
2000-02-22	92.220266315	86.795544767	97.644987863	97.644987863	
2000-02-22	92.220266315	86.795544767	97.644987863	97.644987863	714322
					0
2000-02-24	86.795544767	81.370823219	97.644987863	92.220266315	1820369
2000-02-25	86.795544767	86.795544767	86.795544767	86.795544767	1382559
2000-02-28	92.220266315	92.220266315	92.220266315	92.220266315	345639
2000-03-01	86.795544767	86.795544767	86.795544767	86.795544767	2304265
2000-03-02	81.370823219	81.370823219	86.795544767	86.795544767	207383
2000-03-03	81.370823219	75.946101671	86.795544767	86.795544767	10138769
2000-03-06	86.795544767	81.370823219	86.795544767	86.795544767	2742076
2000-03-07	86.795544767	75.946101671	86.795544767	86.795544767	
2000-03-07	86.795544767	75.946101671	86.795544767	86.795544767	1106047
					0
2000-03-09	86.795544767	81.370823219	86.795544767	86.795544767	368682
2000-03-10	86.795544767	86.795544767	86.795544767	86.795544767	69127
2000-03-13	86.795544767	86.795544767	86.795544767	86.795544767	1728199
2000-03-14	92.220266315	92.220266315	92.220266315	92.220266315	23042
2000-03-15	92.220266315	86.795544767	97.644987863	97.644987863	599109
2000-03-17	103.069709411	103.069709411	108.494430959	108.494430959	1267346
2000-03-20	97.644987863	97.644987863	103.069709411	103.069709411	391725
2000-03-20	97.644987863	97.644987863	103.069709411	103.069709411	
					0
2000-03-22	92.220266315	92.220266315	97.644987863	97.644987863	1636028
2000-03-22	92.220266315	92.220266315	97.644987863	97.644987863	
					0
2000-03-24	92.220266315	86.795544767	103.069709411	103.069709411	2511649
2000-03-27	86.795544767	86.795544767	92.220266315	92.220266315	3502483
2000-03-28	86.795544767	81.370823219	86.795544767	86.795544767	599109
2000-03-29	86.795544767	86.795544767	86.795544767	86.795544767	92170
2000-03-30	86.795544767	86.795544767	86.795544767	86.795544767	1543858
2000-04-03	86.795544767	86.795544767	86.795544767	86.795544767	345639
2000-04-05	92.220266315	92.220266315	92.220266315	92.220266315	46085
2000-04-07	81.370823219	70.521380123	81.370823219	75.946101671	15968561
2000-04-10	75.946101671	75.946101671	75.946101671	75.946101671	3802038
2000-04-11	70.521380123	70.521380123	75.946101671	70.521380123	1221260
2000-04-12	75.946101671	70.521380123	75.946101671	70.521380123	2580777
2000-04-13	70.521380123	70.521380123	75.946101671	75.946101671	3525526
2000-04-14	81.370823219	75.946101671	81.370823219	81.370823219	2327308
2000-04-17	75.946101671	70.521380123	81.370823219	81.370823219	1129090
2000-04-18	70.521380123	70.521380123	81.370823219	81.370823219	
2000-04-18	70.521380123	70.521380123	81.370823219	81.370823219	1336474
					0
2000-04-20	70.521380123	70.521380123	75.946101671	75.946101671	69127
2000-04-24	70.521380123	70.521380123	75.946101671	75.946101671	829535
2000-04-24	70.521380123	70.521380123	75.946101671	75.946101671	
					0
					0
2000-04-27	70.521380123	70.521380123	75.946101671	75.946101671	92170
2000-04-28	70.521380123	70.521380123	70.521380123	70.521380123	69127
2000-05-01	70.521380123	70.521380123	75.946101671	75.946101671	207383
2000-05-02	70.521380123	65.096658576	75.946101671	75.946101671	645194
2000-05-03	75.946101671	75.946101671	75.946101671	75.946101671	23042
2000-05-04	75.946101671	75.946101671	75.946101671	75.946101671	69127
2000-05-05	70.521380123	70.521380123	70.521380123	70.521380123	4608531
2000-05-08	70.521380123	70.521380123	70.521380123	70.521380123	17604590
2000-05-08	70.521380123	70.521380123	70.521380123	70.521380123	
					0
2000-05-10	65.096658576	65.096658576	65.096658576	65.096658576	5415024
2000-05-11	65.096658576	65.096658576	65.096658576	65.096658576	1820369
2000-05-12	65.096658576	65.096658576	65.096658576	65.096658576	529981
2000-05-15	59.671937028	59.671937028	65.096658576	65.096658576	115213
2000-05-16	59.671937028	54.24721548	65.096658576	65.096658576	9101849
2000-05-17	65.096658576	65.096658576	65.096658576	65.096658576	23042
2000-05-19	65.096658576	65.096658576	65.096658576	65.096658576	
2000-05-19	65.096658576	65.096658576	65.096658576	65.096658576	23042
					0
2000-05-23	59.671937028	59.671937028	65.096658576	65.096658576	4677659
2000-05-23	59.671937028	59.671937028	65.096658576	65.096658576	
					0
2000-05-25	59.671937028	54.24721548	59.671937028	54.24721548	3272057
2000-05-26	54.24721548	48.822493932	59.671937028	48.822493932	7673204
2000-05-29	48.822493932	48.822493932	48.822493932	48.822493932	3156844
2000-05-30	48.822493932	48.822493932	48.822493932	48.822493932	6889754
2000-05-31	48.822493932	43.397772384	48.822493932	48.822493932	2142967
2000-06-02	48.822493932	37.973050836	48.822493932	43.397772384	6866711
2000-06-05	43.397772384	37.973050836	43.397772384	43.397772384	16659841
2000-06-06	37.973050836	37.973050836	43.397772384	43.397772384	6843669
2000-06-07	37.973050836	37.973050836	37.973050836	37.973050836	2926417
2000-06-08	37.973050836	37.973050836	37.973050836	37.973050836	10323110
2000-06-09	37.973050836	37.973050836	37.973050836	37.973050836	5322853
2000-06-12	37.973050836	37.973050836	37.973050836	37.973050836	3802038
2000-06-13	37.973050836	37.973050836	43.397772384	43.397772384	1866455
2000-06-14	43.397772384	37.973050836	43.397772384	43.397772384	22120951
2000-06-16	43.397772384	43.397772384	48.822493932	48.822493932	8617953
2000-06-19	48.822493932	48.822493932	48.822493932	48.822493932	12143480
2000-06-20	48.822493932	48.822493932	54.24721548	54.24721548	5576323
2000-06-21	54.24721548	54.24721548	54.24721548	54.24721548	184341
2000-06-22	48.822493932	48.822493932	48.822493932	48.822493932	437810
2000-06-23	48.822493932	48.822493932	59.671937028	59.671937028	6705413
2000-06-26	59.671937028	59.671937028	59.671937028	59.671937028	1382559
2000-06-27	54.24721548	54.24721548	54.24721548	54.24721548	1543858
2000-06-28	54.24721548	54.24721548	54.24721548	54.24721548	6866711
2000-06-29	54.24721548	54.24721548	54.24721548	54.24721548	5322853
2000-06-30	54.24721548	54.24721548	54.24721548	54.24721548	1705156
2000-07-03	54.24721548	49.907438241	54.24721548	49.907438241	691279
2000-07-04	48.822493932	48.822493932	53.16227117	53.16227117	276511
2000-07-05	49.907438241	49.907438241	49.907438241	49.907438241	5391981
2000-07-06	52.07732686	52.07732686	54.24721548	54.24721548	1751241
2000-07-07	57.502048408	57.502048408	70.521380123	65.096658576	6037176
2000-07-10	65.096658576	59.671937028	65.096658576	64.011714266	
2000-07-10	65.096658576	59.671937028	65.096658576	64.011714266	2719033
					0
2000-07-12	59.671937028	59.671937028	59.671937028	59.671937028	576066
2000-07-13	59.671937028	59.671937028	59.671937028	59.671937028	576066
2000-07-13	59.671937028	59.671937028	59.671937028	59.671937028	
					0
2000-07-17	64.011714266	64.011714266	65.096658576	65.096658576	4677659
2000-07-17	64.011714266	64.011714266	65.096658576	65.096658576	
					0
2000-07-19	64.011714266	64.011714266	64.011714266	64.011714266	23042
2000-07-19	64.011714266	64.011714266	64.011714266	64.011714266	
					0
					0
					0
2000-07-25	56.417104099	56.417104099	56.417104099	56.417104099	46085
2000-07-26	58.586992718	55.332159789	60.756881337	60.756881337	
2000-07-26	58.586992718	55.332159789	60.756881337	60.756881337	6958882
					0
					0
2000-07-31	56.417104099	56.417104099	56.417104099	56.417104099	92170
2000-08-01	55.332159789	55.332159789	55.332159789	55.332159789	3433355
2000-08-02	55.332159789	55.332159789	56.417104099	56.417104099	299554
2000-08-03	60.756881337	57.502048408	61.841825647	58.586992718	17397206
2000-08-04	58.586992718	58.586992718	65.096658576	65.096658576	7281479
2000-08-07	65.096658576	64.011714266	65.096658576	65.096658576	13203442
2000-08-08	62.926769956	61.841825647	65.096658576	65.096658576	3018588
2000-08-09	62.926769956	62.926769956	66.181602885	66.181602885	10576579
2000-08-10	66.181602885	66.181602885	67.266547195	67.266547195	2834246
2000-08-11	67.266547195	67.266547195	69.436435814	68.351491504	1636028
2000-08-14	67.266547195	67.266547195	68.351491504	67.266547195	2880332
2000-08-15	68.351491504	68.351491504	69.436435814	69.436435814	1382559
2000-08-16	69.436435814	67.266547195	69.436435814	67.266547195	691279
2000-08-18	65.096658576	65.096658576	65.096658576	65.096658576	460853
2000-08-21	67.266547195	67.266547195	68.351491504	68.351491504	1958625
2000-08-22	67.266547195	67.266547195	70.521380123	70.521380123	2419479
2000-08-23	69.436435814	69.436435814	69.436435814	69.436435814	3986379
2000-08-24	66.181602885	64.011714266	66.181602885	64.011714266	
2000-08-24	66.181602885	64.011714266	66.181602885	64.011714266	2396436
					0
2000-08-28	64.011714266	64.011714266	64.011714266	64.011714266	92170
2000-08-28	64.011714266	64.011714266	64.011714266	64.011714266	
					0
					0
2000-08-31	64.011714266	64.011714266	68.351491504	68.351491504	4954171
2000-09-01	65.096658576	65.096658576	65.096658576	65.096658576	1036919
2000-09-04	65.096658576	65.096658576	67.266547195	67.266547195	
2000-09-04	65.096658576	65.096658576	67.266547195	67.266547195	3087716
					0
2000-09-06	65.096658576	56.417104099	65.096658576	56.417104099	
2000-09-06	65.096658576	56.417104099	65.096658576	56.417104099	2880332
					0
2000-09-08	59.671937028	59.671937028	60.756881337	60.756881337	46085
2000-09-11	62.926769956	57.502048408	62.926769956	58.586992718	5138512
2000-09-12	58.586992718	54.24721548	58.586992718	54.24721548	7742332
2000-09-13	56.417104099	56.417104099	57.502048408	57.502048408	
2000-09-13	56.417104099	56.417104099	57.502048408	57.502048408	2304265
					0
					0
2000-09-18	54.24721548	54.24721548	54.24721548	54.24721548	1313431
2000-09-19	56.417104099	56.417104099	59.671937028	58.586992718	3917251
2000-09-20	58.586992718	58.586992718	58.586992718	58.586992718	3110758
2000-09-21	57.502048408	56.417104099	57.502048408	56.417104099	2396436
2000-09-22	56.417104099	56.417104099	58.586992718	56.417104099	4239848
2000-09-25	57.502048408	57.502048408	61.841825647	57.502048408	5875877
2000-09-26	57.502048408	57.502048408	57.502048408	57.502048408	967791
2000-09-27	58.586992718	56.417104099	58.586992718	56.417104099	4631574
2000-09-28	56.417104099	56.417104099	58.586992718	58.586992718	460853
2000-09-29	57.502048408	57.502048408	58.586992718	58.586992718	3502483
2000-10-02	58.586992718	58.586992718	58.586992718	58.586992718	138255
2000-10-03	56.417104099	56.417104099	58.586992718	58.586992718	2419479
2000-10-03	56.417104099	56.417104099	58.586992718	58.586992718	
					0
2000-10-05	59.671937028	59.671937028	62.926769956	61.841825647	
2000-10-05	59.671937028	59.671937028	62.926769956	61.841825647	4815915
					0
2000-10-09	58.586992718	58.586992718	60.756881337	59.671937028	5023299
2000-10-09	58.586992718	58.586992718	60.756881337	59.671937028	
					0
2000-10-11	58.586992718	58.586992718	60.756881337	60.756881337	5760664
2000-10-12	58.586992718	58.586992718	60.756881337	58.586992718	5806749
2000-10-13	59.671937028	59.671937028	61.841825647	61.841825647	2166009
2000-10-16	65.096658576	60.756881337	67.266547195	65.096658576	8825337
2000-10-17	65.096658576	65.096658576	68.351491504	65.096658576	14470788
2000-10-18	67.266547195	65.096658576	67.266547195	65.096658576	2073839
2000-10-19	66.181602885	66.181602885	75.946101671	71.606324433	4193763
2000-10-20	73.776213052	65.096658576	74.861157362	65.096658576	1958625
2000-10-23	65.096658576	65.096658576	69.436435814	69.436435814	14032978
2000-10-24	70.521380123	69.436435814	70.521380123	69.436435814	6405858
2000-10-26	69.436435814	69.436435814	69.436435814	69.436435814	23042
2000-10-27	66.181602885	65.096658576	66.181602885	65.096658576	207383
2000-10-30	65.096658576	65.096658576	65.096658576	65.096658576	46085
2000-10-31	68.351491504	66.181602885	69.436435814	67.266547195	4677659
2000-10-31	68.351491504	66.181602885	69.436435814	67.266547195	
					0
2000-11-02	65.096658576	62.926769956	66.181602885	66.181602885	3686825
2000-11-02	65.096658576	62.926769956	66.181602885	66.181602885	
					0
2000-11-06	64.011714266	64.011714266	64.011714266	64.011714266	253469
2000-11-06	64.011714266	64.011714266	64.011714266	64.011714266	
					0
2000-11-08	62.926769956	62.926769956	62.926769956	62.926769956	276511
2000-11-08	62.926769956	62.926769956	62.926769956	62.926769956	
					0
2000-11-10	62.926769956	62.926769956	62.926769956	62.926769956	46085
2000-11-13	62.926769956	62.926769956	62.926769956	62.926769956	161298
2000-11-14	62.926769956	62.926769956	62.926769956	62.926769956	161298
2000-11-15	61.841825647	61.841825647	61.841825647	61.841825647	230426
2000-11-16	61.841825647	61.841825647	62.926769956	62.926769956	138255
2000-11-17	62.926769956	62.926769956	67.266547195	67.266547195	8571868
2000-11-20	65.096658576	64.011714266	65.096658576	64.011714266	460853
2000-11-21	62.926769956	62.926769956	62.926769956	62.926769956	115213
2000-11-22	62.926769956	62.926769956	62.926769956	62.926769956	322597
2000-11-23	62.926769956	62.926769956	62.926769956	62.926769956	69127
2000-11-23	62.926769956	62.926769956	62.926769956	62.926769956	
					0
					0
2000-11-28	65.096658576	65.096658576	65.096658576	65.096658576	460853
2000-11-29	65.096658576	65.096658576	65.096658576	65.096658576	1774284
2000-11-30	67.266547195	65.096658576	67.266547195	65.096658576	1981668
2000-11-30	67.266547195	65.096658576	67.266547195	65.096658576	
					0
2000-12-04	64.011714266	62.926769956	64.011714266	62.926769956	161298
2000-12-04	64.011714266	62.926769956	64.011714266	62.926769956	
					0
					0
2000-12-07	62.926769956	62.926769956	62.926769956	62.926769956	345639
2000-12-08	62.926769956	62.926769956	62.926769956	62.926769956	46085
2000-12-08	62.926769956	62.926769956	62.926769956	62.926769956	
					0
					0
					0
					0
					0
2000-12-18	62.926769956	61.841825647	62.926769956	62.926769956	4193763
2000-12-18	62.926769956	61.841825647	62.926769956	62.926769956	
					0
2000-12-20	62.926769956	61.841825647	62.926769956	62.926769956	
2000-12-20	62.926769956	61.841825647	62.926769956	62.926769956	3456398
					0
2000-12-22	64.011714266	62.926769956	65.096658576	62.926769956	69127
2000-12-22	64.011714266	62.926769956	65.096658576	62.926769956	
					0
2001-01-03	60.756881337	60.756881337	62.926769956	62.926769956	345639
2001-01-04	59.671937028	59.671937028	62.926769956	62.926769956	69127
2001-01-05	43.397772384	43.397772384	62.926769956	62.926769956	92170
2001-01-08	59.671937028	59.671937028	59.671937028	59.671937028	46085
2001-01-08	59.671937028	59.671937028	59.671937028	59.671937028	
					0
					0
					0
					0
					0
					0
					0
2001-01-18	54.24721548	54.24721548	59.671937028	59.671937028	46085
2001-01-18	54.24721548	54.24721548	59.671937028	59.671937028	
					0
					0
					0
2001-01-24	54.24721548	54.24721548	54.24721548	54.24721548	
2001-01-24	54.24721548	54.24721548	54.24721548	54.24721548	115213
					0
2001-01-26	58.586992718	58.586992718	60.756881337	59.671937028	7903631
2001-01-29	57.502048408	56.417104099	58.586992718	57.502048408	2304265
2001-01-30	56.417104099	56.417104099	57.502048408	56.417104099	3410313
2001-01-31	56.417104099	54.24721548	56.417104099	54.24721548	5461109
2001-02-01	54.24721548	54.24721548	56.417104099	56.417104099	
2001-02-01	54.24721548	54.24721548	56.417104099	56.417104099	2788161
					0
2001-02-05	54.24721548	49.907438241	54.24721548	49.907438241	5023299
2001-02-06	52.07732686	52.07732686	52.07732686	52.07732686	46085
2001-02-07	49.907438241	49.907438241	49.907438241	49.907438241	1497772
2001-02-08	49.907438241	49.907438241	49.907438241	49.907438241	138255
2001-02-09	50.992382551	50.992382551	50.992382551	50.992382551	691279
2001-02-12	52.07732686	48.822493932	52.07732686	48.822493932	2258180
2001-02-12	52.07732686	48.822493932	52.07732686	48.822493932	
					0
2001-02-14	48.822493932	48.822493932	48.822493932	48.822493932	8456655
2001-02-15	49.907438241	47.737549622	49.907438241	48.822493932	368682
2001-02-16	48.822493932	48.822493932	48.822493932	48.822493932	2834246
2001-02-19	48.822493932	48.822493932	50.992382551	49.907438241	2903374
2001-02-20	49.907438241	49.907438241	49.907438241	49.907438241	691279
2001-02-21	49.907438241	48.822493932	49.907438241	48.822493932	622151
2001-02-22	49.907438241	48.822493932	49.907438241	49.907438241	
2001-02-22	49.907438241	48.822493932	49.907438241	49.907438241	944748
					0
					0
					0
2001-02-28	48.822493932	48.822493932	48.822493932	48.822493932	69127
2001-03-01	49.907438241	49.907438241	49.907438241	49.907438241	691279
2001-03-02	49.907438241	49.907438241	49.907438241	49.907438241	2396436
2001-03-02	49.907438241	49.907438241	49.907438241	49.907438241	
					0
2001-03-07	49.907438241	49.907438241	49.907438241	49.907438241	576066
2001-03-08	49.907438241	49.907438241	49.907438241	49.907438241	460853
2001-03-09	48.822493932	47.737549622	48.822493932	47.737549622	1451687
2001-03-12	45.567661003	43.397772384	45.567661003	44.482716693	737365
2001-03-12	45.567661003	43.397772384	45.567661003	44.482716693	
					0
2001-03-14	45.567661003	45.567661003	46.652605312	46.652605312	46085
2001-03-15	48.822493932	39.057995145	48.822493932	43.397772384	944748
2001-03-16	43.397772384	43.397772384	43.397772384	43.397772384	806493
2001-03-19	46.652605312	46.652605312	47.737549622	47.737549622	921706
2001-03-20	42.312828074	41.227883764	42.312828074	41.227883764	1152132
2001-03-21	41.227883764	41.227883764	45.567661003	41.227883764	
2001-03-21	41.227883764	41.227883764	45.567661003	41.227883764	3225972
					0
2001-03-23	43.397772384	43.397772384	45.567661003	44.482716693	506938
2001-03-27	45.567661003	37.973050836	46.652605312	37.973050836	11913053
2001-03-28	40.142939455	40.142939455	41.227883764	41.227883764	
2001-03-28	40.142939455	40.142939455	41.227883764	41.227883764	506938
					0
2001-03-30	40.142939455	39.057995145	40.142939455	39.057995145	898663
2001-04-02	39.057995145	39.057995145	40.142939455	40.142939455	
2001-04-02	39.057995145	39.057995145	40.142939455	40.142939455	714322
					0
					0
2001-04-05	39.057995145	39.057995145	39.057995145	39.057995145	115213
2001-04-06	37.973050836	37.973050836	37.973050836	37.973050836	460853
2001-04-09	39.057995145	39.057995145	39.057995145	39.057995145	115213
2001-04-09	39.057995145	39.057995145	39.057995145	39.057995145	
					0
2001-04-11	40.142939455	40.142939455	41.227883764	40.142939455	2212095
2001-04-11	40.142939455	40.142939455	41.227883764	40.142939455	
					0
					0
2001-04-17	40.142939455	40.142939455	41.227883764	41.227883764	
2001-04-17	40.142939455	40.142939455	41.227883764	41.227883764	1152132
					0
2001-04-19	41.227883764	41.227883764	41.227883764	41.227883764	691279
2001-04-19	41.227883764	41.227883764	41.227883764	41.227883764	
					0
2001-04-23	40.142939455	40.142939455	40.142939455	40.142939455	1290388
2001-04-24	40.142939455	40.142939455	40.142939455	40.142939455	990834
2001-04-25	40.142939455	40.142939455	40.142939455	40.142939455	
2001-04-25	40.142939455	40.142939455	40.142939455	40.142939455	852578
					0
					0
					0
2001-05-01	40.142939455	40.142939455	40.142939455	40.142939455	230426
2001-05-02	40.142939455	39.057995145	40.142939455	39.057995145	1843412
2001-05-02	40.142939455	39.057995145	40.142939455	39.057995145	
					0
2001-05-04	40.142939455	40.142939455	40.142939455	40.142939455	23042
2001-05-08	39.057995145	39.057995145	40.142939455	40.142939455	2258180
2001-05-09	41.227883764	40.142939455	41.227883764	40.142939455	207383
2001-05-10	40.142939455	40.142939455	40.142939455	40.142939455	230426
2001-05-10	40.142939455	40.142939455	40.142939455	40.142939455	
					0
					0
					0
2001-05-16	39.057995145	39.057995145	39.057995145	39.057995145	23042
2001-05-17	41.227883764	41.227883764	41.227883764	41.227883764	2119924
2001-05-18	43.397772384	43.397772384	43.397772384	43.397772384	46085
2001-05-21	41.227883764	41.227883764	42.312828074	42.312828074	322597
2001-05-22	43.397772384	43.397772384	43.397772384	43.397772384	230426
2001-05-23	43.397772384	43.397772384	46.652605312	45.567661003	3848123
2001-05-25	44.482716693	44.482716693	45.567661003	44.482716693	1290388
2001-05-28	44.482716693	43.397772384	44.482716693	43.397772384	691279
2001-05-29	43.397772384	43.397772384	46.652605312	46.652605312	2603820
2001-05-30	47.737549622	47.737549622	48.822493932	47.737549622	2603820
2001-05-31	47.737549622	46.652605312	47.737549622	46.652605312	1751241
2001-06-01	45.567661003	45.567661003	45.567661003	45.567661003	230426
2001-06-05	43.397772384	43.397772384	43.397772384	43.397772384	1152132
2001-06-06	48.822493932	48.822493932	48.822493932	48.822493932	1866455
2001-06-07	49.907438241	47.737549622	49.907438241	47.737549622	1221260
2001-06-07	49.907438241	47.737549622	49.907438241	47.737549622	
					0
2001-06-11	46.652605312	46.652605312	46.652605312	46.652605312	
2001-06-11	46.652605312	46.652605312	46.652605312	46.652605312	576066
					0
2001-06-13	47.737549622	47.737549622	47.737549622	47.737549622	
2001-06-13	47.737549622	47.737549622	47.737549622	47.737549622	230426
					0
					0
					0
2001-06-19	48.822493932	48.822493932	48.822493932	48.822493932	483895
2001-06-20	49.907438241	47.737549622	49.907438241	48.822493932	1774284
2001-06-21	49.907438241	48.822493932	49.907438241	48.822493932	138255
2001-06-22	48.822493932	48.822493932	48.822493932	48.822493932	184341
2001-06-25	48.822493932	48.822493932	48.822493932	48.822493932	184341
2001-06-26	47.737549622	47.737549622	47.737549622	47.737549622	46085
