Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	275.0	275.0	287.5	287.5	12840000
2000-01-05	262.5	250.0	275.0	262.5	7607000
2000-01-06	262.5	262.5	275.0	275.0	4467000
2000-01-11	262.5	262.5	287.5	262.5	12009000
2000-01-12	262.5	262.5	287.5	275.0	13599000
2000-01-13	275.0	275.0	300.0	275.0	40039000
2000-01-14	287.5	262.5	287.5	287.5	24374000
2000-01-17	287.5	262.5	287.5	262.5	12316000
2000-01-18	275.0	225.0	275.0	250.0	52531000
2000-01-19	250.0	237.5	250.0	250.0	17402000
2000-01-20	250.0	250.0	262.5	250.0	24335000
2000-01-21	250.0	250.0	262.5	250.0	5026000
2000-01-24	250.0	237.5	250.0	250.0	2065000
2000-01-25	250.0	237.5	250.0	237.5	1662000
2000-01-26	250.0	237.5	250.0	237.5	3547000
2000-01-27	250.0	237.5	250.0	250.0	2654000
2000-01-28	250.0	237.5	250.0	237.5	8261000
2000-01-31	250.0	237.5	300.0	250.0	2145000
2000-02-01	250.0	225.0	250.0	225.0	216000
2000-02-02	225.0	212.5	237.5	225.0	7965000
2000-02-03	225.0	212.5	237.5	212.5	8119000
2000-02-04	225.0	225.0	237.5	225.0	2662000
2000-02-07	225.0	225.0	237.5	225.0	5534000
2000-02-08	225.0	225.0	225.0	225.0	1457000
2000-02-09	225.0	225.0	225.0	225.0	1769000
2000-02-10	225.0	225.0	237.5	225.0	12700000
2000-02-11	225.0	225.0	225.0	225.0	3401000
2000-02-14	225.0	225.0	237.5	225.0	4044000
2000-02-15	237.5	225.0	237.5	225.0	6825000
2000-02-16	237.5	225.0	237.5	225.0	2485000
2000-02-17	225.0	212.5	225.0	212.5	1465000
2000-02-18	212.5	212.5	212.5	212.5	6300000
2000-02-21	212.5	212.5	225.0	212.5	5560000
2000-02-22	212.5	212.5	212.5	212.5	1695000
2000-02-23	212.5	212.5	212.5	212.5	1723000
2000-02-24	212.5	200.0	212.5	200.0	2044000
2000-02-25	200.0	200.0	200.0	200.0	4065000
2000-02-28	200.0	200.0	212.5	212.5	1273000
2000-03-01	200.0	200.0	200.0	200.0	1138000
2000-03-02	200.0	187.5	200.0	187.5	530000
2000-03-03	187.5	175.0	200.0	200.0	3995000
2000-03-06	175.0	175.0	212.5	200.0	3679000
2000-03-07	200.0	187.5	200.0	187.5	2621000
2000-03-08	187.5	187.5	187.5	187.5	490000
2000-03-09	200.0	200.0	212.5	200.0	6195000
2000-03-10	200.0	200.0	212.5	200.0	3772000
2000-03-13	200.0	200.0	212.5	212.5	4454000
2000-03-14	200.0	187.5	200.0	187.5	472000
2000-03-15	200.0	200.0	200.0	200.0	1342000
2000-03-17	200.0	187.5	200.0	187.5	1142000
2000-03-20	187.5	187.5	200.0	200.0	998000
2000-03-21	200.0	200.0	200.0	200.0	3953000
2000-03-22	200.0	200.0	200.0	200.0	1000000
2000-03-23	200.0	200.0	212.5	200.0	4292000
2000-03-24	200.0	200.0	212.5	200.0	1923000
2000-03-27	200.0	187.5	200.0	187.5	268000
2000-03-28	200.0	187.5	200.0	187.5	88000
2000-03-29	187.5	187.5	200.0	200.0	117000
2000-03-30	200.0	187.5	200.0	187.5	1879000
2000-04-03	187.5	187.5	187.5	187.5	129000
2000-04-05	187.5	187.5	187.5	187.5	1000
2000-04-07	200.0	187.5	200.0	187.5	315000
2000-04-10	187.5	187.5	187.5	187.5	55000
2000-04-11	187.5	187.5	187.5	187.5	395000
2000-04-12	187.5	187.5	187.5	187.5	275000
2000-04-13	187.5	187.5	187.5	187.5	785000
2000-04-14	187.5	187.5	187.5	187.5	233000
2000-04-17	187.5	162.5	187.5	175.0	2283000
2000-04-18	175.0	175.0	175.0	175.0	335000
2000-04-19	175.0	162.5	175.0	162.5	550000
2000-04-20	162.5	162.5	162.5	162.5	327000
2000-04-24	175.0	162.5	175.0	175.0	765000
2000-04-25	175.0	162.5	175.0	162.5	561000
2000-04-26	162.5	162.5	162.5	162.5	2509000
2000-04-27	162.5	162.5	162.5	162.5	755000
2000-04-28	162.5	162.5	162.5	162.5	742000
2000-05-01	162.5	150.0	162.5	150.0	566000
2000-05-02	162.5	162.5	162.5	162.5	510000
2000-05-03	162.5	162.5	187.5	162.5	2251000
2000-05-04	175.0	175.0	175.0	175.0	1007000
2000-05-05	175.0	175.0	175.0	175.0	721000
2000-05-08	175.0	175.0	175.0	175.0	882000
2000-05-09	162.5	162.5	162.5	162.5	190000
2000-05-10	175.0	162.5	175.0	162.5	280000
2000-05-11	162.5	162.5	162.5	162.5	1144000
2000-05-12	162.5	162.5	162.5	162.5	288000
2000-05-15	150.0	150.0	150.0	150.0	270000
2000-05-16	150.0	150.0	150.0	150.0	369000
2000-05-17	150.0	150.0	162.5	162.5	809000
2000-05-19	162.5	150.0	162.5	150.0	610000
2000-05-22	150.0	150.0	150.0	150.0	138000
2000-05-23	150.0	150.0	150.0	150.0	1825000
2000-05-24	150.0	150.0	150.0	150.0	611000
2000-05-25	150.0	150.0	150.0	150.0	343000
2000-05-26	150.0	150.0	150.0	150.0	756000
2000-05-29	137.5	125.0	137.5	125.0	1419000
2000-05-30	125.0	125.0	150.0	150.0	5762000
2000-05-31	150.0	125.0	162.5	125.0	5169000
2000-06-02	125.0	125.0	125.0	125.0	3322000
2000-06-05	125.0	125.0	125.0	125.0	2576000
2000-06-06	125.0	112.5	137.5	137.5	2605000
2000-06-07	125.0	125.0	137.5	125.0	440000
2000-06-08	137.5	125.0	137.5	125.0	13000
2000-06-09	125.0	125.0	125.0	125.0	157000
2000-06-12	125.0	125.0	125.0	125.0	2080000
2000-06-13	125.0	125.0	137.5	125.0	80000
2000-06-14	137.5	125.0	137.5	125.0	359000
2000-06-16	125.0	125.0	137.5	137.5	302000
2000-06-19	137.5	137.5	150.0	137.5	3265000
2000-06-20	137.5	137.5	150.0	137.5	3770000
2000-06-21	137.5	137.5	150.0	150.0	265000
2000-06-22	137.5	137.5	162.5	150.0	11100000
2000-06-23	150.0	150.0	175.0	150.0	6309000
2000-06-26	162.5	150.0	162.5	162.5	2443000
2000-06-27	162.5	150.0	162.5	150.0	1767000
2000-06-28	162.5	162.5	162.5	162.5	3135000
2000-06-29	162.5	162.5	162.5	162.5	1230000
2000-06-30	162.5	150.0	162.5	150.0	182000
2000-07-03	152.5	142.5	155.0	142.5	4176000
2000-07-04	142.5	142.5	145.0	142.5	790000
2000-07-05	150.0	150.0	155.0	150.0	1712000
2000-07-06	150.0	147.5	152.5	147.5	840000
2000-07-07	147.5	147.5	147.5	147.5	161000
2000-07-07	147.5	147.5	147.5	147.5	
					0
2000-07-11	147.5	145.0	150.0	150.0	170000
2000-07-12	145.0	145.0	147.5	145.0	1093000
2000-07-12	145.0	145.0	147.5	145.0	
					0
2000-07-14	145.0	145.0	147.5	145.0	545000
2000-07-17	145.0	145.0	145.0	145.0	345000
2000-07-18	145.0	145.0	147.5	147.5	353000
2000-07-19	147.5	145.0	147.5	145.0	279000
2000-07-20	147.5	147.5	150.0	150.0	488000
2000-07-21	150.0	150.0	160.0	160.0	6709000
2000-07-24	162.5	157.5	170.0	160.0	10019000
2000-07-25	157.5	155.0	160.0	157.5	4410000
2000-07-26	155.0	155.0	157.5	157.5	2790000
2000-07-27	160.0	160.0	170.0	170.0	8324000
2000-07-28	172.5	165.0	175.0	167.5	11193000
2000-07-31	165.0	162.5	165.0	162.5	3157000
2000-08-01	165.0	160.0	165.0	160.0	3625000
2000-08-02	162.5	160.0	170.0	165.0	4281000
2000-08-03	165.0	165.0	170.0	167.5	2960000
2000-08-04	167.5	162.5	167.5	162.5	4851000
2000-08-07	165.0	160.0	165.0	160.0	2160000
2000-08-08	162.5	160.0	162.5	162.5	3344000
2000-08-09	162.5	160.0	162.5	160.0	780000
2000-08-10	160.0	160.0	165.0	165.0	2345000
2000-08-11	165.0	165.0	167.5	165.0	1959000
2000-08-14	165.0	162.5	165.0	165.0	515000
2000-08-15	167.5	162.5	167.5	162.5	2333000
2000-08-16	160.0	150.0	162.5	152.5	1849000
2000-08-18	152.5	152.5	160.0	157.5	720000
2000-08-21	157.5	157.5	160.0	160.0	390000
2000-08-22	160.0	157.5	162.5	157.5	712000
2000-08-23	160.0	157.5	160.0	160.0	849000
2000-08-24	155.0	147.5	155.0	150.0	3047000
2000-08-25	152.5	152.5	155.0	155.0	1503000
2000-08-28	155.0	147.5	155.0	147.5	1420000
2000-08-29	145.0	142.5	147.5	145.0	570000
2000-08-30	140.0	137.5	145.0	145.0	1670000
2000-08-31	140.0	140.0	147.5	145.0	361000
2000-09-01	145.0	145.0	147.5	145.0	965000
2000-09-04	145.0	145.0	145.0	145.0	274000
2000-09-05	145.0	145.0	147.5	147.5	211000
2000-09-06	147.5	142.5	147.5	142.5	425000
2000-09-07	140.0	140.0	142.5	142.5	75000
2000-09-08	140.0	140.0	140.0	140.0	80000
2000-09-11	137.5	132.5	140.0	132.5	484000
2000-09-12	132.5	120.0	132.5	120.0	1031000
2000-09-13	120.0	117.5	125.0	120.0	1049000
2000-09-13	120.0	117.5	125.0	120.0	
					0
					0
2000-09-18	117.5	97.5	117.5	100.0	3752000
2000-09-19	102.5	102.5	117.5	115.0	4802000
2000-09-20	112.5	107.5	115.0	107.5	517000
2000-09-21	110.0	105.0	110.0	105.0	40000
2000-09-22	100.0	100.0	102.5	102.5	641000
2000-09-25	102.5	102.5	107.5	107.5	177000
2000-09-26	102.5	102.5	107.5	107.5	287000
2000-09-27	105.0	102.5	105.0	102.5	368000
2000-09-28	102.5	102.5	107.5	105.0	247000
2000-09-29	110.0	105.0	110.0	105.0	696000
2000-10-02	105.0	105.0	110.0	107.5	457000
2000-10-03	105.0	102.5	107.5	102.5	1361000
2000-10-04	102.5	102.5	102.5	102.5	352000
2000-10-05	105.0	105.0	107.5	107.5	543000
2000-10-06	105.0	105.0	105.0	105.0	90000
2000-10-09	105.0	105.0	105.0	105.0	185000
2000-10-10	105.0	105.0	105.0	105.0	85000
2000-10-11	102.5	97.5	102.5	97.5	2389000
2000-10-12	100.0	97.5	100.0	97.5	1237000
2000-10-13	95.0	95.0	97.5	97.5	580000
2000-10-16	97.5	97.5	100.0	97.5	249000
2000-10-17	100.0	97.5	102.5	100.0	1430000
2000-10-18	100.0	97.5	102.5	97.5	2872000
2000-10-19	100.0	100.0	105.0	100.0	2472000
2000-10-20	100.0	100.0	100.0	100.0	145000
2000-10-23	100.0	97.5	102.5	97.5	2605000
2000-10-24	100.0	100.0	105.0	102.5	4679000
2000-10-26	102.5	97.5	102.5	97.5	2122000
2000-10-27	97.5	97.5	97.5	97.5	60000
2000-10-30	95.0	95.0	97.5	95.0	746000
2000-10-31	97.5	92.5	100.0	92.5	4005000
2000-11-01	95.0	90.0	95.0	92.5	2123000
2000-11-02	95.0	92.5	95.0	92.5	575000
2000-11-03	95.0	92.5	95.0	92.5	901000
2000-11-06	95.0	95.0	95.0	95.0	130000
2000-11-07	95.0	95.0	95.0	95.0	751000
2000-11-08	95.0	95.0	95.0	95.0	358000
2000-11-09	95.0	95.0	95.0	95.0	
2000-11-09	95.0	95.0	95.0	95.0	112000
					0
2000-11-13	92.5	92.5	95.0	92.5	126000
2000-11-13	92.5	92.5	95.0	92.5	
					0
2000-11-15	95.0	92.5	95.0	92.5	624000
2000-11-16	95.0	95.0	97.5	97.5	751000
2000-11-17	97.5	92.5	97.5	92.5	3724000
2000-11-20	95.0	95.0	102.5	102.5	6827000
2000-11-21	100.0	100.0	102.5	100.0	1632000
2000-11-22	100.0	100.0	102.5	100.0	1888000
2000-11-23	102.5	100.0	102.5	100.0	152000
2000-11-24	100.0	97.5	100.0	97.5	283000
2000-11-27	102.5	97.5	102.5	97.5	243000
2000-11-28	97.5	97.5	97.5	97.5	44000
2000-11-29	95.0	95.0	95.0	95.0	376000
2000-11-30	95.0	95.0	95.0	95.0	132000
2000-12-01	97.5	95.0	97.5	95.0	434000
2000-12-04	97.5	95.0	97.5	95.0	318000
2000-12-05	95.0	95.0	95.0	95.0	470000
2000-12-06	97.5	95.0	97.5	95.0	60000
2000-12-07	95.0	95.0	95.0	95.0	200000
2000-12-08	95.0	95.0	97.5	95.0	300000
2000-12-11	92.5	92.5	92.5	92.5	250000
2000-12-12	95.0	90.0	95.0	90.0	410000
2000-12-13	90.0	90.0	95.0	90.0	227000
2000-12-14	90.0	90.0	90.0	90.0	220000
2000-12-15	92.5	87.5	92.5	90.0	573000
2000-12-18	90.0	90.0	90.0	90.0	65000
2000-12-19	87.5	87.5	87.5	87.5	670000
2000-12-20	87.5	85.0	87.5	85.0	421000
2000-12-21	82.5	82.5	82.5	82.5	200000
2000-12-22	85.0	82.5	85.0	82.5	128000
2001-01-02	82.5	82.5	82.5	82.5	321000
2001-01-03	77.5	72.5	77.5	75.0	188000
2001-01-04	77.5	72.5	77.5	72.5	660000
