Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	600.0	600.0	630.0	617.5	4744999
2000-01-05	617.5	590.0	617.5	590.0	5379999
2000-01-06	600.0	592.5	600.0	600.0	3704999
2000-01-11	600.0	570.0	600.0	572.5	4899999
2000-01-12	560.0	547.5	560.0	552.5	5394999
2000-01-13	550.0	530.0	550.0	537.5	2084999
2000-01-14	532.5	505.0	545.0	545.0	13234999
2000-01-17	545.0	540.0	550.0	545.0	684999
2000-01-18	545.0	530.0	545.0	530.0	5764999
2000-01-19	520.0	500.0	522.5	520.0	6274999
2000-01-20	530.0	530.0	535.0	530.0	2089999
2000-01-21	535.0	535.0	545.0	545.0	1629999
2000-01-24	535.0	517.5	535.0	525.0	1634999
2000-01-25	520.0	507.5	522.5	515.0	5179999
2000-01-26	525.0	507.5	525.0	510.0	1809999
2000-01-27	510.0	510.0	515.0	512.5	1704999
2000-01-28	515.0	510.0	515.0	510.0	809999
2000-01-31	490.0	490.0	512.5	510.0	909999
2000-02-01	512.5	490.0	512.5	490.0	2424999
2000-02-02	490.0	490.0	490.0	490.0	974999
2000-02-03	490.0	490.0	505.0	505.0	529999
2000-02-04	510.0	510.0	535.0	530.0	1599999
2000-02-07	527.5	520.0	527.5	527.5	304999
2000-02-08	522.5	520.0	522.5	520.0	614999
2000-02-09	520.0	512.5	520.0	515.0	1129999
2000-02-10	520.0	520.0	542.5	540.0	9814999
2000-02-11	525.0	515.0	525.0	515.0	284999
2000-02-14	517.5	500.0	517.5	500.0	1204999
2000-02-15	505.0	505.0	520.0	515.0	1099999
2000-02-16	505.0	505.0	515.0	515.0	359999
2000-02-17	500.0	495.0	500.0	500.0	1594999
2000-02-18	480.0	470.0	500.0	497.5	2894999
2000-02-21	490.0	475.0	490.0	475.0	2299999
2000-02-22	472.5	452.5	472.5	460.0	1749999
2000-02-23	460.0	457.5	462.5	460.0	2699999
2000-02-24	460.0	442.5	460.0	442.5	964999
2000-02-25	445.0	445.0	450.0	450.0	444999
2000-02-28	450.0	447.5	460.0	460.0	1179999
2000-03-01	460.0	440.0	465.0	440.0	1954999
2000-03-02	430.0	422.5	430.0	430.0	1809999
2000-03-03	422.5	420.0	427.5	425.0	1039999
2000-03-06	430.0	430.0	460.0	450.0	3484999
2000-03-07	445.0	445.0	452.5	452.5	2124999
2000-03-08	440.0	440.0	510.0	500.0	11074999
2000-03-09	510.0	497.5	535.0	507.5	6204999
2000-03-10	510.0	472.5	510.0	475.0	2874999
2000-03-13	475.0	460.0	480.0	475.0	2454999
2000-03-14	475.0	430.0	477.5	437.5	20079999
2000-03-15	437.5	435.0	452.5	442.5	13334999
2000-03-17	450.0	445.0	460.0	445.0	6489999
2000-03-20	445.0	437.5	445.0	442.5	3389999
2000-03-21	442.5	437.5	442.5	442.5	949999
2000-03-22	445.0	430.0	445.0	430.0	5744999
2000-03-23	432.5	432.5	455.0	435.0	10199999
2000-03-24	440.0	437.5	445.0	440.0	4384999
2000-03-27	445.0	440.0	445.0	442.5	1849999
2000-03-28	445.0	440.0	447.5	445.0	4189999
2000-03-29	445.0	440.0	452.5	452.5	5094999
2000-03-30	450.0	442.5	450.0	442.5	1024999
2000-04-03	440.0	437.5	440.0	440.0	4374999
2000-04-05	430.0	430.0	445.0	445.0	1664999
2000-04-07	440.0	440.0	442.5	442.5	5864999
2000-04-10	442.5	440.0	445.0	445.0	2609999
2000-04-11	445.0	442.5	445.0	445.0	4049999
2000-04-12	440.0	432.5	440.0	437.5	1154999
2000-04-13	440.0	440.0	445.0	445.0	1269999
2000-04-14	440.0	425.0	440.0	432.5	1614999
2000-04-17	425.0	400.0	425.0	410.0	1509999
2000-04-18	420.0	410.0	420.0	420.0	1999999
2000-04-19	420.0	420.0	420.0	420.0	584999
2000-04-20	410.0	410.0	422.5	420.0	1324999
2000-04-24	430.0	425.0	435.0	435.0	2959999
2000-04-25	435.0	420.0	435.0	430.0	5009999
2000-04-26	420.0	412.5	422.5	415.0	2189999
2000-04-27	410.0	405.0	410.0	410.0	4084999
2000-04-28	400.0	400.0	402.5	402.5	7314999
2000-05-01	400.0	397.5	405.0	405.0	404999
2000-05-02	400.0	397.5	402.5	400.0	10839999
2000-05-03	402.5	400.0	405.0	400.0	13729999
2000-05-04	400.0	400.0	422.5	412.5	10519999
2000-05-05	420.0	415.0	465.0	465.0	30764999
2000-05-08	470.0	467.5	485.0	475.0	27994999
2000-05-09	465.0	435.0	470.0	445.0	15809999
2000-05-10	445.0	445.0	457.5	450.0	13114999
2000-05-11	435.0	425.0	445.0	440.0	10624999
2000-05-12	432.5	415.0	440.0	440.0	7534999
2000-05-15	430.0	425.0	440.0	440.0	1329999
2000-05-16	425.0	417.5	430.0	420.0	7239999
2000-05-17	427.5	422.5	440.0	440.0	13184999
2000-05-19	440.0	435.0	462.5	447.5	16659999
2000-05-22	440.0	435.0	445.0	445.0	5594999
2000-05-23	450.0	442.5	450.0	447.5	5054999
2000-05-24	440.0	440.0	447.5	447.5	4974999
2000-05-25	447.5	445.0	452.5	452.5	2889999
2000-05-26	445.0	417.5	445.0	425.0	7234999
2000-05-29	420.0	402.5	420.0	405.0	3514999
2000-05-30	400.0	400.0	410.0	410.0	6744999
2000-05-31	412.5	410.0	460.0	447.5	34804999
2000-06-02	450.0	440.0	472.5	467.5	51394999
2000-06-05	467.5	447.5	470.0	460.0	3849999
2000-06-06	445.0	435.0	450.0	442.5	4614999
2000-06-07	440.0	432.5	440.0	435.0	9714999
2000-06-08	435.0	435.0	445.0	440.0	46574999
2000-06-09	440.0	440.0	447.5	442.5	20834999
2000-06-12	442.5	442.5	465.0	460.0	17689999
2000-06-13	455.0	452.5	462.5	457.5	6869999
2000-06-14	457.5	457.5	497.5	497.5	28789999
2000-06-16	500.0	470.0	500.0	477.5	16559999
2000-06-19	477.5	460.0	480.0	467.5	6809999
2000-06-20	470.0	457.5	470.0	457.5	2164999
2000-06-21	455.0	455.0	487.5	480.0	12614999
2000-06-22	482.5	480.0	495.0	485.0	13639999
2000-06-23	480.0	475.0	490.0	482.5	9539999
2000-06-26	485.0	485.0	505.0	497.5	32544999
2000-06-27	500.0	500.0	515.0	502.5	4409999
2000-06-28	510.0	510.0	555.0	550.0	16534999
2000-06-29	560.0	550.0	575.0	560.0	17464999
2000-06-30	560.0	560.0	570.0	560.0	4209999
2000-07-03	550.0	530.0	550.0	547.5	4619999
2000-07-04	525.0	525.0	537.5	530.0	3374999
2000-07-05	532.5	532.5	540.0	540.0	849999
2000-07-06	530.0	530.0	540.0	540.0	349999
2000-07-07	530.0	520.0	530.0	520.0	1384999
2000-07-10	520.0	520.0	527.5	527.0	1174999
2000-07-11	527.0	520.0	527.5	520.0	5069999
2000-07-12	520.0	512.5	520.0	520.0	6109999
2000-07-13	520.0	520.0	520.0	520.0	959999
2000-07-14	520.0	520.0	520.0	520.0	139999
2000-07-17	530.0	522.5	530.0	522.5	99999
2000-07-18	532.5	532.5	532.5	532.5	54999
2000-07-19	545.0	545.0	590.0	580.0	12934999
2000-07-20	580.0	570.0	595.0	580.0	9884999
2000-07-21	575.0	560.0	575.0	567.5	3349999
2000-07-24	560.0	555.0	565.0	565.0	2664999
2000-07-25	550.0	550.0	550.0	550.0	449999
2000-07-26	542.5	540.0	546.0	543.0	13074999
2000-07-27	542.5	535.0	542.5	537.5	10579999
2000-07-28	540.0	540.0	547.5	540.0	1419999
2000-07-31	535.0	520.0	535.0	525.0	7794999
2000-08-01	530.0	520.0	540.0	527.5	4414999
2000-08-02	527.5	527.5	529.0	528.5	1474999
2000-08-03	540.0	540.0	557.5	550.0	2144999
2000-08-04	555.0	540.0	562.5	540.0	2869999
2000-08-07	550.0	530.0	550.0	530.0	549999
2000-08-08	532.5	532.5	540.0	540.0	1824999
2000-08-09	540.0	540.0	540.0	540.0	549999
2000-08-10	542.5	540.0	545.0	540.0	874999
2000-08-11	542.5	542.5	545.0	545.0	1434999
2000-08-14	547.5	540.0	547.5	540.0	624999
2000-08-15	542.5	542.5	547.5	547.5	424999
2000-08-16	545.0	545.0	555.0	555.0	1664999
2000-08-18	555.5	540.0	557.5	552.5	4374999
2000-08-21	550.0	550.0	555.0	555.0	1364999
2000-08-22	555.0	555.0	560.0	555.0	1374999
2000-08-23	550.0	549.5	560.0	560.0	2249999
2000-08-24	535.0	510.0	540.0	530.0	7074999
2000-08-25	530.0	520.0	533.0	524.5	4229999
2000-08-28	530.0	524.5	530.0	525.0	3454999
2000-08-29	522.0	519.0	522.0	520.0	5279999
2000-08-30	505.0	505.0	515.0	515.0	384999
2000-08-31	515.0	515.0	517.5	515.0	2194999
2000-09-01	517.5	492.5	520.0	492.5	3564999
2000-09-04	495.0	487.5	495.0	490.0	4294999
2000-09-05	480.0	480.0	497.5	490.5	2404999
2000-09-06	487.5	477.5	487.5	480.0	10719999
2000-09-07	480.0	479.0	485.0	485.0	2009999
2000-09-08	490.0	490.0	490.0	490.0	299999
2000-09-11	480.5	470.5	480.5	475.0	964999
2000-09-12	470.0	452.5	470.0	457.5	2759999
2000-09-13	455.0	440.0	455.0	442.5	2814999
2000-09-13	455.0	440.0	455.0	442.5	
					0
					0
2000-09-18	425.0	377.5	425.0	378.0	25279999
2000-09-19	378.0	375.0	425.0	425.0	33614999
2000-09-20	425.0	418.0	451.5	437.5	25759999
2000-09-21	437.5	422.5	440.0	422.5	919999
2000-09-22	422.5	405.0	422.5	407.0	2924999
2000-09-25	415.0	410.0	416.0	412.5	1854999
2000-09-26	405.0	405.0	412.0	407.5	649999
2000-09-27	415.0	415.0	427.5	420.0	864999
2000-09-28	420.0	410.0	420.0	410.0	1419999
2000-09-29	420.0	420.0	442.0	437.5	3949999
2000-10-02	440.0	440.0	469.0	465.0	10084999
2000-10-03	465.0	430.0	465.0	439.5	1139999
2000-10-04	430.0	410.0	430.0	417.5	18209999
2000-10-05	422.5	422.5	437.5	430.5	3314999
2000-10-06	420.5	420.5	434.0	432.0	1014999
2000-10-09	418.0	417.5	430.0	430.0	344999
2000-10-10	420.0	417.5	428.0	428.0	1124999
2000-10-11	428.0	420.0	428.0	420.5	1654999
2000-10-12	425.0	424.0	442.5	425.0	1994999
2000-10-13	421.0	420.0	430.0	429.5	919999
2000-10-16	440.0	422.5	440.0	424.0	629999
2000-10-17	428.5	428.5	436.0	435.0	3939999
2000-10-18	435.0	432.5	439.5	435.0	2194999
2000-10-19	432.5	432.5	450.0	450.0	3834999
2000-10-20	450.0	440.0	450.0	445.0	3019999
2000-10-23	440.0	440.0	445.0	445.0	1239999
2000-10-24	445.0	435.0	445.0	435.0	229999
2000-10-26	435.0	432.5	435.0	432.5	29999
2000-10-27	430.0	430.0	435.0	435.0	139999
2000-10-30	422.5	422.5	422.5	422.5	14999
2000-10-31	425.0	425.0	450.0	450.0	12474999
2000-11-01	460.0	460.0	470.0	470.0	11934999
2000-11-02	470.0	465.0	472.5	472.5	3829999
2000-11-03	470.0	470.0	480.0	480.0	2729999
2000-11-06	485.0	485.0	507.5	505.0	7744999
2000-11-07	505.0	500.0	510.0	505.0	4249999
2000-11-08	500.0	470.0	500.0	490.0	5459999
2000-11-09	490.0	487.5	502.5	492.5	12719999
2000-11-10	490.0	490.0	492.5	490.0	404999
2000-11-13	485.0	485.0	485.0	485.0	554999
2000-11-14	485.0	485.0	497.5	492.5	3829999
2000-11-15	495.0	465.0	495.0	470.0	5369999
2000-11-16	472.5	450.0	472.5	452.5	10939999
2000-11-17	457.5	457.5	480.0	480.0	7904999
2000-11-20	490.0	485.0	505.0	495.0	3969999
2000-11-21	490.0	485.0	490.0	485.0	159999
2000-11-22	497.5	490.0	505.0	490.0	1239999
2000-11-23	490.0	480.0	500.0	492.5	7209999
2000-11-24	497.5	492.5	500.0	497.5	309999
2000-11-27	490.0	485.0	490.0	485.0	1374999
2000-11-28	480.0	480.0	487.5	487.5	1799999
2000-11-29	487.5	487.5	487.5	487.5	74999
2000-11-30	487.5	487.5	492.5	492.5	439999
2000-12-01	492.5	492.5	500.0	495.0	2539999
2000-12-04	495.0	495.0	522.5	522.5	7934999
2000-12-05	525.0	510.0	525.0	515.0	699999
2000-12-06	515.0	495.0	515.0	495.0	3034999
2000-12-07	495.0	475.0	495.0	482.5	16274999
2000-12-08	482.5	477.5	485.0	482.5	839999
2000-12-11	482.5	467.5	482.5	470.0	9224999
2000-12-12	475.0	475.0	482.5	480.0	7229999
2000-12-13	482.5	482.5	495.0	485.0	2234999
2000-12-14	492.5	492.5	520.0	502.5	5529999
2000-12-15	510.0	500.0	510.0	505.0	2374999
2000-12-18	500.0	500.0	500.0	500.0	1129999
2000-12-19	500.0	500.0	517.5	517.5	7599999
2000-12-20	520.0	520.0	540.0	530.0	7804999
2000-12-21	530.0	515.0	530.0	525.0	7189999
2000-12-22	525.0	525.0	525.0	525.0	4129999
2001-01-02	500.0	500.0	500.0	500.0	7244999
2001-01-03	500.0	500.0	500.0	500.0	239999
2001-01-04	515.0	515.0	535.0	535.0	5064999
2001-01-05	535.0	525.0	535.0	535.0	3029999
2001-01-08	530.0	500.0	530.0	500.0	1659999
2001-01-09	510.0	500.0	510.0	500.0	1429999
2001-01-10	500.0	495.0	500.0	495.0	1419999
2001-01-11	495.0	495.0	500.0	500.0	1844999
2001-01-12	495.0	490.0	500.0	490.0	3749999
2001-01-15	492.5	490.0	492.5	490.0	5474999
2001-01-16	490.0	485.0	490.0	485.0	7494999
2001-01-17	490.0	480.0	490.0	482.5	3204999
2001-01-18	490.0	490.0	490.0	490.0	1334999
2001-01-19	490.0	487.5	492.5	487.5	5139999
2001-01-22	487.5	487.5	487.5	487.5	849999
2001-01-23	487.5	487.5	492.5	490.0	974999
2001-01-24	490.0	490.0	502.5	500.0	4449999
2001-01-25	500.0	495.0	500.0	495.0	1049999
2001-01-26	490.0	482.5	490.0	482.5	2979999
2001-01-29	480.0	477.5	482.5	482.5	989999
2001-01-30	490.0	485.0	490.0	485.0	974999
2001-01-31	485.0	485.0	500.0	497.5	7694999
2001-02-01	497.5	490.0	497.5	495.0	10334999
2001-02-02	495.0	495.0	530.0	520.0	22714999
2001-02-05	535.0	535.0	585.0	580.0	44209999
2001-02-06	545.0	545.0	580.0	565.0	7889999
2001-02-07	560.0	550.0	560.0	550.0	17454999
2001-02-08	550.0	540.0	555.0	545.0	8104999
2001-02-09	545.0	530.0	545.0	540.0	6169999
2001-02-12	540.0	535.0	550.0	540.0	4289999
2001-02-13	540.0	540.0	560.0	550.0	13924999
2001-02-14	545.0	520.0	550.0	520.0	12924999
2001-02-15	525.0	525.0	560.0	560.0	2594999
2001-02-16	560.0	520.0	560.0	530.0	3277499
2001-02-19	535.0	530.0	545.0	530.0	1084999
2001-02-20	545.0	540.0	545.0	540.0	107499
2001-02-21	545.0	545.0	555.0	545.0	932499
2001-02-22	550.0	550.0	560.0	555.0	1819999
2001-02-23	560.0	555.0	560.0	560.0	1434999
