Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	325	325	350	325	340000
2000-01-05	350	300	350	325	299500
2000-01-06	325	300	325	300	277500
2000-01-11	300	300	350	325	661500
2000-01-12	350	325	350	325	400500
2000-01-13	350	350	350	350	267500
2000-01-14	350	350	400	350	769500
2000-01-17	375	350	425	375	3442500
2000-01-18	375	325	375	350	2320000
2000-01-19	350	300	350	325	1345000
2000-01-20	325	325	325	325	14500
2000-01-21	325	325	350	325	52500
2000-01-24	325	325	325	325	404500
2000-01-25	325	325	450	425	4583000
2000-01-26	425	375	450	375	1278000
2000-01-27	375	350	375	350	205000
2000-01-28	350	350	350	350	105000
2000-01-31	375	375	375	375	247000
2000-02-01	375	350	375	350	322000
2000-02-02	350	350	350	350	47000
2000-02-03	350	350	375	375	201500
2000-02-04	400	375	400	375	155500
2000-02-07	375	375	375	375	7500
2000-02-08	375	375	450	400	3124500
2000-02-09	425	400	450	400	1854000
2000-02-10	425	400	425	425	680000
2000-02-11	425	400	425	400	78000
2000-02-14	400	400	425	400	225000
2000-02-15	425	400	450	400	1287000
2000-02-16	400	400	400	400	180500
2000-02-17	400	375	400	375	80000
2000-02-18	375	375	400	375	167000
2000-02-21	400	400	400	400	133500
2000-02-22	400	400	400	400	27500
2000-02-23	400	400	400	400	76500
2000-02-24	400	400	425	425	1339500
2000-02-25	425	400	425	400	371000
2000-02-28	400	400	425	425	241000
2000-03-01	400	375	400	400	180000
2000-03-02	400	375	400	375	544000
2000-03-03	375	375	400	400	202000
2000-03-06	400	400	400	400	450000
2000-03-07	375	375	375	375	109000
2000-03-08	350	350	350	350	159000
2000-03-09	375	375	375	375	380000
2000-03-10	375	350	375	350	85000
2000-03-13	350	350	350	350	12500
2000-03-14	350	350	350	350	45000
2000-03-15	350	350	350	350	10000
2000-03-17	350	325	350	325	190000
2000-03-20	325	325	325	325	12500
2000-03-21	300	300	300	300	5000
2000-03-22	325	325	325	325	62500
2000-03-23	350	350	350	350	49500
2000-03-24	325	325	350	325	71000
2000-03-24	325	325	350	325	
					0
					0
					0
					0
2000-04-03	300	300	300	300	2500
2000-04-05	325	325	325	325	17500
2000-04-07	300	300	300	300	20500
2000-04-10	300	300	300	300	1000
2000-04-11	300	300	300	300	54500
2000-04-11	300	300	300	300	
					0
2000-04-13	325	325	325	325	10000
2000-04-14	300	300	300	300	9500
2000-04-14	300	300	300	300	
					0
2000-04-18	275	250	275	250	45500
2000-04-19	250	250	250	250	1000
2000-04-20	250	250	250	250	29000
2000-04-24	250	250	250	250	500
2000-04-25	225	150	225	175	214500
2000-04-26	150	150	150	150	578500
2000-04-27	125	125	150	150	160000
2000-04-28	150	150	225	200	642500
2000-05-01	200	200	300	300	1220000
2000-05-02	325	325	375	325	808500
2000-05-03	325	275	325	275	31500
2000-05-04	275	275	275	275	28500
2000-05-05	275	275	275	275	137000
2000-05-05	275	275	275	275	
					0
					0
2000-05-10	275	250	275	250	115000
2000-05-10	275	250	275	250	
					0
					0
					0
					0
					0
					0
					0
2000-05-23	200	200	200	200	6000
2000-05-24	175	175	175	175	
2000-05-24	175	175	175	175	9000
					0
2000-05-26	150	150	200	200	24500
2000-05-29	150	150	150	150	
2000-05-29	150	150	150	150	5000
					0
					0
					0
2000-06-05	150	150	150	150	5000
2000-06-06	150	150	150	150	
2000-06-06	150	150	150	150	125500
					0
2000-06-08	175	175	175	175	45500
2000-06-09	200	175	200	175	150500
2000-06-12	175	175	175	175	10000
2000-06-13	200	200	250	225	363500
2000-06-14	200	200	200	200	246500
2000-06-16	200	200	200	200	17000
2000-06-19	200	200	250	225	177500
2000-06-20	200	175	200	175	177500
2000-06-21	200	200	200	200	15000
2000-06-22	225	225	225	225	24000
2000-06-23	200	200	250	225	242500
2000-06-26	225	225	325	325	958000
2000-06-27	325	300	350	325	463000
2000-06-28	300	250	300	250	690000
2000-06-29	250	250	250	250	8500
2000-06-30	250	250	250	250	80000
2000-07-03	225	225	225	225	5000
2000-07-03	225	225	225	225	
					0
					0
					0
					0
					0
					0
					0
					0
2000-07-14	270	270	270	270	500
2000-07-14	270	270	270	270	
					0
					0
2000-07-19	205	205	255	255	5500
2000-07-20	220	220	225	225	39000
2000-07-21	220	220	245	240	188500
2000-07-24	245	235	245	235	
2000-07-24	245	235	245	235	44000
					0
2000-07-26	185	185	185	185	7000
2000-07-27	235	235	235	235	5000
2000-07-28	245	245	265	265	133500
2000-07-31	260	260	265	260	22500
2000-07-31	260	260	265	260	
					0
2000-08-02	240	225	240	225	21000
2000-08-03	225	225	225	225	2500
2000-08-04	245	245	245	245	5000
2000-08-04	245	245	245	245	
					0
2000-08-08	260	260	260	260	500
2000-08-09	275	260	275	260	
2000-08-09	275	260	275	260	30500
					0
2000-08-11	255	240	255	240	16500
2000-08-14	240	230	240	230	23500
2000-08-15	230	230	230	230	10000
2000-08-16	230	225	230	230	14000
2000-08-18	215	215	215	215	5000
2000-08-21	230	230	230	230	5000
2000-08-21	230	230	230	230	
					0
					0
2000-08-24	215	215	215	215	12500
2000-08-25	190	190	220	220	7000
2000-08-25	190	190	220	220	
					0
2000-08-29	200	200	200	200	17000
2000-08-30	205	205	205	205	12000
2000-08-30	205	205	205	205	
					0
					0
2000-09-04	205	205	285	285	
2000-09-04	205	205	285	285	233500
					0
					0
2000-09-07	300	295	370	370	2421500
2000-09-08	375	305	420	305	9862000
2000-09-11	300	275	320	275	4477000
2000-09-12	275	265	330	315	5190000
2000-09-13	320	305	380	355	
2000-09-13	320	305	380	355	4353500
					0
					0
2000-09-18	350	300	350	350	1168500
2000-09-19	350	350	405	400	2541500
2000-09-20	400	360	405	360	506000
2000-09-21	350	350	370	355	1505000
2000-09-22	365	330	365	330	279000
2000-09-25	340	330	365	330	1022000
2000-09-26	340	340	390	390	1576000
2000-09-27	390	375	405	375	400500
2000-09-28	360	350	400	360	532000
2000-09-29	375	350	380	350	118000
2000-10-02	355	355	375	375	1794000
2000-10-03	375	365	380	380	3891000
2000-10-04	380	345	380	360	4842000
2000-10-05	365	355	375	370	3627500
2000-10-06	360	360	380	370	4315500
2000-10-09	360	345	360	345	509500
2000-10-10	345	345	355	345	401000
2000-10-11	350	350	360	360	773500
2000-10-12	360	350	375	350	1200000
2000-10-13	350	345	360	360	93000
2000-10-16	370	360	370	360	968000
2000-10-17	365	355	375	355	6481500
2000-10-18	360	350	370	350	2420500
2000-10-19	350	335	360	345	5442500
2000-10-20	345	335	355	345	2459000
2000-10-23	335	330	350	335	979000
2000-10-24	335	335	350	345	1134500
2000-10-26	335	330	340	330	207500
