Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	181.25	175.0	181.25	175.0	106000
2000-01-05	175.0	175.0	175.0	175.0	180000
2000-01-06	175.0	175.0	181.25	181.25	160000
2000-01-11	181.25	175.0	181.25	175.0	90000
2000-01-12	168.75	168.75	175.0	175.0	50000
2000-01-13	175.0	175.0	181.25	175.0	460000
2000-01-14	175.0	175.0	175.0	175.0	4000
2000-01-17	175.0	175.0	175.0	175.0	540000
2000-01-18	175.0	175.0	175.0	175.0	440000
2000-01-19	168.75	150.0	168.75	150.0	680000
2000-01-20	156.25	150.0	156.25	150.0	230000
2000-01-20	156.25	150.0	156.25	150.0	
					0
2000-01-24	150.0	150.0	150.0	150.0	30000
2000-01-25	150.0	131.25	150.0	150.0	142000
2000-01-25	150.0	131.25	150.0	150.0	
					0
2000-01-27	150.0	143.75	150.0	143.75	100000
2000-01-28	150.0	150.0	150.0	150.0	20000
2000-01-28	150.0	150.0	150.0	150.0	
					0
2000-02-01	150.0	150.0	150.0	150.0	250000
2000-02-02	156.25	156.25	156.25	156.25	190000
2000-02-03	162.5	162.5	162.5	162.5	
2000-02-03	162.5	162.5	162.5	162.5	604000
					0
2000-02-07	162.5	162.5	162.5	162.5	44000
2000-02-08	162.5	162.5	162.5	162.5	100000
2000-02-09	162.5	156.25	162.5	156.25	312000
2000-02-10	156.25	156.25	156.25	156.25	
2000-02-10	156.25	156.25	156.25	156.25	10000
					0
					0
					0
2000-02-16	150.0	150.0	150.0	150.0	100000
2000-02-17	150.0	150.0	150.0	150.0	160000
2000-02-18	150.0	150.0	150.0	150.0	108000
2000-02-21	150.0	150.0	150.0	150.0	80000
2000-02-22	150.0	137.5	150.0	143.75	330000
2000-02-23	143.75	143.75	143.75	143.75	4000
2000-02-24	150.0	143.75	150.0	143.75	230000
2000-02-24	150.0	143.75	150.0	143.75	
					0
2000-02-28	150.0	150.0	150.0	150.0	10000
2000-03-01	143.75	143.75	150.0	150.0	74000
2000-03-02	143.75	125.0	143.75	125.0	90000
2000-03-02	143.75	125.0	143.75	125.0	
					0
2000-03-06	143.75	143.75	143.75	143.75	892000
2000-03-07	131.25	125.0	131.25	125.0	
2000-03-07	131.25	125.0	131.25	125.0	30000
					0
					0
