Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	55.0	55.0	57.5	57.5	60629999
2000-01-05	57.5	55.0	57.5	55.0	12699999
2000-01-06	55.0	55.0	61.25	58.75	84199999
2000-01-11	61.25	58.75	63.75	60.0	92829999
2000-01-12	60.0	60.0	65.0	62.5	57509999
2000-01-13	63.75	62.5	65.0	63.75	44379999
2000-01-14	63.75	60.0	63.75	60.0	8629999
2000-01-17	62.5	58.75	62.5	60.0	6599999
2000-01-18	57.5	56.25	58.75	57.5	5749999
2000-01-19	56.25	53.75	56.25	55.0	10229999
2000-01-20	57.5	55.0	57.5	55.0	11089999
2000-01-21	56.25	55.0	56.25	55.0	939999
2000-01-24	56.25	55.0	56.25	55.0	949999
2000-01-25	56.25	55.0	56.25	56.25	5589999
2000-01-26	56.25	56.25	56.25	56.25	909999
2000-01-27	57.5	55.0	58.75	56.25	9019999
2000-01-28	56.25	55.0	56.25	55.0	1019999
2000-01-31	53.75	53.75	55.0	55.0	79999
2000-02-01	55.0	52.5	55.0	52.5	2059999
2000-02-02	52.5	50.0	52.5	50.0	2149999
2000-02-03	50.0	50.0	51.25	51.25	1499999
2000-02-04	51.25	51.25	52.5	52.5	4099999
2000-02-07	52.5	52.5	56.25	52.5	5439999
2000-02-08	53.75	52.5	53.75	52.5	2909999
2000-02-09	53.75	53.75	55.0	55.0	5429999
2000-02-10	55.0	55.0	56.25	55.0	5249999
2000-02-11	55.0	53.75	55.0	53.75	2229999
2000-02-14	55.0	55.0	56.25	55.0	2589999
2000-02-15	56.25	55.0	56.25	55.0	959999
2000-02-16	56.25	55.0	56.25	55.0	4839999
2000-02-17	53.75	52.5	55.0	52.5	2379999
2000-02-18	52.5	52.5	53.75	53.75	2699999
2000-02-21	53.75	53.75	53.75	53.75	699999
2000-02-22	53.75	52.5	53.75	52.5	2149999
2000-02-23	52.5	52.5	53.75	53.75	729999
2000-02-24	51.25	51.25	52.5	51.25	2499999
2000-02-25	52.5	52.5	52.5	52.5	699999
2000-02-28	52.5	52.5	53.75	53.75	3039999
2000-03-01	53.75	52.5	53.75	52.5	699999
2000-03-02	51.25	51.25	51.25	51.25	1829999
2000-03-03	50.0	50.0	51.25	50.0	2379999
2000-03-06	51.25	50.0	51.25	50.0	1899999
2000-03-07	51.25	51.25	51.25	51.25	4079999
2000-03-08	51.25	51.25	51.25	51.25	2249999
2000-03-09	52.5	51.25	52.5	52.5	2309999
2000-03-10	53.75	52.5	53.75	52.5	259999
2000-03-13	52.5	52.5	52.5	52.5	2069999
2000-03-14	52.5	52.5	52.5	52.5	319999
2000-03-15	52.5	52.5	52.5	52.5	929999
2000-03-17	52.5	52.5	53.75	53.75	1879999
2000-03-20	55.0	53.75	55.0	53.75	1249999
2000-03-21	55.0	55.0	60.0	58.75	43219999
2000-03-22	58.75	58.75	62.5	61.25	130349999
2000-03-23	62.5	61.25	65.0	63.75	178489999
2000-03-24	65.0	58.75	66.25	60.0	172109999
2000-03-27	62.5	61.25	66.25	62.5	356849999
2000-03-28	61.25	58.75	62.5	61.25	113019999
2000-03-29	60.0	58.75	61.25	60.0	26609999
2000-03-30	61.25	60.0	61.25	60.0	29349999
2000-04-03	60.0	58.75	61.25	58.75	24459999
2000-04-05	58.75	57.5	60.0	58.75	51009999
2000-04-07	60.0	60.0	61.25	60.0	20429999
2000-04-10	60.0	60.0	60.0	60.0	5309999
2000-04-11	60.0	60.0	61.25	61.25	1979999
2000-04-12	60.0	60.0	65.0	63.75	158419999
2000-04-13	62.5	61.25	63.75	61.25	92239999
2000-04-14	61.25	61.25	62.5	61.25	12579999
2000-04-17	60.0	58.75	61.25	60.0	67959999
2000-04-18	61.25	60.0	61.25	60.0	15669999
2000-04-19	61.25	61.25	61.25	61.25	8419999
2000-04-20	61.25	60.0	61.25	61.25	25889999
2000-04-24	61.25	61.25	61.25	61.25	609999
2000-04-25	61.25	61.25	61.25	61.25	7149999
2000-04-26	61.25	61.25	66.25	66.25	103489999
2000-04-27	65.0	63.75	65.0	65.0	15879999
2000-04-28	63.75	63.75	65.0	65.0	24389999
2000-05-01	63.75	63.75	65.0	63.75	7369999
2000-05-02	63.75	63.75	65.0	63.75	17079999
2000-05-03	63.75	62.5	63.75	63.75	5719999
2000-05-04	65.0	62.5	66.25	63.75	57339999
2000-05-05	63.75	62.5	63.75	63.75	24359999
2000-05-08	63.75	62.5	65.0	63.75	4339999
2000-05-09	62.5	62.5	62.5	62.5	25999999
2000-05-10	62.5	61.25	63.75	62.5	4829999
2000-05-11	61.25	58.75	61.25	58.75	29249999
