Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	171.902959135	171.902959135	171.902959135	171.902959135	1697178
2000-01-05	171.902959135	157.577712541	171.902959135	171.902959135	4497304
2000-01-06	171.902959135	171.902959135	171.902959135	171.902959135	7692712
2000-01-11	171.902959135	171.902959135	214.878698919	200.553452325	69433359
2000-01-12	200.553452325	200.553452325	214.878698919	200.553452325	16675978
2000-01-13	200.553452325	186.22820573	214.878698919	200.553452325	10709239
2000-01-14	200.553452325	186.22820573	200.553452325	200.553452325	9259875
2000-01-17	200.553452325	186.22820573	200.553452325	186.22820573	11416033
2000-01-18	186.22820573	186.22820573	200.553452325	200.553452325	13027698
2000-01-19	186.22820573	171.902959135	186.22820573	186.22820573	2175355
2000-01-20	186.22820573	186.22820573	200.553452325	186.22820573	3718958
2000-01-21	186.22820573	186.22820573	186.22820573	186.22820573	4540934
2000-01-24	186.22820573	171.902959135	186.22820573	186.22820573	4281776
2000-01-25	186.22820573	171.902959135	186.22820573	186.22820573	877820
2000-01-26	186.22820573	171.902959135	186.22820573	186.22820573	1191078
2000-01-27	186.22820573	171.902959135	186.22820573	171.902959135	1379557
2000-01-28	171.902959135	171.902959135	186.22820573	171.902959135	1374321
2000-01-31	171.902959135	171.902959135	171.902959135	171.902959135	567180
2000-02-01	186.22820573	171.902959135	186.22820573	186.22820573	671018
2000-02-02	186.22820573	171.902959135	186.22820573	171.902959135	3694526
2000-02-03	171.902959135	171.902959135	186.22820573	171.902959135	920577
2000-02-04	171.902959135	171.902959135	186.22820573	171.902959135	917087
2000-02-07	186.22820573	171.902959135	186.22820573	171.902959135	1503464
2000-02-08	171.902959135	171.902959135	171.902959135	171.902959135	458107
2000-02-09	186.22820573	171.902959135	186.22820573	171.902959135	1189333
2000-02-10	171.902959135	171.902959135	186.22820573	171.902959135	1586360
2000-02-11	171.902959135	171.902959135	186.22820573	186.22820573	223381
2000-02-14	171.902959135	171.902959135	186.22820573	171.902959135	5161342
2000-02-15	171.902959135	171.902959135	186.22820573	171.902959135	8902115
2000-02-16	186.22820573	171.902959135	186.22820573	171.902959135	1217256
2000-02-17	171.902959135	171.902959135	171.902959135	171.902959135	7793932
2000-02-18	171.902959135	171.902959135	171.902959135	171.902959135	2743408
2000-02-21	171.902959135	171.902959135	171.902959135	171.902959135	1655294
2000-02-22	171.902959135	171.902959135	171.902959135	171.902959135	1395263
2000-02-23	171.902959135	171.902959135	171.902959135	171.902959135	1238198
2000-02-24	171.902959135	157.577712541	171.902959135	157.577712541	185860
2000-02-25	157.577712541	157.577712541	171.902959135	157.577712541	125652
2000-02-28	157.577712541	157.577712541	157.577712541	157.577712541	344671
2000-03-01	157.577712541	157.577712541	157.577712541	157.577712541	2395246
2000-03-02	157.577712541	157.577712541	157.577712541	157.577712541	2717230
2000-03-03	143.252465946	143.252465946	143.252465946	143.252465946	436292
2000-03-06	157.577712541	157.577712541	171.902959135	157.577712541	1155302
2000-03-07	157.577712541	157.577712541	157.577712541	157.577712541	410115
2000-03-08	157.577712541	157.577712541	157.577712541	157.577712541	413605
2000-03-09	157.577712541	157.577712541	157.577712541	157.577712541	26177
2000-03-10	171.902959135	157.577712541	171.902959135	157.577712541	183242
2000-03-13	171.902959135	157.577712541	171.902959135	157.577712541	599466
2000-03-14	157.577712541	157.577712541	157.577712541	157.577712541	1748660
2000-03-15	157.577712541	157.577712541	157.577712541	157.577712541	732971
2000-03-17	157.577712541	157.577712541	157.577712541	157.577712541	1287063
2000-03-20	157.577712541	157.577712541	157.577712541	157.577712541	213783
2000-03-21	157.577712541	143.252465946	157.577712541	157.577712541	429311
2000-03-22	157.577712541	157.577712541	157.577712541	157.577712541	915342
2000-03-23	157.577712541	157.577712541	157.577712541	157.577712541	418840
2000-03-24	157.577712541	157.577712541	157.577712541	157.577712541	174517
2000-03-27	157.577712541	143.252465946	157.577712541	157.577712541	22687
2000-03-27	157.577712541	143.252465946	157.577712541	157.577712541	
					0
2000-03-29	157.577712541	143.252465946	157.577712541	157.577712541	150957
2000-03-30	157.577712541	143.252465946	157.577712541	143.252465946	674508
2000-04-03	143.252465946	143.252465946	157.577712541	157.577712541	105582
2000-04-05	157.577712541	143.252465946	157.577712541	143.252465946	193713
