Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	111.88035594	108.683774342	111.88035594	111.88035594	13494884
2000-01-05	111.88035594	108.683774342	111.88035594	108.683774342	3910427
2000-01-06	108.683774342	105.487192744	108.683774342	105.487192744	2217212
2000-01-11	108.683774342	108.683774342	111.88035594	111.88035594	8747625
2000-01-12	108.683774342	108.683774342	108.683774342	108.683774342	4250634
2000-01-13	108.683774342	105.487192744	111.88035594	105.487192744	5279076
2000-01-14	108.683774342	105.487192744	108.683774342	105.487192744	3812666
2000-01-17	108.683774342	105.487192744	108.683774342	108.683774342	4285828
2000-01-18	105.487192744	102.290611145	105.487192744	102.290611145	1384291
2000-01-19	99.094029547	95.897447949	99.094029547	99.094029547	4633856
2000-01-20	102.290611145	99.094029547	105.487192744	105.487192744	3132252
2000-01-21	102.290611145	102.290611145	102.290611145	102.290611145	441878
2000-01-24	102.290611145	99.094029547	102.290611145	99.094029547	872025
2000-01-25	99.094029547	99.094029547	99.094029547	99.094029547	5193047
2000-01-26	102.290611145	99.094029547	102.290611145	99.094029547	2408823
2000-01-27	99.094029547	99.094029547	99.094029547	99.094029547	1466410
2000-01-28	99.094029547	95.897447949	99.094029547	95.897447949	293282
2000-01-31	89.504284752	89.504284752	92.70086635	92.70086635	5083555
2000-02-01	92.70086635	89.504284752	92.70086635	89.504284752	9666576
2000-02-02	89.504284752	86.307703154	92.70086635	89.504284752	4156784
2000-02-03	89.504284752	89.504284752	92.70086635	92.70086635	215073
2000-02-04	92.70086635	92.70086635	95.897447949	92.70086635	3448996
2000-02-07	92.70086635	92.70086635	92.70086635	92.70086635	2154645
2000-02-08	92.70086635	89.504284752	92.70086635	89.504284752	3480280
2000-02-09	92.70086635	89.504284752	92.70086635	92.70086635	4794183
2000-02-10	92.70086635	92.70086635	95.897447949	95.897447949	9932485
2000-02-11	95.897447949	92.70086635	95.897447949	92.70086635	989338
2000-02-14	92.70086635	92.70086635	92.70086635	92.70086635	2228943
2000-02-15	92.70086635	92.70086635	92.70086635	92.70086635	840741
2000-02-16	92.70086635	89.504284752	92.70086635	89.504284752	1098830
2000-02-17	89.504284752	86.307703154	89.504284752	89.504284752	3757920
2000-02-18	89.504284752	89.504284752	92.70086635	89.504284752	398863
2000-02-21	89.504284752	89.504284752	89.504284752	89.504284752	829010
2000-02-22	89.504284752	89.504284752	89.504284752	89.504284752	1134023
2000-02-23	89.504284752	89.504284752	89.504284752	89.504284752	1740140
2000-02-24	86.307703154	83.111121556	86.307703154	86.307703154	3773562
2000-02-25	86.307703154	83.111121556	86.307703154	83.111121556	703876
2000-02-28	86.307703154	86.307703154	86.307703154	86.307703154	175969
2000-03-01	86.307703154	83.111121556	86.307703154	83.111121556	1759692
2000-03-02	79.914539957	79.914539957	79.914539957	79.914539957	375401
2000-03-03	76.717958359	76.717958359	79.914539957	79.914539957	1251336
2000-03-06	83.111121556	83.111121556	83.111121556	83.111121556	2436196
2000-03-07	83.111121556	83.111121556	83.111121556	83.111121556	2150735
2000-03-08	83.111121556	83.111121556	89.504284752	89.504284752	9228608
2000-03-09	89.504284752	86.307703154	92.70086635	86.307703154	4238903
2000-03-10	86.307703154	86.307703154	86.307703154	86.307703154	2584792
2000-03-13	86.307703154	86.307703154	86.307703154	86.307703154	1505514
2000-03-14	86.307703154	86.307703154	86.307703154	86.307703154	4477439
2000-03-15	86.307703154	86.307703154	86.307703154	86.307703154	1290441
2000-03-17	89.504284752	86.307703154	89.504284752	86.307703154	375401
2000-03-20	86.307703154	86.307703154	86.307703154	86.307703154	508355
2000-03-21	86.307703154	83.111121556	86.307703154	86.307703154	981517
2000-03-22	86.307703154	86.307703154	86.307703154	86.307703154	39104
2000-03-23	86.307703154	86.307703154	86.307703154	86.307703154	2228943
2000-03-24	86.307703154	86.307703154	86.307703154	86.307703154	1001069
2000-03-27	86.307703154	86.307703154	86.307703154	86.307703154	868114
2000-03-28	86.307703154	86.307703154	86.307703154	86.307703154	1368649
2000-03-29	86.307703154	86.307703154	86.307703154	86.307703154	1798796
2000-03-30	86.307703154	83.111121556	86.307703154	86.307703154	1544618
2000-03-30	86.307703154	83.111121556	86.307703154	86.307703154	
					0
2000-04-05	83.111121556	83.111121556	83.111121556	83.111121556	348028
2000-04-07	83.111121556	83.111121556	83.111121556	83.111121556	105581
2000-04-10	83.111121556	83.111121556	83.111121556	83.111121556	488803
2000-04-11	83.111121556	83.111121556	83.111121556	83.111121556	410594
2000-04-12	83.111121556	83.111121556	83.111121556	83.111121556	6491309
2000-04-13	86.307703154	83.111121556	86.307703154	86.307703154	649130
2000-04-14	86.307703154	83.111121556	86.307703154	83.111121556	1235695
