Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	595.0	590.0	600.0	595.0	3494999
2000-01-05	575.0	545.0	575.0	560.0	5149999
2000-01-06	560.0	547.5	560.0	550.0	5199999
2000-01-11	550.0	520.0	560.0	522.5	13239999
2000-01-12	520.0	490.0	520.0	495.0	11599999
2000-01-13	492.5	492.5	520.0	512.5	6744999
2000-01-14	512.5	502.5	515.0	515.0	8714999
2000-01-17	515.0	507.5	515.0	510.0	2939999
2000-01-18	510.0	497.5	510.0	510.0	4569999
2000-01-19	500.0	480.0	500.0	500.0	3969999
2000-01-20	490.0	475.0	497.5	485.0	17669999
2000-01-21	485.0	470.0	485.0	482.5	2979999
2000-01-24	480.0	475.0	490.0	490.0	1024999
2000-01-25	477.5	465.0	477.5	472.5	1809999
2000-01-26	472.5	467.5	475.0	475.0	804999
2000-01-27	460.0	447.5	465.0	452.5	6104999
2000-01-28	447.5	425.0	450.0	435.0	3924999
2000-01-31	422.5	420.0	435.0	435.0	2634999
2000-02-01	435.0	400.0	435.0	417.5	1379999
2000-02-02	417.5	390.0	420.0	417.5	10184999
2000-02-03	410.0	407.5	440.0	435.0	6184999
2000-02-04	450.0	450.0	490.0	472.5	8274999
2000-02-07	480.0	467.5	485.0	470.0	5659999
2000-02-08	465.0	460.0	467.5	465.0	7029999
2000-02-09	465.0	445.0	465.0	450.0	4564999
2000-02-10	445.0	402.5	445.0	430.0	15204999
2000-02-11	430.0	397.5	430.0	402.5	28499999
2000-02-14	402.5	395.0	405.0	400.0	21044999
2000-02-15	410.0	410.0	437.5	422.5	14409999
2000-02-16	415.0	405.0	417.5	410.0	9909999
2000-02-17	412.5	390.0	412.5	397.5	20329999
2000-02-18	395.0	370.0	395.0	395.0	9629999
2000-02-21	395.0	385.0	395.0	392.5	7649999
2000-02-22	392.5	370.0	392.5	380.0	8214999
2000-02-23	377.5	365.0	377.5	367.5	3304999
2000-02-24	370.0	350.0	370.0	360.0	7299999
2000-02-25	360.0	345.0	362.5	357.5	8089999
2000-02-28	360.0	342.5	360.0	360.0	2914999
2000-03-01	365.0	317.5	365.0	320.0	20509999
2000-03-02	320.0	297.5	320.0	300.0	10669999
2000-03-03	305.0	295.0	327.5	320.0	29949999
2000-03-06	325.0	320.0	345.0	335.0	17529999
2000-03-07	337.5	322.5	337.5	335.0	7289999
2000-03-08	320.0	315.0	345.0	342.5	20774999
2000-03-09	345.0	345.0	387.5	380.0	40309999
2000-03-10	390.0	382.5	392.5	387.5	11759999
2000-03-13	387.5	370.0	390.0	385.0	4129999
2000-03-14	380.0	367.5	380.0	375.0	2089999
2000-03-15	375.0	365.0	380.0	375.0	3344999
2000-03-17	385.0	375.0	385.0	377.5	7619999
2000-03-20	377.5	372.5	377.5	377.5	1744999
2000-03-21	372.5	367.5	377.5	377.5	2634999
