Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	422.604000737	419.585400732	431.659800753	427.131900745	5822235
2000-01-05	410.529600716	409.020300714	419.585400732	418.076100729	11868084
2000-01-06	419.585400732	416.566800727	428.641200748	422.604000737	12298747
2000-01-11	424.11330074	424.11330074	519.199200906	452.79000079	40913005
2000-01-12	452.79000079	439.206300766	476.938800832	455.808600795	28456900
2000-01-13	455.808600795	416.566800727	461.845800806	437.697000764	10186841
2000-01-14	437.697000764	416.566800727	437.697000764	436.187700761	5358444
2000-01-17	439.206300766	425.622600743	452.79000079	434.678400758	3155436
2000-01-18	434.678400758	416.566800727	434.678400758	422.604000737	7155635
2000-01-19	407.511000711	398.455200695	412.038900719	410.529600716	6658715
2000-01-20	428.641200748	419.585400732	437.697000764	437.697000764	6153514
2000-01-21	434.678400758	416.566800727	434.678400758	434.678400758	3991916
2000-01-24	434.678400758	418.076100729	434.678400758	421.094700735	3519843
2000-01-25	413.548200722	410.529600716	419.585400732	419.585400732	5880209
2000-01-26	422.604000737	410.529600716	422.604000737	419.585400732	2501159
2000-01-27	418.076100729	416.566800727	427.131900745	421.094700735	6252898
2000-01-28	416.566800727	410.529600716	416.566800727	413.548200722	1764062
2000-01-31	407.511000711	401.473800701	416.566800727	416.566800727	3478433
2000-02-01	410.529600716	395.43660069	410.529600716	410.529600716	5921619
2000-02-02	407.511000711	392.418000685	407.511000711	398.455200695	3461869
2000-02-03	389.399400679	386.380800674	401.473800701	393.927300687	8870005
2000-02-04	398.455200695	390.908700682	404.492400706	404.492400706	4165838
2000-02-07	410.529600716	398.455200695	410.529600716	398.455200695	3263102
2000-02-08	410.529600716	404.492400706	419.585400732	413.548200722	6054131
2000-02-09	407.511000711	407.511000711	416.566800727	416.566800727	1490757
2000-02-10	416.566800727	416.566800727	434.678400758	428.641200748	8166037
2000-02-11	425.622600743	419.585400732	428.641200748	428.641200748	4555091
2000-02-14	422.604000737	422.604000737	428.641200748	428.641200748	1424501
2000-02-15	416.566800727	416.566800727	425.622600743	425.622600743	2426621
2000-02-16	422.604000737	416.566800727	425.622600743	425.622600743	3470151
2000-02-17	419.585400732	409.020300714	419.585400732	416.566800727	3147154
2000-02-18	392.418000685	392.418000685	422.604000737	422.604000737	2964950
2000-02-21	413.548200722	410.529600716	416.566800727	416.566800727	463791
2000-02-22	406.001700708	398.455200695	406.001700708	402.983100703	2774464
2000-02-23	404.492400706	395.43660069	404.492400706	398.455200695	1432783
2000-02-24	398.455200695	386.380800674	399.964500698	395.43660069	5598621
2000-02-25	383.362200669	380.343600664	395.43660069	395.43660069	5648313
2000-02-28	393.927300687	387.890100677	404.492400706	392.418000685	4811833
2000-03-01	395.43660069	378.834300661	395.43660069	381.852900666	2840720
2000-03-02	372.79710065	344.1204006	372.79710065	353.176200616	2608825
2000-03-03	332.046000579	316.953000553	362.232000632	353.176200616	6625588
2000-03-06	356.194800621	356.194800621	368.269200643	368.269200643	3345921
2000-03-07	360.722700629	360.722700629	377.325000658	377.325000658	1101504
2000-03-08	362.232000632	362.232000632	377.325000658	377.325000658	2459749
2000-03-09	380.343600664	380.343600664	401.473800701	399.964500698	9888690
2000-03-10	416.566800727	401.473800701	416.566800727	412.038900719	2898694
2000-03-13	412.038900719	392.418000685	413.548200722	398.455200695	5375008
2000-03-14	398.455200695	398.455200695	428.641200748	416.566800727	13698403
2000-03-15	415.057500724	412.038900719	419.585400732	416.566800727	11420857
2000-03-17	422.604000737	419.585400732	451.280700787	451.280700787	52582322
2000-03-20	452.79000079	446.75280078	493.541100861	473.920200827	82587954
2000-03-21	481.46670084	455.808600795	482.976000843	460.336500803	30121579
2000-03-22	464.864400811	457.317900798	473.920200827	460.336500803	8820314
2000-03-23	458.827200801	457.317900798	469.392300819	463.355100808	10915656
2000-03-24	470.901600822	448.262100782	470.901600822	458.827200801	22419333
2000-03-27	458.827200801	446.75280078	458.827200801	454.299300793	5317034
2000-03-28	449.771400785	445.243500777	452.79000079	452.79000079	3155436
2000-03-29	451.280700787	446.75280078	454.299300793	454.299300793	2849002
2000-03-30	454.299300793	454.299300793	464.864400811	460.336500803	9176439
2000-04-03	457.317900798	446.75280078	457.317900798	449.771400785	5797389
2000-04-05	449.771400785	431.659800753	449.771400785	440.715600769	7776783
2000-04-07	449.771400785	442.224900772	457.317900798	455.808600795	12033724
2000-04-10	454.299300793	433.169100756	454.299300793	446.75280078	10095739
2000-04-11	440.715600769	434.678400758	440.715600769	440.715600769	2633671
2000-04-12	439.206300766	434.678400758	443.734200774	443.734200774	1300271
2000-04-13	442.224900772	436.187700761	442.224900772	440.715600769	1507321
2000-04-14	440.715600769	428.641200748	440.715600769	434.678400758	3279666
2000-04-17	422.604000737	401.473800701	422.604000737	409.020300714	5880209
2000-04-18	412.038900719	398.455200695	412.038900719	404.492400706	2227853
2000-04-19	401.473800701	389.399400679	401.473800701	395.43660069	4348042
2000-04-20	386.380800674	380.343600664	386.380800674	386.380800674	5225932
2000-04-24	386.380800674	374.306400653	392.418000685	381.852900666	3909096
2000-04-25	374.306400653	362.232000632	377.325000658	374.306400653	3627509
2000-04-26	363.741300635	356.194800621	383.362200669	383.362200669	2128470
2000-04-27	377.325000658	377.325000658	395.43660069	395.43660069	1300271
2000-04-28	395.43660069	392.418000685	396.945900693	395.43660069	670840
2000-05-01	392.418000685	386.380800674	395.43660069	395.43660069	1275425
2000-05-02	396.945900693	395.43660069	402.983100703	399.964500698	1813754
2000-05-03	402.983100703	401.473800701	416.566800727	416.566800727	3958788
2000-05-04	416.566800727	410.529600716	421.094700735	416.566800727	2252699
2000-05-05	421.094700735	421.094700735	443.734200774	431.659800753	6302590
2000-05-08	437.697000764	428.641200748	440.715600769	434.678400758	3917378
2000-05-09	425.622600743	425.622600743	433.169100756	433.169100756	1159477
2000-05-10	428.641200748	425.622600743	433.169100756	433.169100756	2923540
2000-05-11	425.622600743	415.057500724	425.622600743	416.566800727	4579937
2000-05-12	413.548200722	398.455200695	421.094700735	415.057500724	2203008
2000-05-15	416.566800727	410.529600716	416.566800727	410.529600716	687404
2000-05-16	407.511000711	380.343600664	407.511000711	392.418000685	4646193
2000-05-17	392.418000685	387.890100677	404.492400706	404.492400706	2120188
2000-05-19	398.455200695	395.43660069	404.492400706	404.492400706	389253
2000-05-22	398.455200695	383.362200669	402.983100703	402.983100703	538329
2000-05-23	396.945900693	389.399400679	401.473800701	401.473800701	521765
2000-05-24	395.43660069	392.418000685	398.455200695	398.455200695	488637
2000-05-25	392.418000685	392.418000685	396.945900693	396.945900693	770224
2000-05-26	383.362200669	374.306400653	392.418000685	392.418000685	2724773
2000-05-29	380.343600664	362.232000632	380.343600664	362.232000632	3114026
2000-05-30	350.157600611	332.046000579	353.176200616	353.176200616	8870005
2000-05-31	353.176200616	332.046000579	353.176200616	342.611100598	1631551
2000-06-02	341.101800595	327.518100571	341.101800595	338.08320059	1291989
2000-06-05	332.046000579	332.046000579	350.157600611	350.157600611	1258861
2000-06-06	347.139000606	347.139000606	356.194800621	356.194800621	1672960
2000-06-07	356.194800621	356.194800621	371.287800648	368.269200643	3975352
2000-06-08	368.269200643	368.269200643	378.834300661	378.834300661	3271384
2000-06-09	380.343448526	376.117410209	388.79552516	388.79552516	591570
2000-06-12	388.79552516	388.79552516	405.699678428	405.699678428	627064
2000-06-13	405.699678428	388.79552516	405.699678428	397.247601794	1881194
2000-06-14	388.79552516	388.79552516	401.473640111	401.473640111	215923
2000-06-16	401.473640111	397.247601794	401.473640111	401.473640111	59157
2000-06-19	397.247601794	371.891371892	401.473640111	401.473640111	313532
2000-06-20	401.473640111	388.79552516	401.473640111	397.247601794	384520
2000-06-21	388.79552516	388.79552516	393.021563477	393.021563477	239586
2000-06-22	388.79552516	380.343448526	388.79552516	388.79552516	2094159
2000-06-23	388.79552516	380.343448526	397.247601794	384.569486843	1070742
2000-06-26	384.569486843	384.569486843	393.021563477	388.79552516	706926
2000-06-27	388.79552516	384.569486843	401.473640111	384.569486843	1955140
2000-06-28	380.343448526	380.343448526	384.569486843	384.569486843	532413
2000-06-29	384.569486843	376.117410209	384.569486843	380.343448526	508750
2000-06-30	371.891371892	354.987218625	376.117410209	376.117410209	801578
2000-07-03	354.987218625	350.761180308	371.891371892	363.439295258	621149
2000-07-04	350.761180308	338.083065357	362.594087595	362.594087595	3247722
2000-07-05	349.915972644	346.535141991	359.213256941	350.761180308	1801332
2000-07-06	349.915972644	346.535141991	349.915972644	348.225557317	1372443
2000-07-07	343.999519	338.083065357	349.915972644	349.915972644	887355
2000-07-10	350.761180308	343.999519	350.761180308	350.761180308	721716
2000-07-11	347.380349654	340.618688347	348.225557317	344.844726664	2088244
2000-07-12	344.844726664	344.844726664	357.522841615	352.451595634	2753761
2000-07-13	356.677633951	356.677633951	384.569486843	367.665333575	6705452
2000-07-14	375.272202546	363.439295258	376.962617873	368.510541239	2694604
2000-07-17	371.891371892	362.594087595	371.891371892	368.510541239	911018
2000-07-18	360.903672268	360.903672268	368.510541239	368.510541239	195218
2000-07-19	370.200956566	365.974918249	370.200956566	368.510541239	718758
2000-07-20	368.510541239	361.748879932	370.200956566	365.129710585	899187
2000-07-21	362.594087595	359.213256941	365.129710585	365.129710585	186344
2000-07-24	365.129710585	363.439295258	366.820125912	366.820125912	283953
2000-07-25	365.129710585	346.535141991	365.129710585	354.987218625	1526252
2000-07-26	350.761180308	343.154311337	350.761180308	349.070764981	869608
2000-07-27	348.225557317	343.999519	349.070764981	346.535141991	1736259
2000-07-28	349.070764981	344.844726664	349.070764981	346.535141991	464382
2000-07-31	346.535141991	338.083065357	346.535141991	340.618688347	1443432
2000-08-01	342.309103674	335.547442366	344.844726664	338.083065357	1470052
2000-08-02	338.083065357	319.488496762	338.083065357	321.178912089	1535125
2000-08-03	321.178912089	319.488496762	324.559742742	324.559742742	3818588
2000-08-04	324.559742742	324.559742742	353.296803298	349.070764981	3590833
2000-08-07	350.761180308	329.630988723	350.761180308	334.702234703	807493
2000-08-08	334.702234703	319.488496762	334.702234703	324.559742742	4498894
2000-08-09	324.559742742	322.869327416	327.095365733	327.095365733	1005670
2000-08-10	333.85702704	325.404950406	333.85702704	327.940573396	2064581
2000-08-11	329.630988723	329.630988723	338.083065357	338.083065357	3658864
2000-08-14	338.083065357	334.702234703	339.773480683	337.237857693	1156520
2000-08-15	337.237857693	325.404950406	337.237857693	326.250158069	2434312
2000-08-16	324.559742742	321.178912089	327.940573396	327.940573396	999754
2000-08-18	328.785781059	321.178912089	329.630988723	322.024119752	1212719
2000-08-21	324.559742742	321.178912089	325.404950406	322.024119752	2697561
2000-08-22	325.404950406	322.869327416	341.46389601	329.630988723	7243781
2000-08-23	329.630988723	326.250158069	333.85702704	331.32140405	2150359
2000-08-24	321.178912089	316.952873772	325.404950406	321.178912089	4921867
2000-08-25	321.178912089	319.488496762	326.250158069	326.250158069	689179
2000-08-28	326.250158069	319.488496762	328.785781059	321.178912089	727631
2000-08-29	321.178912089	308.500797138	321.178912089	312.726835455	2496427
2000-08-30	311.036420128	311.036420128	316.952873772	316.952873772	1555830
2000-08-31	316.952873772	312.726835455	317.798081435	317.798081435	671432
2000-09-01	316.952873772	316.952873772	324.559742742	324.559742742	1055953
2000-09-04	327.940573396	327.940573396	333.011819376	333.011819376	2567416
2000-09-05	334.702234703	324.559742742	334.702234703	331.32140405	5050533
2000-09-06	324.559742742	321.178912089	341.46389601	334.702234703	9241811
2000-09-07	331.32140405	327.940573396	338.083065357	334.702234703	6817851
2000-09-08	331.32140405	327.940573396	334.702234703	331.32140405	3099090
2000-09-11	324.559742742	314.417250782	324.559742742	317.798081435	1331033
2000-09-12	321.178912089	297.513097514	321.178912089	300.893928167	1166133
2000-09-13	300.893928167	283.9897749	300.893928167	283.9897749	3356423
2000-09-13	300.893928167	283.9897749	300.893928167	283.9897749	
					0
					0
2000-09-18	260.323960325	250.181468364	270.466452285	260.323960325	3020707
2000-09-19	256.943129671	256.943129671	273.847282939	267.085621632	9799366
2000-09-20	267.085621632	253.562299018	267.085621632	256.943129671	3389699
2000-09-21	253.562299018	246.80063771	256.943129671	256.943129671	1745133
2000-09-22	256.943129671	246.80063771	260.323960325	250.181468364	5793694
2000-09-25	253.562299018	243.419807057	256.943129671	250.181468364	4138775
2000-09-26	243.419807057	240.038976403	250.181468364	250.181468364	1546217
2000-09-27	246.80063771	246.80063771	267.085621632	263.704790978	17788527
2000-09-28	263.704790978	260.323960325	277.228113592	267.085621632	53590380
2000-09-29	270.466452285	267.085621632	273.847282939	270.466452285	15445908
2000-10-02	267.085621632	263.704790978	270.466452285	270.466452285	4509986
2000-10-03	267.085621632	263.704790978	280.608944246	280.608944246	14586651
2000-10-04	277.228113592	267.085621632	277.228113592	273.847282939	12394882
2000-10-05	270.466452285	270.466452285	294.13226686	287.370605553	57103570
2000-10-06	290.751436207	280.608944246	300.893928167	283.9897749	40952213
2000-10-09	277.228113592	270.466452285	277.228113592	273.847282939	11185860
2000-10-10	273.847282939	270.466452285	280.608944246	280.608944246	6276564
2000-10-11	273.847282939	273.847282939	287.370605553	283.9897749	23532678
2000-10-12	280.608944246	277.228113592	287.370605553	277.228113592	5481641
2000-10-13	273.847282939	270.466452285	283.9897749	283.9897749	7989160
2000-10-16	287.370605553	277.228113592	290.751436207	277.228113592	14368510
2000-10-17	283.9897749	280.608944246	300.893928167	300.893928167	92730169
2000-10-18	300.893928167	297.513097514	321.178912089	307.655589475	147572461
2000-10-19	311.036420128	297.513097514	311.036420128	304.274758821	59670986
2000-10-20	311.036420128	294.13226686	314.417250782	297.513097514	30008897
2000-10-23	297.513097514	283.9897749	297.513097514	290.751436207	16777681
2000-10-24	290.751436207	283.9897749	290.751436207	290.751436207	4342867
2000-10-26	287.370605553	280.608944246	287.370605553	283.9897749	8023176
2000-10-27	280.608944246	277.228113592	283.9897749	280.608944246	4335472
2000-10-30	280.608944246	267.085621632	280.608944246	270.466452285	6324629
2000-10-31	270.466452285	267.085621632	277.228113592	273.847282939	15675881
2000-11-01	277.228113592	270.466452285	277.228113592	273.847282939	14183644
2000-11-02	273.847282939	273.847282939	277.228113592	277.228113592	4734783
2000-11-03	273.847282939	270.466452285	273.847282939	273.847282939	1655658
2000-11-06	273.847282939	273.847282939	280.608944246	280.608944246	4902641
2000-11-07	280.608944246	277.228113592	280.608944246	280.608944246	3445159
2000-11-08	280.608944246	280.608944246	287.370605553	287.370605553	14806272
2000-11-09	283.9897749	277.228113592	283.9897749	280.608944246	4133599
2000-11-10	280.608944246	277.228113592	280.608944246	280.608944246	3729852
2000-11-13	273.847282939	273.847282939	277.228113592	277.228113592	1056692
2000-11-14	277.228113592	273.847282939	280.608944246	280.608944246	2380332
2000-11-15	277.228113592	267.085621632	277.228113592	267.085621632	12079132
2000-11-16	270.466452285	270.466452285	273.847282939	273.847282939	11126703
2000-11-17	270.466452285	270.466452285	273.847282939	273.847282939	6305403
2000-11-20	270.466452285	270.466452285	277.228113592	273.847282939	12090224
2000-11-21	273.847282939	270.466452285	277.228113592	277.228113592	2854328
2000-11-22	277.228113592	277.228113592	290.751436207	287.370605553	26210274
2000-11-23	287.370605553	283.9897749	294.13226686	287.370605553	27417078
2000-11-24	287.370605553	280.608944246	287.370605553	283.9897749	5925318
2000-11-27	283.9897749	270.466452285	283.9897749	277.228113592	12703239
2000-11-28	273.847282939	273.847282939	277.228113592	277.228113592	3539071
2000-11-29	273.847282939	273.847282939	287.370605553	287.370605553	9994585
2000-11-30	283.9897749	280.608944246	290.751436207	287.370605553	36093200
2000-12-01	283.9897749	277.228113592	287.370605553	283.9897749	6019970
2000-12-04	283.9897749	277.228113592	283.9897749	280.608944246	4458223
2000-12-05	280.608944246	280.608944246	283.9897749	283.9897749	7486325
2000-12-06	283.9897749	283.9897749	290.751436207	287.370605553	15446647
2000-12-07	283.9897749	283.9897749	287.370605553	287.370605553	3553860
2000-12-08	283.9897749	280.608944246	283.9897749	283.9897749	2881688
