Date	Price Open	Price Low	Price High	Price Close	Volume
1999-12-28	4395	4395	4400	4400	
					0
					0
					0
					0
					0
					0
					0
					0
2000-01-17	4350	4350	4395	4395	600
2000-01-18	4350	4345	4350	4345	
2000-01-18	4350	4345	4350	4345	400
					0
					0
					0
					0
					0
2000-01-26	4245	4245	4245	4245	200
2000-01-27	4245	4245	4245	4245	200
2000-01-27	4245	4245	4245	4245	
					0
					0
					0
					0
					0
					0
					0
					0
2000-02-09	4000	4000	4000	4000	200
2000-02-10	4000	4000	4000	4000	400
2000-02-14	4000	4000	4000	4000	200
2000-02-15	4000	4000	4000	4000	200
2000-02-16	4000	4000	4000	4000	200
2000-02-17	4000	4000	4000	4000	200
2000-02-18	4000	4000	4000	4000	200
2000-02-18	4000	4000	4000	4000	
					0
					0
					0
					0
					0
2000-02-28	3945	3945	3950	3950	400
2000-02-29	3945	3900	3945	3900	
2000-02-29	3945	3900	3945	3900	400
					0
					0
					0
					0
					0
					0
					0
2000-03-10	3745	3745	3745	3745	
2000-03-10	3745	3745	3745	3745	200
					0
					0
2000-03-15	3735	3735	3735	3735	400
2000-03-16	3710	3710	3710	3710	400
2000-03-17	3670	3670	3670	3670	200
2000-03-21	3670	3670	3670	3670	
2000-03-21	3670	3670	3670	3670	200
					0
2000-03-23	3665	3665	3665	3665	
2000-03-23	3665	3665	3665	3665	200
					0
2000-03-27	3660	3555	3665	3650	
2000-03-27	3660	3555	3665	3650	1600
					0
					0
					0
					0
2000-04-03	3575	3575	3575	3575	
2000-04-03	3575	3575	3575	3575	200
					0
					0
					0
					0
2000-04-10	3500	3400	3500	3400	
2000-04-10	3500	3400	3500	3400	400
					0
2000-04-12	3400	3400	3400	3400	
2000-04-12	3400	3400	3400	3400	200
					0
					0
2000-04-17	3375	3375	3375	3375	
2000-04-17	3375	3375	3375	3375	400
					0
2000-04-19	3375	3375	3375	3375	
2000-04-19	3375	3375	3375	3375	1200
					0
					0
					0
					0
2000-04-26	3350	3350	3350	3350	200
2000-04-27	3350	3350	3350	3350	200
2000-04-28	3350	3350	3350	3350	400
2000-05-01	3350	3350	3350	3350	200
2000-05-01	3350	3350	3350	3350	
					0
					0
					0
					0
2000-05-11	3350	3350	3350	3350	
2000-05-11	3350	3350	3350	3350	200
					0
2000-05-15	3350	3350	3350	3350	400
2000-05-16	3350	3350	3350	3350	200
2000-05-17	3350	3350	3350	3350	400
2000-05-17	3350	3350	3350	3350	
					0
					0
					0
					0
					0
					0
2000-05-26	3500	3500	3500	3500	200
2000-05-26	3500	3500	3500	3500	
					0
2000-05-30	3550	3550	3550	3550	200
2000-05-30	3550	3550	3550	3550	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2000-06-15	3450	3450	3450	3450	200
2000-06-16	3550	3550	3550	3550	400
2000-06-16	3550	3550	3550	3550	
					0
2000-06-20	3600	3600	3600	3600	
2000-06-20	3600	3600	3600	3600	400
					0
					0
					0
2000-06-26	3450	3450	3450	3450	200
2000-06-26	3450	3450	3450	3450	
					0
					0
					0
					0
					0
					0
2000-07-05	3600	3600	3600	3600	400
2000-07-05	3600	3600	3600	3600	
					0
2000-07-07	3600	3600	3600	3600	200
2000-07-07	3600	3600	3600	3600	
					0
2000-07-11	3650	3650	3650	3650	200
