Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	1731.748771774	1731.748771774	2061.605680684	1979.141453456	650457
2000-01-05	1855.445112615	1830.705844447	1979.141453456	1855.445112615	746274
2000-01-06	1933.786128481	1690.516658161	1933.786128481	1723.502349052	245619
2000-01-07	1731.748771774	1731.748771774	1814.212999002	1744.118405858	260755
2000-01-10	1772.980885388	1772.980885388	1826.582633086	1789.473730833	234059
2000-01-11	1789.473730833	1690.516658161	1797.720153556	1715.255926329	565604
2000-01-12	1690.516658161	1657.53096727	1781.227308111	1715.255926329	326539
2000-01-13	1781.227308111	1781.227308111	1913.170071674	1789.473730833	909067
2000-01-14	1814.212999002	1735.871983136	1855.445112615	1789.473730833	311881
2000-01-17	1847.198689893	1748.24161722	1847.198689893	1764.734462665	185793
2000-01-18	1739.995194497	1723.502349052	1810.08978764	1789.473730833	185436
2000-01-19	1731.748771774	1657.53096727	1772.980885388	1690.516658161	207960
2000-01-20	1682.270235438	1579.189951404	1731.748771774	1649.284544547	258729
2000-01-21	1608.052430933	1591.559585488	1690.516658161	1608.052430933	167679
2000-01-24	1566.82031732	1566.82031732	1674.023812715	1616.298853656	134310
2000-01-25	1566.82031732	1566.82031732	1641.038121824	1566.82031732	158264
2000-01-26	1550.327471874	1550.327471874	1772.980885388	1772.980885388	469192
2000-01-27	1764.734462665	1674.023812715	2003.880721625	1896.677226229	1557856
2000-01-28	1937.909339843	1822.459421724	2012.127144347	1896.677226229	1039921
2000-01-31	1814.212999002	1814.212999002	2012.127144347	1962.648608011	995350
2000-02-01	1979.141453456	1937.909339843	2020.37356707	1995.634298902	801094
2000-02-01	1979.141453456	1937.909339843	2020.37356707	1995.634298902	
					0
					0
					0
2000-02-08	2292.50551692	2292.50551692	2292.50551692	2292.50551692	121963
2000-02-09	2634.732059914	2333.737630534	2634.732059914	2556.391044048	3661582
2000-02-10	2556.391044048	2473.92681682	2680.087384889	2556.391044048	1446618
2000-02-11	2556.391044048	2193.548444247	2597.623157661	2267.766248752	871122
2000-02-14	1958.525396649	1958.525396649	2350.230475979	2102.837794297	1187651
2000-02-15	2061.605680684	2045.112835238	2263.643037391	2061.605680684	601166
2000-02-16	2065.728892045	2065.728892045	2267.766248752	2267.766248752	713024
2000-02-17	2267.766248752	2111.08421702	2267.766248752	2205.918078332	369609
2000-02-18	2102.837794297	2082.22173749	2181.178810163	2102.837794297	416540
2000-02-21	2082.22173749	1921.416494397	2082.22173749	2053.359257961	373828
2000-02-22	1991.51108754	1991.51108754	2267.766248752	2061.605680684	431342
2000-02-23	2102.837794297	2102.837794297	2370.846532786	2247.150191945	2054268
2000-02-24	2185.302021525	2024.496778431	2226.534135138	2061.605680684	753043
2000-02-25	2057.482469322	1942.032551204	2102.837794297	1999.757510263	893431
2000-02-28	1859.568323977	1772.980885388	1937.909339843	1847.198689893	467261
2000-02-29	1937.909339843	1731.748771774	1937.909339843	1760.611251304	481729
2000-03-02	1760.611251304	1690.516658161	1876.061169422	1834.829055808	677772
2000-03-03	1814.212999002	1795.658547875	1904.923648952	1896.677226229	562768
2000-03-06	1818.336210363	1818.336210363	2020.37356707	1999.757510263	540101
2000-03-07	1979.141453456	1909.046860313	2040.989623877	1917.293283036	372708
2000-03-08	1917.293283036	1855.445112615	2020.37356707	1888.430803506	547990
2000-03-09	1855.445112615	1793.596942195	1975.018242095	1793.596942195	585054
2000-03-10	1838.95226717	1752.364828581	1855.445112615	1752.364828581	483707
2000-03-13	1892.554014868	1777.104096749	1937.909339843	1801.843364918	470789
2000-03-14	1657.53096727	1657.53096727	1855.445112615	1752.364828581	322249
2000-03-15	1711.132714967	1690.516658161	1793.596942195	1711.132714967	231437
2000-03-16	1793.596942195	1649.284544547	1855.445112615	1690.516658161	268406
2000-03-17	1772.980885388	1702.886292245	1917.293283036	1772.980885388	661302
2000-03-20	1711.132714967	1711.132714967	1843.075478531	1723.502349052	158717
2000-03-21	1690.516658161	1608.052430933	1744.118405858	1608.052430933	365152
2000-03-22	1649.284544547	1628.66848774	1690.516658161	1690.516658161	388892
2000-03-23	1653.407755908	1612.175642295	1702.886292245	1616.298853656	415849
