Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	64.8	59.4	68.8	60.8	2277999
2000-01-05	56.0	54.0	57.4	54.0	1411999
2000-01-06	55.0	53.8	55.0	53.8	482999
2000-01-07	53.8	50.0	53.8	53.6	2223999
2000-01-10	55.0	55.0	60.4	58.0	1375999
2000-01-11	58.2	57.6	60.4	59.0	901999
2000-01-12	59.0	57.0	59.0	57.6	1196999
2000-01-13	57.0	53.4	57.0	56.0	2169999
2000-01-14	56.0	53.8	56.2	56.0	1701999
2000-01-17	57.0	57.0	62.4	61.6	3298999
2000-01-18	62.0	59.6	62.0	60.4	1762999
2000-01-19	60.8	58.4	61.6	59.0	2562999
2000-01-20	59.0	56.0	59.0	57.4	2732999
2000-01-21	58.0	58.0	60.4	59.6	1361999
2000-01-24	60.4	60.0	62.0	60.8	1368999
2000-01-25	57.2	54.0	57.2	55.0	2247999
2000-01-26	55.0	53.6	55.2	53.6	3936999
2000-01-27	53.0	52.2	53.4	53.2	4622999
2000-01-28	53.6	53.6	54.8	53.8	2459999
2000-01-31	53.8	52.2	54.8	53.0	2092999
2000-02-01	53.4	53.0	54.8	53.0	5606999
2000-02-02	54.0	53.2	54.2	53.2	1396999
2000-02-03	54.0	52.8	54.0	53.2	2558999
2000-02-04	53.6	53.6	54.4	53.6	916999
2000-02-07	54.0	53.8	54.2	53.8	395999
2000-02-08	54.2	54.0	55.6	54.4	5675999
2000-02-09	54.8	54.4	58.0	55.8	8174999
2000-02-10	56.0	55.8	60.4	60.4	3373999
2000-02-11	61.2	59.8	64.8	63.2	4043999
2000-02-14	62.4	61.6	63.2	63.2	2193999
2000-02-15	60.0	53.0	60.4	55.0	972999
2000-02-16	52.0	51.8	59.0	55.2	4790999
2000-02-17	55.2	52.6	57.2	57.2	3816999
2000-02-18	57.2	55.0	60.8	57.4	979999
2000-02-22	55.0	50.0	55.0	51.2	7001999
2000-02-23	50.6	50.6	55.6	55.0	1018999
2000-02-24	56.0	55.4	58.0	57.4	2107999
2000-02-25	57.4	56.8	60.8	59.2	1649999
2000-02-28	59.2	58.8	61.6	59.2	1932999
2000-02-29	59.2	55.8	59.2	59.2	521999
2000-03-01	59.2	55.0	60.4	56.4	2343999
2000-03-02	59.0	55.0	60.4	57.0	2268999
2000-03-03	58.6	57.0	59.2	57.6	729999
2000-03-06	57.6	52.4	58.0	54.0	1759999
2000-03-07	53.0	52.4	54.2	54.0	1595999
2000-03-08	54.2	54.0	57.4	55.8	1527999
2000-03-09	56.0	52.4	56.2	53.0	2662999
2000-03-10	53.4	53.2	56.6	54.0	4154999
2000-03-13	54.4	54.2	55.8	54.2	354999
2000-03-14	54.0	54.0	55.2	55.2	864999
2000-03-15	53.4	52.0	53.8	53.0	1788999
2000-03-16	53.0	53.0	55.4	54.4	317999
2000-03-17	54.4	54.4	59.0	58.0	1690999
2000-03-20	58.0	57.2	59.0	57.8	1783999
2000-03-21	57.4	53.0	57.4	54.0	1654999
2000-03-22	54.2	52.8	55.0	53.4	2740999
2000-03-23	53.6	52.4	56.0	54.0	2927999
2000-03-24	54.8	54.8	56.4	55.6	1936999
2000-03-27	55.8	55.4	58.6	57.8	1554999
2000-03-28	58.6	58.4	59.2	58.8	2053999
2000-03-29	58.6	56.8	58.6	57.2	1111999
2000-03-30	57.2	56.8	57.2	57.0	107999
2000-03-31	56.8	56.8	58.4	57.0	295999
2000-04-03	56.6	54.4	56.6	54.8	944999
2000-04-04	55.0	53.6	55.0	53.6	1479999
2000-04-05	53.4	52.6	54.0	53.2	1379999
2000-04-07	53.2	51.8	53.4	51.8	1375999
2000-04-10	52.0	51.8	52.8	52.2	1036999
2000-04-11	52.4	52.2	53.4	52.2	1382999
2000-04-12	53.2	53.0	53.6	53.0	538999
2000-04-17	50.0	45.0	50.0	46.6	7269999
2000-04-18	48.0	45.4	48.4	45.6	3002999
2000-04-19	46.8	45.8	47.4	46.2	5993999
2000-04-20	46.8	46.0	47.6	46.2	1757999
2000-04-21	46.2	46.2	46.6	46.6	204999
2000-04-24	46.2	45.8	46.8	46.8	778999
2000-04-25	46.2	43.4	46.2	44.0	2112999
2000-04-26	45.4	43.8	46.0	44.0	3927999
2000-04-27	44.6	44.6	46.0	46.0	2274999
2000-04-28	45.6	44.6	45.8	44.6	487999
2000-05-02	44.6	42.0	44.6	42.0	2725999
2000-05-03	43.2	43.2	47.2	47.0	4133999
2000-05-04	47.0	44.8	48.4	46.0	1753999
2000-05-08	44.8	42.2	44.8	43.0	2588999
