Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	31.42192	31.42192	33.974951	32.207468	2895999
2000-01-05	29.45805	28.868889	30.439985	29.261663	5188999
2000-01-06	29.654437	25.726697	29.850824	26.512245	6692999
2000-01-07	27.101406	25.333923	27.297793	26.512245	4597999
2000-01-10	28.476115	27.690567	29.261663	27.886954	3403999
2000-01-11	28.672502	26.512245	29.261663	26.512245	3130999
2000-01-12	26.119471	25.726697	27.101406	26.708632	1504999
2000-01-13	26.512245	26.119471	27.101406	26.905019	1398999
2000-01-14	27.49418	27.101406	29.065276	28.868889	2766999
2000-01-17	30.243598	28.672502	30.636372	28.868889	2245999
2000-01-18	28.868889	28.672502	29.654437	28.868889	1372999
2000-01-19	28.868889	28.476115	29.45805	28.672502	1108999
2000-01-20	28.672502	28.083341	29.065276	28.476115	970999
2000-01-21	28.476115	27.690567	28.672502	27.690567	1065999
2000-01-24	28.083341	27.49418	28.279728	28.083341	1025999
2000-01-25	27.49418	27.49418	28.083341	28.083341	427999
2000-01-26	28.476115	27.886954	28.672502	28.083341	1671999
2000-01-27	28.083341	28.083341	28.868889	28.672502	1582999
2000-01-28	28.868889	28.868889	30.832759	30.439985	4929999
2000-01-31	30.047211	29.850824	30.636372	30.243598	1712999
2000-02-01	30.636372	30.243598	31.814694	31.42192	3242999
2000-02-02	31.814694	30.832759	32.600242	30.832759	2807999
2000-02-03	31.029146	31.029146	32.207468	31.42192	2250999
2000-02-04	31.42192	31.029146	31.618307	31.618307	1337999
2000-02-07	31.42192	31.42192	32.796629	32.600242	2991999
2000-02-08	32.600242	32.600242	33.582177	32.796629	2498999
2000-02-09	33.38579	31.618307	33.38579	32.011081	1387999
2000-02-10	31.225533	31.225533	32.403855	31.814694	739999
2000-02-11	32.207468	23.173666	33.38579	33.189403	2858999
2000-02-14	33.189403	32.011081	33.189403	32.207468	1214999
2000-02-15	32.207468	30.439985	32.207468	30.439985	1304999
2000-02-16	30.439985	27.886954	30.439985	29.261663	3421999
2000-02-17	29.065276	27.49418	29.654437	27.886954	2164999
2000-02-18	28.279728	27.886954	29.261663	28.476115	1499999
2000-02-22	28.476115	26.708632	28.672502	26.708632	2214999
2000-02-23	26.512245	26.119471	27.297793	26.708632	5152999
2000-02-24	27.297793	26.512245	27.886954	27.297793	3140999
2000-02-25	27.297793	27.297793	28.476115	27.690567	3615999
2000-02-28	27.49418	27.101406	28.279728	27.49418	2464999
2000-02-29	27.49418	26.512245	27.690567	26.708632	922999
2000-03-01	27.49418	26.315858	27.690567	26.315858	3030999
2000-03-02	26.905019	26.708632	27.886954	27.297793	2151999
2000-03-03	27.886954	27.101406	28.083341	27.101406	1777999
2000-03-06	27.690567	27.49418	27.690567	27.690567	1373999
2000-03-07	27.49418	27.49418	27.886954	27.690567	1286999
2000-03-08	27.297793	27.297793	28.476115	27.886954	1500999
2000-03-09	28.279728	27.886954	28.672502	27.886954	1291999
2000-03-10	29.261663	28.279728	29.261663	28.672502	1420999
2000-03-13	28.672502	27.297793	28.868889	27.297793	2035999
2000-03-14	27.101406	27.101406	27.886954	27.886954	765999
2000-03-15	27.297793	26.315858	27.690567	26.315858	1879999
2000-03-16	27.101406	26.512245	27.101406	26.905019	854999
2000-03-17	27.49418	26.315858	27.690567	26.315858	1680999
2000-03-20	26.315858	26.315858	27.297793	27.297793	368999
2000-03-21	27.297793	27.101406	27.297793	27.101406	493999
2000-03-22	27.49418	26.315858	27.49418	26.708632	640999
2000-03-23	26.708632	26.119471	26.708632	26.119471	827999
2000-03-24	26.512245	26.119471	26.905019	26.708632	601999
2000-03-27	26.905019	26.315858	26.905019	26.315858	133999
2000-03-28	26.512245	26.512245	26.905019	26.905019	255999
2000-03-29	27.101406	26.512245	27.101406	26.708632	1539999
2000-03-30	26.512245	24.941149	26.512245	25.333923	1456999
