Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	2.8125	2.6875	2.8125	2.75	1575600
2000-01-05	2.75	2.5625	2.75	2.5625	772400
2000-01-06	2.625	2.5	2.625	2.5	700400
2000-01-07	2.5625	2.5625	2.5625	2.5625	383600
2000-01-10	2.625	2.5	2.6875	2.5625	449600
2000-01-11	2.5	2.475	2.5	2.475	326000
2000-01-12	2.45	2.45	2.5	2.5	208000
2000-01-13	2.5625	2.5	2.5625	2.5	270800
2000-01-14	2.5625	2.5	2.5625	2.5	547600
2000-01-17	2.5	2.475	2.5625	2.5	1535200
2000-01-18	2.5	2.5	2.75	2.5625	4327600
2000-01-19	2.625	2.625	2.6875	2.625	2341600
2000-01-20	2.6875	2.625	3.3125	3.0625	19764800
2000-01-21	3.0625	2.75	3.125	2.8125	5396400
2000-01-24	2.875	2.8125	3.0625	3.0	5350400
2000-01-25	3.0	2.9375	3.1875	2.9375	4876800
2000-01-26	3.0	2.875	3.0625	2.875	1981600
2000-01-27	2.9375	2.875	2.9375	2.875	792400
2000-01-28	2.875	2.875	3.0	2.9375	848000
2000-01-31	2.875	2.875	3.0	2.875	1283600
2000-02-01	2.9375	2.8125	3.0	2.8125	1388000
2000-02-02	2.875	2.75	2.875	2.75	693200
2000-02-03	2.8125	2.6875	2.8125	2.6875	508000
2000-02-04	2.75	2.625	2.75	2.625	578000
2000-02-07	2.6875	2.6875	2.8125	2.75	1820800
2000-02-08	2.75	2.6875	2.8125	2.6875	1265200
2000-02-09	2.6875	2.5625	2.75	2.5625	964800
2000-02-10	2.625	2.5	2.625	2.5625	860400
2000-02-11	2.625	2.5625	2.6875	2.5625	2202800
2000-02-14	2.625	2.625	2.6875	2.625	1396000
2000-02-15	2.6875	2.5	2.6875	2.5	620400
2000-02-16	2.5	2.5	2.5625	2.5625	686800
2000-02-17	2.5	2.475	2.5	2.475	346800
2000-02-18	2.45	2.45	2.475	2.475	355600
2000-02-22	2.45	2.25	2.45	2.25	685600
2000-02-23	2.275	2.25	2.35	2.35	353200
2000-02-24	2.35	2.25	2.4	2.25	822000
2000-02-25	2.25	2.25	2.4	2.35	1082400
2000-02-28	2.35	2.225	2.35	2.225	655600
2000-02-29	2.25	2.1	2.25	2.1	680800
2000-03-01	2.025	1.925	2.025	1.925	482000
2000-03-02	1.975	1.975	2.15	2.125	636400
2000-03-03	2.075	2.025	2.125	2.025	255600
2000-03-06	2.0	1.975	2.0	1.975	115600
2000-03-07	2.0	1.95	2.025	1.95	489600
2000-03-08	1.95	1.8	1.95	1.875	509600
2000-03-09	1.9	1.9	2.025	2.025	868400
2000-03-10	2.05	2.05	2.075	2.075	122000
2000-03-13	2.0	1.975	2.0	1.975	93200
2000-03-14	2.025	1.975	2.025	2.0	389600
2000-03-15	2.0	1.925	2.0	1.925	486000
2000-03-16	1.95	1.925	1.975	1.925	212000
2000-03-17	2.0	2.0	2.05	2.025	570800
2000-03-20	2.0	1.95	2.025	2.0	380400
2000-03-21	2.0	2.0	2.35	2.35	4884800
2000-03-22	2.475	2.25	2.5625	2.275	9751600
2000-03-23	2.325	2.275	2.35	2.3	2039200
2000-03-24	2.325	2.25	2.35	2.25	868400
2000-03-27	2.25	2.225	2.325	2.225	640400
2000-03-28	2.225	2.225	2.4	2.275	1771200
2000-03-29	2.325	2.325	2.5	2.5	4402400
2000-03-30	2.5625	2.325	2.5625	2.325	5826400
2000-03-31	2.35	2.35	2.425	2.4	890400
2000-04-03	2.45	2.45	2.5625	2.5	4116400
2000-04-04	2.625	2.475	2.6875	2.5	5398000
2000-04-05	2.475	2.4	2.5	2.4	1692000
2000-04-07	2.425	2.4	2.475	2.4	873200
2000-04-10	2.475	2.425	2.475	2.475	1298800
2000-04-11	2.5	2.475	2.5625	2.5	2630800
2000-04-12	2.5625	2.5	2.625	2.5625	3686000
2000-04-17	2.45	2.375	2.45	2.4	1455200
2000-04-18	2.5	2.425	2.5625	2.425	3256000
2000-04-19	2.475	2.425	2.475	2.45	806000
2000-04-20	2.45	2.45	2.5	2.45	787200
2000-04-21	2.475	2.475	2.5625	2.475	1596400
2000-04-24	2.5	2.475	2.5625	2.5	607200
2000-04-25	2.5	2.45	2.5625	2.475	609200
2000-04-26	2.5	2.475	2.625	2.5625	5125200
2000-04-27	2.5625	2.5	2.5625	2.5	1106800
2000-04-28	2.5625	2.5	2.5625	2.5	568800
2000-05-02	2.5	2.475	2.5	2.5	336400
2000-05-03	2.475	2.4	2.475	2.425	689200
2000-05-04	2.45	2.425	2.45	2.425	1022000
2000-05-08	2.45	2.325	2.45	2.325	677200
2000-05-09	2.325	2.275	2.325	2.275	213200
2000-05-10	2.25	2.15	2.25	2.175	281200
2000-05-11	2.125	2.075	2.15	2.075	1035600
2000-05-12	2.075	2.075	2.15	2.1	2054000
2000-05-15	2.125	2.075	2.15	2.075	756000
2000-05-16	2.075	2.075	2.175	2.175	780000
2000-05-18	2.15	2.1	2.15	2.1	300800
2000-05-19	2.1	2.1	2.1	2.1	88000
2000-05-22	2.125	2.05	2.125	2.05	389600
2000-05-23	2.025	1.925	2.025	1.925	519600
2000-05-24	1.9	1.825	1.9	1.875	408400
2000-05-25	1.875	1.775	1.9	1.775	465200
2000-05-26	1.75	1.725	1.775	1.75	870000
2000-05-29	1.775	1.75	1.775	1.75	733600
2000-05-30	1.75	1.7	1.75	1.725	319600
2000-05-31	1.775	1.75	1.8	1.775	871600
2000-06-01	1.8	1.775	1.875	1.775	3024400
2000-06-02	1.825	1.825	1.875	1.85	1509600
2000-06-05	1.9	1.9	1.95	1.925	1276000
2000-06-06	1.925	1.9	2.075	1.975	2826400
2000-06-07	1.95	1.9	2.0	1.9	849200
2000-06-08	1.95	1.9	1.95	1.925	207600
2000-06-09	1.925	1.875	1.975	1.925	396000
2000-06-12	1.95	1.9	1.95	1.9	113200
2000-06-13	1.9	1.875	1.9	1.9	123600
2000-06-14	1.9	1.875	1.9	1.9	228800
2000-06-15	1.925	1.9	1.975	1.925	804800
2000-06-16	1.95	1.925	1.975	1.925	116000
2000-06-19	1.925	1.9	1.925	1.9	58000
2000-06-20	1.9	1.9	1.9	1.9	115600
2000-06-21	1.9	1.875	1.9	1.875	44000
2000-06-22	1.9	1.85	1.9	1.85	133600
2000-06-23	1.825	1.825	1.85	1.85	100000
2000-06-26	1.85	1.85	1.85	1.85	8000
2000-06-27	1.85	1.8	1.85	1.8	275200
2000-06-28	1.825	1.825	1.825	1.825	20000
