Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	193	193	193	193	1000
2000-01-05	180	180	180	180	2000
2000-01-06	180	180	182	180	11500
2000-01-06	180	180	182	180	
					0
					0
					0
					0
					0
					0
					0
					0
2000-01-19	190	180	190	180	1500
2000-01-20	180	180	180	180	1000
2000-01-20	180	180	180	180	
					0
					0
2000-01-25	180	180	180	180	
2000-01-25	180	180	180	180	400
					0
2000-01-27	185	185	185	185	
2000-01-27	185	185	185	185	200
					0
2000-01-31	185	185	185	185	1000
2000-01-31	185	185	185	185	
					0
					0
2000-02-03	190	190	190	190	300
2000-02-03	190	190	190	190	
					0
2000-02-07	190	186	190	186	900
2000-02-07	190	186	190	186	
					0
					0
2000-02-10	190	190	190	190	100
2000-02-11	190	190	190	190	100
2000-02-14	190	190	190	190	300
2000-02-15	191	190	191	190	900
2000-02-16	191	191	191	191	200
2000-02-17	190	190	190	190	400
2000-02-17	190	190	190	190	
					0
2000-02-22	190	190	191	190	10200
2000-02-23	190	190	190	190	1000
2000-02-23	190	190	190	190	
					0
					0
					0
					0
					0
2000-03-02	195	195	195	195	500
2000-03-02	195	195	195	195	
					0
2000-03-06	195	195	195	195	
2000-03-06	195	195	195	195	200
					0
2000-03-08	195	195	195	195	1000
2000-03-08	195	195	195	195	
					0
					0
					0
					0
					0
					0
					0
					0
2000-03-21	191	191	191	191	100
2000-03-21	191	191	191	191	
					0
2000-03-23	196	196	196	196	
2000-03-23	196	196	196	196	100
					0
					0
					0
					0
					0
2000-03-31	204	204	204	204	100
2000-04-03	192	190	192	190	2700
2000-04-04	194	194	194	194	100
2000-04-04	194	194	194	194	
					0
					0
					0
2000-04-11	202	202	202	202	200
2000-04-11	202	202	202	202	
					0
					0
2000-04-18	195	195	195	195	1000
2000-04-19	191	190	191	190	1300
2000-04-20	190	190	190	190	300
2000-04-20	190	190	190	190	
					0
					0
2000-04-25	193	193	193	193	1000
2000-04-26	198	198	200	200	1800
2000-04-27	199	199	200	200	
2000-04-27	199	199	200	200	1400
					0
					0
2000-05-03	210	200	210	200	3100
2000-05-04	195	195	195	195	
2000-05-04	195	195	195	195	1700
					0
2000-05-09	195	195	196	195	5900
2000-05-09	195	195	196	195	
					0
					0
2000-05-12	195	195	195	195	500
2000-05-15	195	195	195	195	2100
2000-05-15	195	195	195	195	
					0
2000-05-18	195	195	195	195	1000
2000-05-18	195	195	195	195	
					0
					0
					0
2000-05-24	200	196	200	196	2800
2000-05-25	190	190	190	190	100
2000-05-26	192	192	192	192	
2000-05-26	192	192	192	192	200
					0
					0
2000-05-31	197	195	197	196	16100
2000-05-31	197	195	197	196	
					0
2000-06-02	199	199	199	199	200
2000-06-02	199	199	199	199	
					0
					0
2000-06-07	200	200	200	200	800
2000-06-08	200	200	200	200	
2000-06-08	200	200	200	200	300
					0
2000-06-12	200	200	200	200	900
2000-06-13	210	200	210	200	300
2000-06-14	206	206	206	206	100
2000-06-14	206	206	206	206	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
