Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	2.303029612	2.303029612	2.333332633	2.303029612	173250
2000-01-05	2.24242357	2.151514506	2.25757508	2.181817527	209550
2000-01-06	2.181817527	2.106059974	2.181817527	2.151514506	333300
2000-01-07	2.060605442	2.060605442	2.060605442	2.060605442	110550
2000-01-10	2.090908464	2.060605442	2.090908464	2.060605442	107250
2000-01-11	2.060605442	2.060605442	2.060605442	2.060605442	181500
2000-01-11	2.060605442	2.060605442	2.060605442	2.060605442	
					0
2000-01-13	2.060605442	1.9999994	2.060605442	2.030302421	41250
2000-01-14	2.060605442	2.060605442	2.181817527	2.181817527	82500
2000-01-17	2.181817527	2.060605442	2.196969038	2.181817527	123750
2000-01-18	2.181817527	2.181817527	2.212120548	2.196969038	1922250
2000-01-19	2.227272059	2.181817527	2.24242357	2.212120548	450450
2000-01-20	2.227272059	2.227272059	2.25757508	2.24242357	582450
2000-01-21	2.227272059	2.227272059	2.333332633	2.272726591	1407450
2000-01-24	2.272726591	2.212120548	2.272726591	2.24242357	389400
2000-01-25	2.212120548	2.196969038	2.227272059	2.227272059	77550
2000-01-26	2.227272059	2.227272059	2.272726591	2.227272059	1593900
2000-01-27	2.24242357	2.24242357	2.318181123	2.303029612	1183050
2000-01-28	2.318181123	2.318181123	2.454544718	2.454544718	1552650
2000-01-31	2.393938676	2.363635655	2.439393208	2.424241697	240900
2000-02-01	2.424241697	2.424241697	2.484847739	2.439393208	1273800
2000-02-02	2.454544718	2.393938676	2.469696229	2.393938676	1991550
2000-02-03	2.363635655	2.318181123	2.409090186	2.348484144	165000
2000-02-04	2.333332633	2.333332633	2.393938676	2.378787165	470250
2000-02-07	2.378787165	2.378787165	2.424241697	2.393938676	264000
2000-02-08	2.393938676	2.348484144	2.393938676	2.363635655	334950
2000-02-09	2.393938676	2.348484144	2.439393208	2.363635655	519750
2000-02-10	2.378787165	2.348484144	2.409090186	2.363635655	1056000
2000-02-11	2.363635655	2.333332633	2.424241697	2.363635655	239250
2000-02-14	2.378787165	2.348484144	2.454544718	2.348484144	532950
2000-02-15	2.363635655	2.303029612	2.363635655	2.303029612	67650
2000-02-16	2.424241697	2.24242357	2.439393208	2.272726591	382800
2000-02-16	2.424241697	2.24242357	2.439393208	2.272726591	
					0
2000-02-18	2.121211485	2.060605442	2.181817527	2.181817527	66000
2000-02-22	2.363635655	2.121211485	2.393938676	2.196969038	
2000-02-22	2.363635655	2.121211485	2.393938676	2.196969038	145200
					0
					0
2000-02-25	2.303029612	2.303029612	2.303029612	2.303029612	21450
2000-02-28	2.060605442	2.060605442	2.106059974	2.106059974	24750
2000-02-29	2.24242357	2.24242357	2.24242357	2.24242357	8250
2000-03-01	2.303029612	2.24242357	2.303029612	2.24242357	52800
2000-03-01	2.303029612	2.24242357	2.303029612	2.24242357	
					0
					0
					0
					0
2000-03-08	2.24242357	2.24242357	2.24242357	2.24242357	41250
2000-03-09	2.181817527	2.121211485	2.181817527	2.121211485	
2000-03-09	2.181817527	2.121211485	2.181817527	2.121211485	24750
					0
2000-03-13	2.121211485	2.060605442	2.212120548	2.212120548	212850
2000-03-14	2.212120548	2.212120548	2.24242357	2.24242357	82500
2000-03-14	2.212120548	2.212120548	2.24242357	2.24242357	
					0
2000-03-16	2.181817527	2.181817527	2.181817527	2.181817527	33000
2000-03-17	2.24242357	2.181817527	2.24242357	2.181817527	49500
2000-03-17	2.24242357	2.181817527	2.24242357	2.181817527	
					0
2000-03-21	2.181817527	2.166666017	2.181817527	2.166666017	118800
2000-03-22	2.121211485	2.121211485	2.121211485	2.121211485	66000
2000-03-23	2.106059974	2.106059974	2.272726591	2.121211485	4743751
2000-03-24	2.196969038	2.181817527	2.25757508	2.181817527	1189650
2000-03-27	2.212120548	2.181817527	2.272726591	2.181817527	788700
2000-03-28	2.181817527	2.181817527	2.212120548	2.196969038	331650
2000-03-29	2.196969038	2.196969038	2.24242357	2.196969038	221100
2000-03-30	2.227272059	2.196969038	2.227272059	2.196969038	285450
2000-03-31	2.196969038	2.181817527	2.24242357	2.24242357	255750
2000-04-03	2.075756953	2.075756953	2.075756953	2.075756953	
2000-04-03	2.075756953	2.075756953	2.075756953	2.075756953	4950
					0
2000-04-05	1.818181273	1.818181273	1.939393358	1.848484294	66000
2000-04-07	1.939393358	1.939393358	2.060605442	2.060605442	
2000-04-07	1.939393358	1.939393358	2.060605442	2.060605442	52800
					0
					0
					0
2000-04-17	1.939393358	1.939393358	1.939393358	1.939393358	4950
2000-04-18	1.939393358	1.848484294	1.939393358	1.848484294	100650
2000-04-19	1.848484294	1.848484294	1.848484294	1.848484294	33000
2000-04-19	1.848484294	1.848484294	1.848484294	1.848484294	
					0
					0
					0
2000-04-25	2.030302421	1.9999994	2.030302421	1.9999994	26400
2000-04-26	1.909090336	1.893938826	1.909090336	1.909090336	181500
2000-04-27	1.818181273	1.818181273	1.863635805	1.863635805	1123650
2000-04-28	1.818181273	1.75757523	1.863635805	1.75757523	1412400
2000-05-02	1.75757523	1.727272209	1.772726741	1.727272209	156750
2000-05-03	1.727272209	1.636363145	1.727272209	1.636363145	285450
2000-05-04	1.636363145	1.575757103	1.651514656	1.575757103	488400
2000-05-08	1.575757103	1.575757103	1.590908614	1.590908614	11550
2000-05-08	1.575757103	1.575757103	1.590908614	1.590908614	
					0
2000-05-10	1.575757103	1.575757103	1.590908614	1.590908614	37950
2000-05-11	1.560605592	1.560605592	1.590908614	1.575757103	321750
2000-05-12	1.575757103	1.575757103	1.712120698	1.696969188	186450
2000-05-15	1.75757523	1.696969188	1.803029762	1.803029762	206250
2000-05-16	1.818181273	1.787878252	1.848484294	1.787878252	552750
2000-05-18	1.818181273	1.803029762	1.863635805	1.818181273	7165952
2000-05-19	1.818181273	1.803029762	1.833332783	1.803029762	2819850
2000-05-22	1.818181273	1.803029762	1.818181273	1.803029762	247500
2000-05-23	1.818181273	1.803029762	1.818181273	1.818181273	90750
2000-05-24	1.818181273	1.74242372	1.818181273	1.772726741	767250
2000-05-25	1.818181273	1.74242372	1.818181273	1.75757523	825000
2000-05-26	1.75757523	1.727272209	1.818181273	1.803029762	278850
2000-05-26	1.75757523	1.727272209	1.818181273	1.803029762	
					0
					0
2000-05-31	1.803029762	1.803029762	1.863635805	1.848484294	
2000-05-31	1.803029762	1.803029762	1.863635805	1.848484294	105600
					0
					0
2000-06-05	1.848484294	1.848484294	1.924241847	1.924241847	392700
2000-06-06	1.848484294	1.848484294	1.848484294	1.848484294	57750
2000-06-07	1.833332783	1.833332783	1.833332783	1.833332783	105600
2000-06-08	1.848484294	1.848484294	1.909090336	1.893938826	290400
2000-06-09	1.878787315	1.863635805	1.878787315	1.878787315	206250
2000-06-12	1.878787315	1.878787315	1.878787315	1.878787315	19800
2000-06-12	1.878787315	1.878787315	1.878787315	1.878787315	
					0
					0
2000-06-15	1.878787315	1.878787315	1.878787315	1.878787315	561000
2000-06-16	1.878787315	1.863635805	1.893938826	1.863635805	915750
2000-06-19	1.863635805	1.863635805	1.878787315	1.863635805	495000
2000-06-20	1.878787315	1.878787315	1.878787315	1.878787315	519750
2000-06-21	1.878787315	1.878787315	1.909090336	1.909090336	349800
2000-06-22	1.909090336	1.909090336	1.984847889	1.939393358	168300
2000-06-23	1.924241847	1.924241847	1.924241847	1.924241847	87450
2000-06-26	1.818181273	1.818181273	1.878787315	1.818181273	179850
2000-06-27	1.878787315	1.878787315	1.878787315	1.878787315	16500
2000-06-28	1.878787315	1.818181273	1.878787315	1.818181273	90750
2000-06-29	1.818181273	1.75757523	1.818181273	1.75757523	186450
2000-06-30	1.772726741	1.74242372	1.772726741	1.74242372	
2000-06-30	1.772726741	1.74242372	1.772726741	1.74242372	270600
					0
2000-07-04	1.75757523	1.75757523	1.75757523	1.75757523	24750
2000-07-05	1.75757523	1.636363145	1.75757523	1.636363145	668250
2000-07-06	1.666666167	1.651514656	1.666666167	1.651514656	369600
2000-07-06	1.666666167	1.651514656	1.666666167	1.651514656	
					0
