Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	4.5	4.5	4.575	4.55	48999
2000-01-05	4.5	4.5	4.55	4.55	88999
2000-01-06	4.5	4.5	4.575	4.5	82999
2000-01-07	4.5	4.5	4.55	4.55	2999
2000-01-10	4.575	4.525	4.6	4.525	26999
2000-01-11	4.575	4.55	4.575	4.55	48999
2000-01-12	4.575	4.575	4.575	4.575	7999
2000-01-13	4.575	4.55	4.575	4.55	32999
2000-01-14	4.575	4.575	4.575	4.575	21999
2000-01-17	4.55	4.5	4.55	4.5	57999
2000-01-17	4.55	4.5	4.55	4.5	
					0
2000-01-19	4.575	4.5	4.575	4.5	80999
2000-01-20	4.5	4.05	4.5	4.125	331999
2000-01-21	4.375	4.325	4.4	4.35	64999
2000-01-24	4.375	4.375	4.375	4.375	2999
2000-01-25	4.375	4.375	4.375	4.375	2999
2000-01-26	4.425	4.425	4.45	4.45	31999
2000-01-27	4.45	4.45	4.475	4.45	49999
2000-01-27	4.45	4.45	4.475	4.45	
					0
2000-01-31	4.425	4.425	4.425	4.425	
2000-01-31	4.425	4.425	4.425	4.425	3999
					0
2000-02-02	4.475	4.475	4.475	4.475	9999
2000-02-03	4.425	4.425	4.425	4.425	9999
2000-02-04	4.425	4.425	4.425	4.425	9999
2000-02-07	4.5	4.5	4.5	4.5	6999
2000-02-08	4.5	4.5	4.55	4.55	42999
2000-02-09	4.575	4.525	4.575	4.525	87999
2000-02-10	4.575	4.55	4.6	4.575	197999
2000-02-11	4.575	4.55	4.6	4.55	174999
2000-02-14	4.575	4.55	4.625	4.6	579999
2000-02-15	4.6	4.575	4.625	4.575	195999
2000-02-16	4.625	4.6	4.65	4.6	53999
2000-02-17	4.575	4.575	4.65	4.6	62999
2000-02-18	4.65	4.6	4.65	4.6	30999
2000-02-22	4.625	4.6	4.625	4.6	27999
2000-02-23	4.6	4.6	4.65	4.625	48999
2000-02-24	4.9	4.875	4.95	4.9	321999
2000-02-25	4.85	4.85	4.925	4.925	157999
2000-02-28	4.875	4.85	4.9	4.85	98999
2000-02-29	4.85	4.85	4.85	4.85	39999
2000-03-01	4.85	4.85	4.85	4.85	23999
2000-03-02	4.85	4.85	4.85	4.85	104999
2000-03-03	5.0	4.9	5.0	4.95	85999
2000-03-06	4.95	4.9	4.95	4.9	47999
2000-03-07	4.9	4.9	4.9	4.9	4999
2000-03-08	4.9	4.9	4.9	4.9	69999
2000-03-09	4.9	4.9	4.9	4.9	89999
2000-03-10	4.95	4.95	5.0	4.975	78999
2000-03-13	4.9	4.9	4.9	4.9	24999
2000-03-14	4.95	4.95	5.0	5.0	181999
2000-03-15	5.05	5.0	5.05	5.0	70999
2000-03-16	5.0	4.95	5.15	4.95	272999
2000-03-17	5.0	4.95	5.0	4.95	49999
2000-03-20	5.0	5.0	5.0	5.0	37999
2000-03-21	5.0	4.975	5.0	5.0	138999
2000-03-22	5.0	4.975	5.0	5.0	65999
2000-03-23	5.0	4.975	5.0	4.975	33999
2000-03-24	4.975	4.95	4.975	4.975	76999
2000-03-27	4.975	4.975	5.0	5.0	84999
2000-03-28	5.0	5.0	5.05	5.05	138999
2000-03-29	5.1	5.05	5.1	5.05	136999
2000-03-30	5.0	4.95	5.05	5.05	180999
2000-03-31	4.65	4.575	4.65	4.575	234999
2000-04-03	4.575	4.575	4.575	4.575	19999
2000-04-04	4.575	4.575	4.6	4.575	29999
2000-04-05	4.6	4.6	4.6	4.6	11999
2000-04-07	4.6	4.6	4.6	4.6	14999
2000-04-10	4.6	4.6	4.625	4.625	29999
2000-04-11	4.625	4.625	4.625	4.625	29999
2000-04-12	4.7	4.7	4.775	4.775	31999
2000-04-17	4.75	4.65	4.75	4.7	60999
2000-04-18	4.7	4.7	4.725	4.7	62999
2000-04-19	4.7	4.7	4.7	4.7	27999
2000-04-20	4.7	4.675	4.7	4.675	69999
2000-04-21	4.7	4.7	4.7	4.7	4999
